event_id,horizon,severity_return_component,severity_mfe_component,severity_efficiency_component,severity_score
F008,20,-0.7203630789239616,-0.3763796983817853,-0.8603385198432674,-0.6523604323830047
F025,20,-0.5824552221356221,-0.1896230421588465,-0.7407649333573293,-0.5042810658839326
F027,20,-0.7178987574369051,-0.3137675015919161,-0.964707103327897,-0.6654577874522394
M08,20,0.48124909328682036,0.7456068486069923,0.4813422617945086,0.5693994012294404
F018,20,0.6384848328981134,0.5421266304006063,0.4957701442695078,0.5587938691894091
F016,20,0.6523710417417301,1.030782354129806,0.3417010660341302,0.6749514873018887
F017,20,1.0660986607609377,1.9561778018699183,0.38546688861103795,1.1359144504139647
F035,20,1.201181731562848,2.0361118794862714,0.4122248646985303,1.2165061585825498
F036,20,1.5447341819133025,2.0689770075304144,0.5120646781212799,1.3752586225216656
F012,20,1.289593480558471,1.8236724612736808,0.4022264890752081,1.1718308103024533
F020,20,-0.5945201755749734,-0.7239996400327597,-0.7528688462659259,-0.6904628872912196
F039,20,-0.41522787455612387,-0.6168742680884258,-0.5241368345598022,-0.5187463257347839
F038,20,-0.2529197067279478,-0.3774551670177836,-0.2307606330009573,-0.28704516891556286
F019,20,0.09666485551374547,-0.06674509432966029,0.5628060583535596,0.19757527317921494
F044,20,0.03435761066451248,-0.043281549815628,0.305398150838235,0.09882473722903984
F043,20,-0.04904987936495271,0.043281549815628,0.024981303634889273,0.006404324695188187
F031,20,-0.3082375094741765,-0.15294657736948078,-0.3864296379097317,-0.2825379082511297
F007,20,-0.6827062166403701,0.5248909913373967,-0.7298480845497002,-0.2958877699508912
F010,20,0.27290066804779306,0.5715364589759567,0.4047296035016392,0.4163889101751297
M09,20,0.5461749712767424,0.44496313228716283,0.7010692650052721,0.5640691228563924
M10,20,0.16957158023950417,0.18058448335376714,0.30959691845080567,0.219917660681359
M11,20,0.2617502006052388,0.7319079368165659,0.08923497778540569,0.36096437173573676
M12,20,0.5365503188383506,0.6788247579018003,0.13342050180173107,0.4495985261806274
M13,20,3.464983151864815,6.908055434400212,0.6082359814975269,3.6604248559208514
M14,20,0.4782205778201929,1.3262732450568187,0.13050418421854537,0.644999335698519
M15,20,0.5463700625712259,1.3540284331010553,-0.005259463356114081,0.6317130107720557
F040,20,-0.42728799973228054,-0.23332003719178918,-0.5239780366478886,-0.39486202452398605
F028,20,-0.528572948155624,-0.5166580818897355,-0.631630723663965,-0.5589539179031081
F006,20,-0.46857680040828203,-0.5216184101191601,-0.5705873138588236,-0.5202608414620885
F005,20,0.0008791108684176695,-0.2302793033779171,-0.11287746714175483,-0.11409255321708477
F029,20,-0.17618524801720892,-0.11040789193537798,-0.233328776482953,-0.17330730547851328
F004,20,-0.4255866913752615,-0.4482387135112168,-0.5432194596538498,-0.4723482881801093
F034,20,0.13855370159303718,0.19540770479806818,0.2886429650827653,0.20753479049129023
F023,20,-0.30648208674616784,-0.451537867149823,-0.41596505178751286,-0.39132833522783456
F024,20,-0.4489297346630284,-0.5737604198680577,-0.5395407014232924,-0.5207436186514595
F032,20,-0.0008791108684176695,-0.2514359581276368,0.061213803805438435,-0.06370042173020535
F045,20,0.4274752057043864,0.38872245229614955,1.0026247801209773,0.6062741460405044
F014,20,-1.4772335894914985,-0.5127322127563695,-1.3322590643681627,-1.1074082888720103
F013,20,-0.8993147930736829,-0.6296086016946579,-0.9431845993436706,-0.8240359980373372
F022,20,-0.618121406659134,-0.7225126631478942,-0.7051876683892777,-0.6819405793987686
F021,20,-0.043740905341707007,-0.10843567912793847,0.005259463356114144,-0.04897237370451044
F037,20,-0.5207565124120348,-0.17882537458466372,-0.6662397479989237,-0.4552738783318741
F015,20,-1.1160409152903186,-0.5206746794009843,-0.974159554402049,-0.8702917163644507
F042,30,0.38833566045233164,0.25075536166234685,0.5907159838764711,0.4099356686637165
F041,30,0.3713555902512251,0.11330452351832143,0.592748812990923,0.35913630892015647
F030,30,-0.4244624887125407,-0.6662449520622111,-0.488417056198238,-0.5263748323243299
F033,30,-0.07083201733261199,-0.054863541065973395,-0.05605634897656515,-0.06058396912505017
F009,30,0.02281324786077054,-0.3289206296359568,0.050556801490175884,-0.08518352676167013
F002,30,-1.2739512602194631,-1.0950430099893622,-0.8929992844939595,-1.0873311849009284
F001,30,-1.0941429794477542,-0.8758942501427718,-0.820100104385017,-0.9300457779918476
F003,30,-1.2393101161075457,-1.0500876272329143,-0.9998642723843221,-1.0964206719082608
M01,30,0.41411468820093295,0.4173516636567468,0.3683646726342573,0.3999436748306457
M02,30,0.22531158006019764,0.2302366017953686,0.4512502422608155,0.30226614137212726
M03,30,0.5455379905241841,0.10555459751215214,0.4798280928602446,0.37697356029886026
M04,30,1.8057300537520575,1.924876173417588,0.9247387811378308,1.5517816694358253
M05,30,0.7561950715639287,0.30774063532969076,0.7430498335040056,0.602328513465875
M06,30,0.11565646484561169,0.34623332911662236,-0.03501833752518879,0.1422904854790151
M07,30,0.5876083923482017,0.17124876787626417,0.7501671930141163,0.503008117746194
F011,30,0.7030134233879312,0.6592023868378235,0.4740956282129155,0.6121038128128901
