event_id,horizon,signed_close_return_atr,signed_close_return_pct,MFE_atr,MAE_atr,signed_efficiency,net_to_path_ratio,directional_persistence,longest_directional_run,time_to_MFE,time_to_MAE,path_length_atr,high_low_range_atr,number_of_sign_changes,number_of_local_pivots,reversal_after_MFE
F016,10,-0.04982206405694093,-0.001008064516129061,0.6103202846975039,-0.921708185053383,-0.014388489208633453,-0.014388489208633453,0.5,4,1,3,3.4626334519573083,1.532028469750887,3,3,1
F016,20,3.811387900355867,0.07711693548387087,5.243772241992879,-0.921708185053383,0.36255924170616055,0.36255924170616055,0.5,4,20,3,10.512455516014239,6.165480427046262,9,9,1
F016,30,6.775800711743773,0.1370967741935484,7.635231316725974,-0.921708185053383,0.3621837549933422,0.3621837549933422,0.5333333333333333,4,27,3,18.708185053380785,8.556939501779357,15,15,1
F016,60,5.604982206405692,0.1134072580645161,8.145907473309611,-0.921708185053383,0.1948051948051947,0.1948051948051947,0.5,4,31,3,28.772241992882567,9.067615658362994,29,29,1
F017,10,2.137198067632847,0.039411324519830336,2.7053140096618296,-0.44637681159420617,0.43406593406593436,0.43406593406593436,0.6,3,10,6,4.923671497584531,3.151690821256036,4,4,0
F017,20,5.329468599033813,0.0982788725367922,7.980676328502412,-0.44637681159420617,0.3817829457364342,0.3817829457364342,0.55,3,18,6,13.959420289855062,8.427053140096618,9,9,1
F017,30,7.899516908212551,0.14567223746570207,9.400966183574877,-0.44637681159420617,0.383705650459921,0.383705650459921,0.5666666666666667,3,28,6,20.587439613526556,9.847342995169083,15,15,1
F017,60,7.696618357487921,0.14193065602394614,9.400966183574877,-0.44637681159420617,0.24368308351177734,0.24368308351177734,0.5333333333333333,4,28,6,31.584541062801918,9.847342995169083,28,28,1
F035,10,3.1095477386934673,0.055208593554833894,3.1517587939698446,-0.5487437185929667,0.5175644028103051,0.5175644028103051,0.6,2,10,5,6.008040201005017,3.7005025125628115,4,4,0
F035,20,5.8251256281407,0.10342243317511865,8.217085427135677,-0.5487437185929667,0.3935361216730039,0.3935361216730039,0.55,3,17,5,14.802010050251246,8.765829145728643,10,10,1
F035,30,7.794974874371857,0.1383962028478641,9.694472361809044,-0.5487437185929667,0.35974025974025997,0.35974025974025997,0.5333333333333333,3,27,5,21.668341708542695,10.24321608040201,15,15,1
F035,60,7.837185929648235,0.13914564076942287,9.694472361809044,-0.5487437185929667,0.23854389721627392,0.23854389721627392,0.5166666666666667,4,27,5,32.85427135678391,10.24321608040201,29,29,1
F036,10,3.0,0.05248687828042994,3.2000000000000015,-0.5857142857142841,0.483870967741936,0.483870967741936,0.5,2,10,4,6.199999999999994,3.7857142857142856,5,4,0
F036,20,7.0857142857142845,0.12396900774806306,8.314285714285711,-0.5857142857142841,0.43738977072310437,0.43738977072310437,0.55,3,16,4,16.199999999999985,8.899999999999995,10,9,1
F036,30,7.828571428571424,0.13696575856035995,9.814285714285711,-0.5857142857142841,0.3553826199740599,0.3553826199740599,0.5,3,26,4,22.0285714285714,10.399999999999995,15,14,1
F036,60,7.885714285714283,0.13796550862284435,9.814285714285711,-0.5857142857142841,0.23630136986301378,0.23630136986301378,0.5,4,26,4,33.371428571428545,10.399999999999995,29,28,1
F012,10,3.052959501557633,0.05328596802841923,3.4454828660436116,-1.4683281412253364,0.483870967741936,0.483870967741936,0.5,2,10,3,6.3094496365524355,4.913811007268948,5,5,0
F012,20,6.149532710280371,0.10733316417153008,7.588785046728971,-1.4683281412253364,0.38914443422263106,0.38914443422263106,0.5,3,15,3,15.802699896157833,9.057113187954307,10,10,1
F012,30,6.4548286604361325,0.11266176097437197,9.115264797507788,-1.4683281412253364,0.290956749672346,0.290956749672346,0.4666666666666667,3,25,3,22.184839044652108,10.583592938733124,14,14,1
F012,60,7.254413291796465,0.12661760974371986,9.115264797507788,-1.4683281412253364,0.21857205431449847,0.21857205431449847,0.5,4,25,3,33.190031152647954,10.583592938733124,29,29,1
F020,10,-1.7073170731707281,-0.05255878284923918,0.05391527599486426,-2.7047496790757397,-0.38775510204081565,-0.38775510204081565,0.4,2,1,8,4.403080872913991,2.758664955070604,5,5,1
F020,20,-0.7637997432605912,-0.02351313969571233,0.05391527599486426,-2.7047496790757397,-0.11821974965229493,-0.11821974965229493,0.5,5,1,8,6.46084724005135,2.758664955070604,10,10,1
F020,30,0.34146341463414864,0.010511756569847928,0.6020539152759984,-2.7047496790757397,0.038539553752535746,0.038539553752535746,0.5666666666666667,6,30,8,8.860077021822852,3.306803594351738,13,13,0
F020,60,-0.9165596919127074,-0.028215767634854737,0.6020539152759984,-2.740693196405646,-0.06234718826405857,-0.06234718826405857,0.5,6,30,52,14.700898587933255,3.342747111681644,28,28,1
F039,10,-0.18537200504413542,-0.005969300739056256,0.29129886506935915,-1.8007566204287546,-0.04783599088838254,-0.04783599088838254,0.6,4,1,5,3.8751576292559857,2.092055485498114,3,2,1
F039,20,-0.10592686002521884,-0.003411028993746387,0.37074401008827085,-1.8007566204287546,-0.017751479289940517,-0.017751479289940517,0.5,5,12,5,5.9672131147541,2.1715006305170252,9,8,0
F039,30,0.5561160151324063,0.017907902217168765,1.447667087011352,-1.8007566204287546,0.06652587117212219,0.06652587117212219,0.5666666666666667,6,27,5,8.359394703657001,3.2484237074401063,13,12,0
F039,60,0.22068095838587667,0.007106310403638437,1.447667087011352,-1.836065573770491,0.016202203499675966,0.016202203499675966,0.5166666666666667,6,27,49,13.6204287515763,3.283732660781843,28,26,1
F038,10,0.8049792531120323,0.028279883381924158,1.0788381742738555,-0.9626556016597558,0.3139158576051777,0.3139158576051777,0.6,5,10,3,2.5643153526970948,2.0414937759336116,3,2,0
F038,20,0.4896265560165944,0.017201166180757902,1.0788381742738555,-0.9626556016597558,0.11111111111111041,0.11111111111111041,0.5,5,10,3,4.406639004149377,2.0414937759336116,10,9,0
F038,30,0.6556016597510345,0.02303206997084537,2.0912863070539425,-0.9626556016597558,0.09283196239717934,0.09283196239717934,0.5333333333333333,6,25,3,7.062240663900417,3.0539419087136985,13,12,1
F038,60,0.8215767634854745,0.028862973760932838,2.0912863070539425,-0.9958506224066401,0.07056307911617934,0.07056307911617934,0.5166666666666667,6,25,47,11.643153526970961,3.087136929460583,29,26,1
