symbol,event_id,event_family,side,timestamp_utc,funding_rate,delta_log_oi,z_mad,funding_side,oi_side,qualification_reason
BTCUSDT,BTCUSDT-O048089,OI,OI_CONTRACTION_SHOCK,2024-11-12T22:15:00Z,,-0.01292345402,-6.904341882,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048094,OI,OI_EXPANSION_SHOCK,2024-11-12T23:30:00Z,,0.01244316345,6.49156757,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048115,OI,OI_CONTRACTION_SHOCK,2024-11-13T04:45:00Z,,-0.009335738941,-4.955264207,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048116,OI,OI_CONTRACTION_SHOCK,2024-11-13T05:00:00Z,,-0.01253291627,-6.619409236,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048117,OI,OI_EXPANSION_SHOCK,2024-11-13T05:15:00Z,,0.01335350422,6.909038125,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048120,OI,OI_CONTRACTION_SHOCK,2024-11-13T06:00:00Z,,-0.008933022955,-4.738969314,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048122,OI,OI_CONTRACTION_SHOCK,2024-11-13T06:30:00Z,,-0.01087597955,-5.715411187,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048123,OI,OI_CONTRACTION_SHOCK,2024-11-13T06:45:00Z,,-0.01644101855,-8.599809421,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048131,OI,OI_EXPANSION_SHOCK,2024-11-13T08:45:00Z,,0.008894651891,4.52846363,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048141,OI,OI_EXPANSION_SHOCK,2024-11-13T11:15:00Z,,0.0108930151,5.571057387,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048142,OI,OI_CONTRACTION_SHOCK,2024-11-13T11:30:00Z,,-0.01405501071,-7.338046289,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048151,OI,OI_EXPANSION_SHOCK,2024-11-13T13:45:00Z,,0.01526924027,7.861682127,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048153,OI,OI_EXPANSION_SHOCK,2024-11-13T14:15:00Z,,0.02533756379,13.08516221,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048154,OI,OI_EXPANSION_SHOCK,2024-11-13T14:30:00Z,,0.01361108915,6.999321108,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048155,OI,OI_EXPANSION_SHOCK,2024-11-13T14:45:00Z,,0.009298495925,4.762389062,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048156,OI,OI_CONTRACTION_SHOCK,2024-11-13T15:00:00Z,,-0.008874441895,-4.672345107,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048157,OI,OI_CONTRACTION_SHOCK,2024-11-13T15:15:00Z,,-0.00996203819,-5.216915687,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048158,OI,OI_EXPANSION_SHOCK,2024-11-13T15:30:00Z,,0.01557104295,7.980693097,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048160,OI,OI_EXPANSION_SHOCK,2024-11-13T16:00:00Z,,0.009853612622,5.0199731,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048163,OI,OI_CONTRACTION_SHOCK,2024-11-13T16:45:00Z,,-0.01642402685,-8.53047346,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048173,OI,OI_CONTRACTION_SHOCK,2024-11-13T19:15:00Z,,-0.0191849316,-9.864026708,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048174,OI,OI_CONTRACTION_SHOCK,2024-11-13T19:30:00Z,,-0.01636447681,-8.42328627,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048177,OI,OI_CONTRACTION_SHOCK,2024-11-13T20:15:00Z,,-0.008412823785,-4.358285329,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048181,OI,OI_CONTRACTION_SHOCK,2024-11-13T21:15:00Z,,-0.02260377939,-11.53452337,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048182,OI,OI_CONTRACTION_SHOCK,2024-11-13T21:30:00Z,,-0.01431351596,-7.33325603,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048183,OI,OI_CONTRACTION_SHOCK,2024-11-13T21:45:00Z,,-0.009987623877,-5.136201975,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048220,OI,OI_EXPANSION_SHOCK,2024-11-14T07:00:00Z,,0.01117303185,5.676330627,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048224,OI,OI_EXPANSION_SHOCK,2024-11-14T08:00:00Z,,0.00880918847,4.460233422,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048226,OI,OI_EXPANSION_SHOCK,2024-11-14T08:30:00Z,,0.009609008651,4.857840134,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048227,OI,OI_EXPANSION_SHOCK,2024-11-14T08:45:00Z,,0.01063207711,5.375289861,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048254,OI,OI_CONTRACTION_SHOCK,2024-11-14T15:30:00Z,,-0.01054025231,-5.458797692,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
