section,episode_view,symbol,event_family,side,scale,representation,field,metric,value,event_n,control_n,note
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,efficiency,equal_symbol_mean_contrast,0.04189698384,4,,same_sign=4; max_abs_share=0.752319
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,close_location,mean_event_minus_control,-0.02499649933,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,close_location,mean_event_minus_control,0.07012086172,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,close_location,mean_event_minus_control,-0.09647687526,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,close_location,mean_event_minus_control,0.05483699282,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,close_location,equal_symbol_mean_contrast,0.0008711199885,4,,same_sign=2; max_abs_share=0.391496
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,recent_slope_atr,mean_event_minus_control,0.1981626449,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,recent_slope_atr,mean_event_minus_control,0.1758059878,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,recent_slope_atr,mean_event_minus_control,-0.1230514673,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,recent_slope_atr,mean_event_minus_control,0.1524359233,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,recent_slope_atr,equal_symbol_mean_contrast,0.1008382722,4,,same_sign=3; max_abs_share=0.305121
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,age_bars,mean_event_minus_control,0,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,age_bars,mean_event_minus_control,0,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,age_bars,mean_event_minus_control,0,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,age_bars,mean_event_minus_control,0,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,age_bars,equal_symbol_mean_contrast,0,4,,same_sign=0; max_abs_share=1.000000
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,origin_disagreement_bars,mean_event_minus_control,0,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,origin_disagreement_bars,mean_event_minus_control,0,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,origin_disagreement_bars,mean_event_minus_control,0,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,origin_disagreement_bars,mean_event_minus_control,0,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,origin_disagreement_bars,equal_symbol_mean_contrast,0,4,,same_sign=0; max_abs_share=1.000000
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w4_displacement_atr,mean_event_minus_control,0.5944879344,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w4_displacement_atr,mean_event_minus_control,0.5274179632,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w4_displacement_atr,mean_event_minus_control,-0.3691544019,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w4_displacement_atr,mean_event_minus_control,0.45730777,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,w4_displacement_atr,equal_symbol_mean_contrast,0.3025148164,4,,same_sign=3; max_abs_share=0.305121
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w8_displacement_atr,mean_event_minus_control,0.0184885797,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w8_displacement_atr,mean_event_minus_control,1.495341135,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w8_displacement_atr,mean_event_minus_control,0.005696967812,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w8_displacement_atr,mean_event_minus_control,0.3191855128,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,w8_displacement_atr,equal_symbol_mean_contrast,0.4596780489,4,,same_sign=4; max_abs_share=0.813255
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w32_displacement_atr,mean_event_minus_control,-0.4774479305,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w32_displacement_atr,mean_event_minus_control,1.585771791,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w32_displacement_atr,mean_event_minus_control,1.489579699,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w32_displacement_atr,mean_event_minus_control,1.113217969,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,w32_displacement_atr,equal_symbol_mean_contrast,0.9277803821,4,,same_sign=3; max_abs_share=0.339856
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w4_range_atr,mean_event_minus_control,0.574188601,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w4_range_atr,mean_event_minus_control,0.6670902553,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w4_range_atr,mean_event_minus_control,0.03654402845,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w4_range_atr,mean_event_minus_control,0.2217300898,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,w4_range_atr,equal_symbol_mean_contrast,0.3748882436,4,,same_sign=4; max_abs_share=0.444859
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w8_range_atr,mean_event_minus_control,0.0424088875,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w8_range_atr,mean_event_minus_control,1.361690049,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w8_range_atr,mean_event_minus_control,0.091170992,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w8_range_atr,mean_event_minus_control,0.1822675106,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,w8_range_atr,equal_symbol_mean_contrast,0.4193843598,4,,same_sign=4; max_abs_share=0.811720
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w32_range_atr,mean_event_minus_control,1.105459847,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w32_range_atr,mean_event_minus_control,1.6307893,10,10,invalid_or_unmatched=319; total=329
