trade_id,direction,entry_time,entry_price,exit_variant,exit_time,exit_price,mfe_price,mfe_delta,realized_delta,capture,stored_capture,original_exp006b_capture,manual_check_status
EA_0030,SHORT,2024-04-01 04:00:00,0.6453771500000001,EXIT_R0,2024-04-07 08:00:00,0.59079525,0.558,0.08737715000000001,0.05458190000000007,0.6246701797895682,0.6246701797895682,0.6246701797895682,OK
EA_0030,SHORT,2024-04-01 04:00:00,0.6453771500000001,EXIT_R2,2024-04-01 08:00:00,0.63161565,0.6149,0.030477150000000064,0.013761500000000093,0.45153500245265926,0.45153500245265926,0.45153500245265926,OK
EA_0030,SHORT,2024-04-01 04:00:00,0.6453771500000001,EXIT_R5,2024-04-01 08:00:00,0.63161565,0.6149,0.030477150000000064,0.013761500000000093,0.45153500245265926,0.45153500245265926,0.45153500245265926,OK
EA_0031,SHORT,2024-04-11 12:00:00,0.58180895,EXIT_R0,2024-04-19 16:00:00,0.47143559999999995,0.3929,0.18890894999999996,0.11037335000000004,0.5842674473602233,0.5842674473602233,0.5842674473602233,OK
EA_0031,SHORT,2024-04-11 12:00:00,0.58180895,EXIT_R2,2024-04-12 20:00:00,0.482241,0.433,0.14880895,0.09956795000000002,0.6690992040465309,0.6690992040465309,0.6690992040465309,OK
EA_0031,SHORT,2024-04-11 12:00:00,0.58180895,EXIT_R5,2024-04-13 12:00:00,0.5098548,0.433,0.14880895,0.07195414999999994,0.4835337525061493,0.4835337525061493,0.4835337525061493,OK
EA_0032,SHORT,2024-04-12 08:00:00,0.58180895,EXIT_R0,2024-04-19 16:00:00,0.47143559999999995,0.3929,0.18890894999999996,0.11037335000000004,0.5842674473602233,0.5842674473602233,0.5842674473602233,OK
EA_0032,SHORT,2024-04-12 08:00:00,0.58180895,EXIT_R2,2024-04-12 20:00:00,0.482241,0.433,0.14880895,0.09956795000000002,0.6690992040465309,0.6690992040465309,0.6690992040465309,OK
EA_0032,SHORT,2024-04-12 08:00:00,0.58180895,EXIT_R5,2024-04-13 12:00:00,0.5098548,0.433,0.14880895,0.07195414999999994,0.4835337525061493,0.4835337525061493,0.4835337525061493,OK
EA_0033,SHORT,2024-04-28 12:00:00,0.46726625000000005,EXIT_R0,2024-05-02 16:00:00,0.45742859999999996,0.4181,0.04916625000000002,0.009837650000000087,0.20008949228383457,0.20008949228383457,0.20008949228383457,OK
EA_0033,SHORT,2024-04-28 12:00:00,0.46726625000000005,EXIT_R2,2024-04-29 16:00:00,0.45712844999999996,0.4458,0.021466250000000076,0.010137800000000086,0.47226693064694814,0.47226693064694814,0.47226693064694814,OK
EA_0033,SHORT,2024-04-28 12:00:00,0.46726625000000005,EXIT_R5,2024-04-29 16:00:00,0.45712844999999996,0.4458,0.021466250000000076,0.010137800000000086,0.47226693064694814,0.47226693064694814,0.47226693064694814,OK
EA_0034,SHORT,2024-05-09 00:00:00,0.45127425000000004,EXIT_R0,2024-05-09 20:00:00,0.46002989999999994,0.4467,0.0045742500000000574,-0.008755649999999893,-1.9141170683718167,-1.9141170683718167,-1.9141170683718167,OK
EA_0034,SHORT,2024-05-09 00:00:00,0.45127425000000004,EXIT_R2,2024-05-10 04:00:00,0.4688343,0.4467,0.0045742500000000574,-0.017560049999999938,-3.838891621577246,-3.838891621577246,-3.838891621577246,OK
EA_0034,SHORT,2024-05-09 00:00:00,0.45127425000000004,EXIT_R5,2024-05-09 20:00:00,0.46002989999999994,0.4467,0.0045742500000000574,-0.008755649999999893,-1.9141170683718167,-1.9141170683718167,-1.9141170683718167,OK
EA_0035,SHORT,2024-05-13 16:00:00,0.44437770000000004,EXIT_R0,2024-05-15 20:00:00,0.4520259,0.4255,0.018877700000000053,-0.007648199999999938,-0.4051446945337577,-0.4051446945337577,-0.4051446945337577,OK
EA_0035,SHORT,2024-05-13 16:00:00,0.44437770000000004,EXIT_R2,2024-05-14 08:00:00,0.43731855,0.4275,0.01687770000000005,0.0070591500000000695,0.4182530795072817,0.4182530795072817,0.4182530795072817,OK
EA_0035,SHORT,2024-05-13 16:00:00,0.44437770000000004,EXIT_R5,2024-05-14 08:00:00,0.43731855,0.4275,0.01687770000000005,0.0070591500000000695,0.4182530795072817,0.4182530795072817,0.4182530795072817,OK
EA_0038,SHORT,2024-05-27 20:00:00,0.46466755,EXIT_R0,2024-06-03 12:00:00,0.4538268,0.4406,0.024067549999999993,0.01084075000000001,0.4504301434919638,0.4504301434919638,0.4504301434919638,OK
EA_0038,SHORT,2024-05-27 20:00:00,0.46466755,EXIT_R2,2024-05-28 12:00:00,0.46043009999999995,0.4525,0.012167549999999971,0.0042374500000000315,0.3482582771387865,0.3482582771387865,0.37944311867867553,OK
EA_0038,SHORT,2024-05-27 20:00:00,0.46466755,EXIT_R5,2024-05-28 12:00:00,0.46043009999999995,0.4525,0.012167549999999971,0.0042374500000000315,0.3482582771387865,0.3482582771387865,0.37944311867867553,OK
EA_0039,SHORT,2024-06-02 08:00:00,0.45177400000000006,EXIT_R0,2024-06-03 04:00:00,0.45472724999999997,0.4406,0.011174000000000073,-0.0029532499999999073,-0.2642965813495515,-0.2642965813495515,-0.2642965813495515,OK
EA_0039,SHORT,2024-06-02 08:00:00,0.45177400000000006,EXIT_R2,2024-06-02 20:00:00,0.44542259999999995,0.4406,0.011174000000000073,0.006351400000000118,0.5684088061571574,0.5684088061571574,0.5684088061571574,OK
EA_0039,SHORT,2024-06-02 08:00:00,0.45177400000000006,EXIT_R5,2024-06-03 00:00:00,0.44692334999999994,0.4406,0.011174000000000073,0.004850650000000123,0.43410148559156,0.43410148559156,0.43410148559156,OK
EA_0040,SHORT,2024-06-02 16:00:00,0.4509744,EXIT_R0,2024-06-03 04:00:00,0.45472724999999997,0.4406,0.010374400000000006,-0.0037528499999999743,-0.36174140191239706,-0.36174140191239706,-0.36174140191239706,OK
EA_0040,SHORT,2024-06-02 16:00:00,0.4509744,EXIT_R2,2024-06-02 20:00:00,0.44542259999999995,0.4406,0.010374400000000006,0.005551800000000051,0.5351442011104303,0.5351442011104303,0.5351442011104303,OK
EA_0040,SHORT,2024-06-02 16:00:00,0.4509744,EXIT_R5,2024-06-03 00:00:00,0.44692334999999994,0.4406,0.010374400000000006,0.004051050000000056,0.3904852328809429,0.3904852328809429,0.3904852328809429,OK
EA_0041,SHORT,2024-06-10 20:00:00,0.44057960000000007,EXIT_R0,2024-06-23 08:00:00,0.38869424999999996,0.3548,0.08577960000000007,0.05188535000000011,0.60486817378491,0.60486817378491,0.60486817378491,OK
EA_0041,SHORT,2024-06-10 20:00:00,0.44057960000000007,EXIT_R2,2024-06-11 08:00:00,0.4320159,0.4246,0.015979600000000094,0.008563700000000063,0.5359145410398266,0.5359145410398266,0.5359145410398266,OK
EA_0041,SHORT,2024-06-10 20:00:00,0.44057960000000007,EXIT_R5,2024-06-11 04:00:00,0.4350174,0.4246,0.015979600000000094,0.005562200000000073,0.34808130366217177,0.34808130366217177,0.4566816644224803,OK
EA_0042,SHORT,2024-06-12 20:00:00,0.43288345,EXIT_R0,2024-06-23 08:00:00,0.38869424999999996,0.3548,0.07808345,0.04418920000000004,0.5659227403502284,0.5659227403502284,0.5659227403502284,OK
EA_0042,SHORT,2024-06-12 20:00:00,0.43288345,EXIT_R2,2024-06-15 00:00:00,0.41190584999999996,0.398,0.03488344999999998,0.02097760000000004,0.6013625372490408,0.6013625372490408,0.6013625372490408,OK
EA_0042,SHORT,2024-06-12 20:00:00,0.43288345,EXIT_R5,2024-06-16 16:00:00,0.41650814999999997,0.398,0.03488344999999998,0.016375300000000037,0.46942891256455554,0.46942891256455554,0.46942891256455554,OK
EA_0043,SHORT,2024-06-13 04:00:00,0.43088445000000003,EXIT_R0,2024-06-23 08:00:00,0.38869424999999996,0.3548,0.07608445000000003,0.04219020000000007,0.5545180388371087,0.5545180388371087,0.5545180388371087,OK
EA_0043,SHORT,2024-06-13 04:00:00,0.43088445000000003,EXIT_R2,2024-06-15 00:00:00,0.41190584999999996,0.398,0.03288445000000001,0.018978600000000068,0.5771299200686058,0.5771299200686058,0.5771299200686058,OK
EA_0043,SHORT,2024-06-13 04:00:00,0.43088445000000003,EXIT_R5,2024-06-16 12:00:00,0.41490735,0.398,0.03288445000000001,0.015977100000000022,0.4858557768185272,0.4858557768185272,0.4858557768185272,OK
EA_0045,SHORT,2024-07-08 16:00:00,0.3604197,EXIT_R0,2024-07-09 00:00:00,0.3689844,0.3581,0.0023197000000000356,-0.00856469999999998,-3.692158468767448,-3.692158468767448,-3.692158468767448,OK
EA_0045,SHORT,2024-07-08 16:00:00,0.3604197,EXIT_R2,2024-07-09 16:00:00,0.38019,0.3581,0.0023197000000000356,-0.019770299999999963,-8.522783118506556,-8.522783118506556,-8.522783118506556,OK
EA_0045,SHORT,2024-07-08 16:00:00,0.3604197,EXIT_R5,2024-07-09 00:00:00,0.3689844,0.3581,0.0023197000000000356,-0.00856469999999998,-3.692158468767448,-3.692158468767448,-3.692158468767448,OK
EA_0047,SHORT,2024-08-12 16:00:00,0.34042970000000006,EXIT_R0,2024-08-13 16:00:00,0.34467224999999996,0.3303,0.010129700000000075,-0.004242549999999901,-0.41882286740968333,-0.41882286740968333,-0.41882286740968333,OK
EA_0047,SHORT,2024-08-12 16:00:00,0.34042970000000006,EXIT_R2,2024-08-13 16:00:00,0.34467224999999996,0.3303,0.010129700000000075,-0.004242549999999901,-0.41882286740968333,-0.41882286740968333,-0.41882286740968333,OK
EA_0047,SHORT,2024-08-12 16:00:00,0.34042970000000006,EXIT_R5,2024-08-13 00:00:00,0.3387693,0.3317,0.008729700000000062,0.0016604000000000618,0.1902012669393049,0.1902012669393049,0.1902012669393049,OK
EA_0048,SHORT,2024-08-15 08:00:00,0.3360319,EXIT_R0,2024-08-17 20:00:00,0.33506744999999993,0.3201,0.0159319,0.0009644500000000611,0.06053578041539685,0.06053578041539685,0.06053578041539685,OK
EA_0048,SHORT,2024-08-15 08:00:00,0.3360319,EXIT_R2,2024-08-16 08:00:00,0.33466725,0.3201,0.0159319,0.0013646499999999673,0.08565519492339065,0.08565519492339065,0.08565519492339065,OK
EA_0048,SHORT,2024-08-15 08:00:00,0.3360319,EXIT_R5,2024-08-16 08:00:00,0.33466725,0.3201,0.0159319,0.0013646499999999673,0.08565519492339065,0.08565519492339065,0.08565519492339065,OK
