trade_key,scope,block,phase,direction,bars_EXIT_R0,bars_EXIT_R2,bars_EXIT_R5,exit_price_EXIT_R0,exit_price_EXIT_R2,exit_price_EXIT_R5,exit_reason_EXIT_R0,exit_reason_EXIT_R2,exit_reason_EXIT_R5,exit_time_EXIT_R0,exit_time_EXIT_R2,exit_time_EXIT_R5,mae_atr_EXIT_R0,mae_atr_EXIT_R2,mae_atr_EXIT_R5,mfe_atr_EXIT_R0,mfe_atr_EXIT_R2,mfe_atr_EXIT_R5,mfe_capture_EXIT_R0,mfe_capture_EXIT_R2,mfe_capture_EXIT_R5,net_return_EXIT_R0,net_return_EXIT_R2,net_return_EXIT_R5,EXIT_R2_return_diff_vs_R0,EXIT_R2_capture_diff_vs_R0,EXIT_R2_better_than_R0,EXIT_R5_return_diff_vs_R0,EXIT_R5_capture_diff_vs_R0,EXIT_R5_better_than_R0
EA_0018,DEVELOPMENT,2023-Q4,NO_MOVEMENT_MFE_LT_1_ATR,LONG,1.0,1.0,1.0,0.60159905,0.60159905,0.60159905,STOP_A,STOP_A,STOP_A,2023-12-17 04:00:00,2023-12-17 04:00:00,2023-12-17 04:00:00,-1.2469828767123277,-1.2469828767123277,-1.2469828767123277,0.18071879756469014,0.18071879756469014,0.18071879756469014,-4.129467773077585,-4.129467773077585,-4.129467773077585,-0.024755727613196374,-0.024755727613196374,-0.024755727613196374,0.0,0.0,False,0.0,0.0,False
EA_0019,DEVELOPMENT,2023-Q4,NO_MOVEMENT_MFE_LT_1_ATR,LONG,6.0,6.0,6.0,0.59640165,0.59640165,0.59640165,STOP_A,STOP_A,STOP_A,2023-12-24 20:00:00,2023-12-24 20:00:00,2023-12-24 20:00:00,-2.346152806226955,-2.346152806226955,-2.346152806226955,0.8828517001228994,0.8828517001228994,0.8828517001228994,-1.1437035304664753,-1.1437035304664753,-1.1437035304664753,-0.030672644287274627,-0.030672644287274627,-0.030672644287274627,0.0,0.0,False,0.0,0.0,False
EA_0020,DEVELOPMENT,2023-Q4,NO_MOVEMENT_MFE_LT_1_ATR,LONG,2.0,2.0,2.0,0.5939029,0.5939029,0.5939029,STOP_A,STOP_A,STOP_A,2023-12-26 16:00:00,2023-12-26 16:00:00,2023-12-26 16:00:00,-2.9935030651340973,-2.9935030651340973,-2.9935030651340973,0.5199068965517251,0.5199068965517251,0.5199068965517251,-2.1980335412249543,-2.1980335412249543,-2.1980335412249543,-0.03662986347125669,-0.03662986347125669,-0.03662986347125669,0.0,0.0,False,0.0,0.0,False
EA_0021,DEVELOPMENT,2023-Q4,NO_MOVEMENT_MFE_LT_1_ATR,LONG,2.0,2.0,2.0,0.6101947500000001,0.6101947500000001,0.6101947500000001,STOP_A,STOP_A,STOP_A,2023-12-29 00:00:00,2023-12-29 00:00:00,2023-12-29 00:00:00,-1.1220471879286702,-1.1220471879286702,-1.1220471879286702,0.0,0.0,0.0,,,,-0.02866804165743475,-0.02866804165743475,-0.02866804165743475,0.0,,False,0.0,,False
EA_0022,DEVELOPMENT,2024-Q1,STRONG_MOVEMENT_MFE_GE_2_ATR,SHORT,11.0,10.0,,0.5446721999999999,0.5064531,,STOP_A,ATR_GIVEBACK,,2024-01-10 20:00:00,2024-01-10 16:00:00,,-3.3614535809018546,-0.5232572944297065,,2.081517241379311,2.081517241379311,,-0.46221130271226135,0.5118562770474513,,-0.03644318970419135,0.03614264763361185,,0.0725858373378032,0.9740675797597127,True,,,False
EA_0022,DEVELOPMENT,2024-Q1,WEAK_MOVEMENT_MFE_1_2_ATR,SHORT,,,6.0,,,0.5126561999999999,,,MFE_50_GIVEBACK,,,2024-01-10 00:00:00,,,-0.5232572944297065,,,1.598758620689656,,,0.46058281292515146,,,0.024361700212293176,,,False,,,False
EA_0023,DEVELOPMENT,2024-Q1,STRONG_MOVEMENT_MFE_GE_2_ATR,SHORT,27.0,16.0,21.0,0.5180589,0.4996497,0.5061529499999999,EMA27_TWO_CLOSES,ATR_GIVEBACK,MFE_50_GIVEBACK,2024-01-21 04:00:00,2024-01-19 08:00:00,2024-01-20 04:00:00,-0.49744915254237143,-0.49744915254237143,-0.49744915254237143,5.824584745762713,4.494076271186442,5.824584745762713,0.3123987888858014,0.7520332792131265,0.4856263849463346,0.03779611146810905,0.07191691399608666,0.0598633696247903,0.034120802527977605,0.43963449032732504,True,0.02206725815668125,0.17322759606053317,True
EA_0024,DEVELOPMENT,2024-Q1,STRONG_MOVEMENT_MFE_GE_2_ATR,SHORT,7.0,5.0,6.0,0.50415195,0.4826412,0.49164569999999996,STOP_A,ATR_GIVEBACK,MFE_50_GIVEBACK,2024-02-08 00:00:00,2024-02-07 16:00:00,2024-02-07 20:00:00,-1.8989574074073965,-0.3952537037037,-0.3952537037037,3.1047462962963035,3.1047462962963035,3.1047462962963035,-0.2589067634201626,0.6392118876534912,0.26325524301800984,-0.01445313543965878,0.028745400801565048,0.010662292607564452,0.04319853624122383,0.8981186510736539,True,0.025115428047223234,0.5221620064381725,True
EA_0025,DEVELOPMENT,2024-Q1,STRONG_MOVEMENT_MFE_GE_2_ATR,LONG,45.0,15.0,23.0,0.5945026,0.5982007500000001,0.57921025,EMA27_TWO_CLOSES,ATR_GIVEBACK,MFE_50_GIVEBACK,2024-02-21 08:00:00,2024-02-16 08:00:00,2024-02-17 16:00:00,-0.4385558099599238,-0.4385558099599238,-0.4385558099599238,7.7915529479106995,5.435514024041212,5.539692615912998,0.5053104858761599,0.7788616555686539,0.48949729810661374,0.08808530040611695,0.09486626142074826,0.060045110264534005,0.006780961014631312,0.27355116969249405,True,-0.028040190141582946,-0.015813187769546155,False
EA_0026,DEVELOPMENT,2024-Q1,STRONG_MOVEMENT_MFE_GE_2_ATR,LONG,22.0,6.0,18.0,0.5945026,0.6213891500000001,0.6090953000000001,EMA27_TWO_CLOSES,ATR_GIVEBACK,MFE_50_GIVEBACK,2024-02-21 08:00:00,2024-02-18 16:00:00,2024-02-20 16:00:00,-0.07477941834452045,-0.07477941834452045,-0.07477941834452045,3.4267865771812045,3.2326031319910484,3.4267865771812045,0.12080532005513048,0.6490567024892373,0.3875520507730408,0.00924148613235923,0.054975171365984864,0.034063486296334634,0.045733685233625636,0.5282513824341069,True,0.024822000163975406,0.26674673071791033,True
