episode_view,mapping,factor,representation,representative_count,valid_representative_count,invalid_rate,invalid_reasons,age_q25,age_q50,age_q75,unique_ages,age_entropy_bits,cap_hit_rate,minimum_history_rate,origin_disagreement_from_fixed_q50,up_support,down_support,third_1,third_2,third_3,displacement_q50,efficiency_q50,boundary_distance_q50,extreme_distance_q50,rank_displacement_sign,rank_efficiency_sign,frozen_support_entropy_invalidity_pass,episode_robust_candidate
CONNECTED_COMPONENT,15m->1H,1.0,HYBRID_ORIGIN,2294,2284,0.00435920,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED:10,2,2,3,6,1.35977901,0.00043592,0.00000000,-6.00000000,1193,1101,765,765,764,1.11849192,0.40211640,1.58796296,0.24068768,1,-1,1,1
CONNECTED_COMPONENT,15m->1H,1.2,FIXED_8,1741,1741,0.00000000,,8,8,8,1,-0.00000000,0.00000000,0.00000000,0.00000000,895,846,581,580,580,1.83941606,0.22629310,2.62500000,0.30545455,0,0,0,0
CONNECTED_COMPONENT,15m->1H,1.2,DIRECTION_RUN,1741,1741,0.00000000,,2,3,4,12,2.24459310,0.00000000,0.00000000,-5.00000000,895,846,581,580,580,1.35265700,0.42307692,1.70479705,0.23026316,1,1,1,1
CONNECTED_COMPONENT,15m->1H,1.2,ATR_ORIGIN,1741,1736,0.00287191,ATR_1_NOT_REACHED:5,2,3,5,18,2.61823706,0.00000000,0.00000000,-5.00000000,895,846,581,580,580,1.30857875,0.38709677,1.89512195,0.27450980,1,-1,1,1
CONNECTED_COMPONENT,15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,1741,1737,0.00229753,NO_CONFIRMED_CHANGE_32:4,4,6,8,23,3.32280670,0.00000000,0.00000000,-2.00000000,895,846,581,580,580,1.68781726,0.28888889,2.46579330,0.30639731,1,-1,1,1
CONNECTED_COMPONENT,15m->1H,1.2,HYBRID_ORIGIN,1741,1736,0.00287191,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED:5,2,2,3,5,1.25848417,0.00000000,0.00000000,-6.00000000,895,846,581,580,580,1.14258912,0.41836735,1.62318841,0.23020338,1,-1,1,1
CONNECTED_COMPONENT,3m->15m,0.8,FIXED_8,12820,12820,0.00000000,,8,8,8,1,-0.00000000,0.00000000,0.00000000,0.00000000,6542,6278,4274,4273,4273,1.71040724,0.21621622,2.55913978,0.32558140,0,0,0,0
CONNECTED_COMPONENT,3m->15m,0.8,DIRECTION_RUN,12820,12820,0.00000000,,2,3,4,14,2.34358768,0.00000000,0.00000000,-5.00000000,6542,6278,4274,4273,4273,1.22972973,0.40163934,1.58704453,0.22580645,1,1,1,1
CONNECTED_COMPONENT,3m->15m,0.8,ATR_ORIGIN,12820,12728,0.00717629,ATR_1_NOT_REACHED:92,3,3,6,31,2.92494177,0.00007800,0.00000000,-5.00000000,6542,6278,4274,4273,4273,1.31515152,0.36065574,1.89905363,0.29015544,-1,-1,1,1
CONNECTED_COMPONENT,3m->15m,0.8,CONFIRMED_DIRECTION_CHANGE,12820,12810,0.00078003,NO_CONFIRMED_CHANGE_32:10,4,6,8,28,3.37707711,0.00000000,0.00000000,-2.00000000,6542,6278,4274,4273,4273,1.52991453,0.27659574,2.36144578,0.32307692,1,-1,1,1
