event,interval,request_or_path,attempt,status,detail,rows,retrieval_time_utc
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1725066000000&limit=1000,1,OK,,1000,2026-07-18T20:22:15Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1724886000000&limit=1000,1,OK,,1000,2026-07-18T20:22:15Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1724706000000&limit=1000,1,OK,,1000,2026-07-18T20:22:15Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1724526000000&limit=1000,1,OK,,1000,2026-07-18T20:22:16Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1724346000000&limit=1000,1,OK,,1000,2026-07-18T20:22:16Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1724166000000&limit=1000,1,OK,,1000,2026-07-18T20:22:16Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1723986000000&limit=1000,1,OK,,1000,2026-07-18T20:22:17Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1723806000000&limit=1000,1,OK,,1000,2026-07-18T20:22:17Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1723626000000&limit=1000,1,OK,,1000,2026-07-18T20:22:17Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1723446000000&limit=1000,1,OK,,1000,2026-07-18T20:22:18Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1723266000000&limit=1000,1,OK,,1000,2026-07-18T20:22:18Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1723086000000&limit=1000,1,OK,,1000,2026-07-18T20:22:18Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1722906000000&limit=1000,1,OK,,1000,2026-07-18T20:22:19Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1722726000000&limit=1000,1,OK,,1000,2026-07-18T20:22:19Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1722546000000&limit=1000,1,OK,,1000,2026-07-18T20:22:19Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1722366000000&limit=1000,1,OK,,1000,2026-07-18T20:22:19Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1722186000000&limit=1000,1,OK,,1000,2026-07-18T20:22:20Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1722006000000&limit=1000,1,OK,,1000,2026-07-18T20:22:20Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1721826000000&limit=1000,1,OK,,1000,2026-07-18T20:22:20Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1721646000000&limit=1000,1,OK,,1000,2026-07-18T20:22:20Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1721466000000&limit=1000,1,OK,,1000,2026-07-18T20:22:21Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1721286000000&limit=1000,1,OK,,1000,2026-07-18T20:22:21Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1721106000000&limit=1000,1,OK,,1000,2026-07-18T20:22:21Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1720926000000&limit=1000,1,OK,,1000,2026-07-18T20:22:21Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1720746000000&limit=1000,1,OK,,1000,2026-07-18T20:22:22Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1720566000000&limit=1000,1,OK,,1000,2026-07-18T20:22:22Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1720386000000&limit=1000,1,OK,,1000,2026-07-18T20:22:22Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1720206000000&limit=1000,1,OK,,1000,2026-07-18T20:22:22Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1720026000000&limit=1000,1,OK,,1000,2026-07-18T20:22:23Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1719846000000&limit=1000,1,OK,,1000,2026-07-18T20:22:23Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1719666000000&limit=1000,1,OK,,1000,2026-07-18T20:22:23Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1719486000000&limit=1000,1,OK,,1000,2026-07-18T20:22:24Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1719306000000&limit=1000,1,OK,,1000,2026-07-18T20:22:24Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1719126000000&limit=1000,1,OK,,1000,2026-07-18T20:22:24Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1718946000000&limit=1000,1,OK,,1000,2026-07-18T20:22:25Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1718766000000&limit=1000,1,OK,,1000,2026-07-18T20:22:25Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1718586000000&limit=1000,1,OK,,1000,2026-07-18T20:22:26Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1718406000000&limit=1000,1,OK,,1000,2026-07-18T20:22:26Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1718226000000&limit=1000,1,OK,,1000,2026-07-18T20:22:26Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1718046000000&limit=1000,1,OK,,1000,2026-07-18T20:22:27Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1717866000000&limit=1000,1,OK,,1000,2026-07-18T20:22:27Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1717686000000&limit=1000,1,OK,,1000,2026-07-18T20:22:27Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1717506000000&limit=1000,1,OK,,1000,2026-07-18T20:22:27Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1717326000000&limit=1000,1,OK,,1000,2026-07-18T20:22:28Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1717146000000&limit=1000,1,OK,,1000,2026-07-18T20:22:28Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1716966000000&limit=1000,1,OK,,1000,2026-07-18T20:22:28Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1716786000000&limit=1000,1,OK,,1000,2026-07-18T20:22:29Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1716606000000&limit=1000,1,OK,,1000,2026-07-18T20:22:29Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1716426000000&limit=1000,1,OK,,1000,2026-07-18T20:22:29Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1716246000000&limit=1000,1,OK,,1000,2026-07-18T20:22:29Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1716066000000&limit=1000,1,OK,,1000,2026-07-18T20:22:30Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1715886000000&limit=1000,1,OK,,1000,2026-07-18T20:22:30Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1715706000000&limit=1000,1,OK,,1000,2026-07-18T20:22:30Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1715526000000&limit=1000,1,OK,,1000,2026-07-18T20:22:31Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1715346000000&limit=1000,1,OK,,1000,2026-07-18T20:22:31Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1715166000000&limit=1000,1,OK,,1000,2026-07-18T20:22:31Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1714986000000&limit=1000,1,OK,,1000,2026-07-18T20:22:31Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1714806000000&limit=1000,1,OK,,1000,2026-07-18T20:22:31Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1714626000000&limit=1000,1,OK,,1000,2026-07-18T20:22:32Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1714446000000&limit=1000,1,OK,,1000,2026-07-18T20:22:32Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1714266000000&limit=1000,1,OK,,1000,2026-07-18T20:22:32Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1714086000000&limit=1000,1,OK,,1000,2026-07-18T20:22:33Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1713906000000&limit=1000,1,OK,,1000,2026-07-18T20:22:33Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1713726000000&limit=1000,1,OK,,1000,2026-07-18T20:22:34Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1713546000000&limit=1000,1,OK,,1000,2026-07-18T20:22:34Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1713366000000&limit=1000,1,OK,,1000,2026-07-18T20:22:34Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1713186000000&limit=1000,1,OK,,1000,2026-07-18T20:22:35Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1713006000000&limit=1000,1,OK,,1000,2026-07-18T20:22:35Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1712826000000&limit=1000,1,OK,,1000,2026-07-18T20:22:36Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1712646000000&limit=1000,1,OK,,1000,2026-07-18T20:22:36Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1712466000000&limit=1000,1,OK,,1000,2026-07-18T20:22:36Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1712286000000&limit=1000,1,OK,,1000,2026-07-18T20:22:36Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1712106000000&limit=1000,1,OK,,1000,2026-07-18T20:22:37Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1711926000000&limit=1000,1,OK,,1000,2026-07-18T20:22:37Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1711746000000&limit=1000,1,OK,,1000,2026-07-18T20:22:37Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1711566000000&limit=1000,1,OK,,1000,2026-07-18T20:22:38Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1711386000000&limit=1000,1,OK,,1000,2026-07-18T20:22:38Z
