instrument,child_scale,parent_direction,parent_start,counter_start,balance_start,reassertion_time,end_time,parent_invalidation_boundary,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,failed_counter_extension,parent_reassertion,reassertion_atr,counter_displacement_atr,counter_efficiency,overlap_ratio,alternation_rate,parent_elapsed_bars,child_elapsed_bars,child_parent_amplitude_ratio,child_parent_duration_ratio,parameter_factor,diagnostic_flag,diagnostic_reason,interval_id,parent_magnitude_atr,parent_duration_bars,counter_magnitude_atr,counter_duration_bars,balance_range_atr,balance_duration_bars,reassertion_magnitude_atr,reassertion_duration_bars,balance_end_time,counter_parent_ratio,balance_counter_ratio,reassertion_counter_ratio,reassertion_parent_ratio,counter_speed_ratio,reassertion_counter_speed_ratio,balance_time_ratio,transition_symmetry,invalid_ratio_flags,mechanical_redundancy
ADAUSDT,1H_FALLBACK,DOWN,2023-07-31 12:00:00,2023-08-01 20:00:00,2023-08-02 08:00:00,2023-08-02 12:00:00,2023-08-02 12:00:00,0.3153,1,1,0,1,0,1,1.018545,-0.422613,0.323529,0.506484,0.666667,8,4,0.521951,0.5,1.0,0,,ADA_0195,1.0420468777956657,8,0.8644346871569706,3,0.7291666666666669,1,1.0185449358059901,1,2023-08-02 08:00:00,0.8295545100481334,0.8435185185185186,1.1782786495482627,0.9774463678261852,2.2121453601283556,3.5348359486447873,0.3333333333333333,0.022811855301826417,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,DOWN,2023-08-01 20:00:00,2023-08-03 04:00:00,2023-08-03 16:00:00,2023-08-03 20:00:00,2023-08-03 20:00:00,0.312,1,1,1,1,0,1,0.685015,0.021277,0.04,0.595141,0.333333,8,4,0.732877,0.5,1.0,0,,ADA_0203,2.0687532067727092,8,0.27659574468084464,3,0.810641627543033,1,0.6850152905198746,1,2023-08-03 16:00:00,0.1337016632894258,2.930781268809495,2.476593742648835,0.3311247026843334,0.3565377687718021,7.429781227946505,0.3333333333333333,1.1052602292858642,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,DOWN,2023-08-02 16:00:00,2023-08-04 00:00:00,2023-08-04 12:00:00,2023-08-04 16:00:00,2023-08-04 16:00:00,0.3038,1,1,0,1,0,1,0.600954,0.454693,0.454545,0.75,0.666667,8,4,0.373333,0.5,1.0,0,,ADA_0208,1.9777899144365552,8,0.22734654108476823,3,0.967105263157891,1,0.6009538950715382,1,2023-08-04 12:00:00,0.11494979291040429,4.253881578947344,2.6433386327503747,0.3038512284267268,0.30653278109441146,7.930015898251124,0.3333333333333333,1.1912170775367161,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,DOWN,2023-08-04 12:00:00,2023-08-05 20:00:00,2023-08-06 08:00:00,2023-08-06 12:00:00,2023-08-06 12:00:00,0.2972,1,1,1,1,1,1,1.16129,0.310284,0.416667,0.641317,1.0,8,4,0.71831,0.5,1.0,0,,ADA_0219,0.8080454744206312,8,0.21719858156027705,3,0.6394230769230809,1,1.1612903225806428,1,2023-08-06 08:00:00,0.2687949978508431,2.943956043956152,5.346675444371449,1.4371596145789791,0.7167866609355815,16.040026333114348,0.3333333333333333,0.36266867579212225,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,UP,2023-08-05 00:00:00,2023-08-06 08:00:00,2023-08-06 20:00:00,2023-08-07 00:00:00,2023-08-07 00:00:00,0.2901,1,1,1,1,0,1,0.7,0.819672,0.531915,0.592764,0.333333,8,4,0.964912,0.5,1.0,0,,ADA_0222,0.48707417250542767,8,0.918032786885254,3,0.8894117647058762,1,0.6999999999999972,1,2023-08-06 20:00:00,1.8847905282332005,0.9688235294117494,0.7624999999999902,1.4371527777777968,5.026108075288535,2.2874999999999703,0.3333333333333333,0.3626639186187541,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,UP,2023-08-07 20:00:00,2023-08-09 04:00:00,2023-08-09 16:00:00,2023-08-09 20:00:00,2023-08-09 20:00:00,0.2886,1,1,1,1,0,1,0.586387,0.118403,0.217391,0.733469,0.333333,8,4,0.385714,0.5,1.0,0,,ADA_0239,1.6239238785681969,8,0.331529093369421,3,0.7000000000000006,1,0.5863874345549769,1,2023-08-09 16:00:00,0.20415309962787667,2.1114285714285552,1.768735976065813,0.3610929319371736,0.5444082656743379,5.306207928197439,0.3333333333333333,1.0186199245896177,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,DOWN,2023-08-09 12:00:00,2023-08-10 20:00:00,2023-08-11 08:00:00,2023-08-11 12:00:00,2023-08-11 12:00:00,0.3023,1,1,1,1,1,1,0.872727,0.067114,0.25,0.615639,0.666667,8,4,0.639344,0.5,1.0,0,,ADA_0249,0.20697620697619834,8,0.03355704697986198,3,0.5863874345549879,1,0.8727272727272742,1,2023-08-11 08:00:00,0.16212997363373727,17.47434554974061,26.00727272727571,4.216558441558624,0.4323465963566327,78.02181818182711,0.3333333333333333,1.4390192601425134,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,DOWN,2023-08-10 16:00:00,2023-08-12 00:00:00,2023-08-12 12:00:00,2023-08-12 16:00:00,2023-08-12 16:00:00,0.2984,1,1,1,1,0,1,1.088339,0.324934,0.538462,0.647436,0.0,8,4,0.55,0.5,1.0,0,,ADA_0256,1.3125000000000013,8,0.46419098143233495,3,0.6666666666666504,1,1.0883392226148334,1,2023-08-12 12:00:00,0.35366931918654054,1.436190476190521,2.3445936395760856,0.8292108362779674,0.9431181844974414,7.033780918728257,0.3333333333333333,0.18728083015331298,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,DOWN,2023-08-11 20:00:00,2023-08-13 04:00:00,2023-08-13 16:00:00,2023-08-13 20:00:00,2023-08-13 20:00:00,0.2946,1,1,1,1,1,1,1.744108,1.288344,0.857143,0.596945,0.666667,8,4,1.7,0.5,1.0,0,,ADA_0263,0.9411764705882358,8,0.0,3,1.6564885496183528,1,1.7441077441077677,1,2023-08-13 16:00:00,0.0,,,1.8531144781145021,0.0,,0.3333333333333333,,balance_counter_ratio:non_positive_or_missing_denominator;reassertion_counter_ratio:non_positive_or_missing_denominator;reassertion_counter_speed_ratio:non_positive_or_missing_denominator;transition_symmetry:non_positive_ratio_for_log,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,DOWN,2023-08-12 16:00:00,2023-08-14 00:00:00,2023-08-14 12:00:00,2023-08-14 16:00:00,2023-08-14 16:00:00,0.2939,1,1,1,1,1,1,0.692308,0.514076,0.75,0.633497,0.666667,8,4,0.774648,0.5,1.0,0,,ADA_0268,1.169435215946867,8,0.08567931456547409,3,1.365853658536601,1,0.6923076923077007,1,2023-08-14 12:00:00,0.07326555023922497,15.941463414636075,8.080219780220764,0.5920017482517437,0.19537480063793325,24.24065934066229,0.3333333333333333,0.5242456909745465,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
