representation,field,quartile,chronological_third,parent_direction,support_count,paired_rank_contrast,chronological_thirds_exhaustive
CONFIRMED_DIRECTION_CHANGE,displacement_atr,4,3,DOWN,15,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,1,1,UP,19,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,1,1,DOWN,18,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,1,2,UP,11,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,1,2,DOWN,22,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,1,3,UP,12,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,1,3,DOWN,23,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,2,1,UP,15,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,2,1,DOWN,19,0.8947368421052632,1
CONFIRMED_DIRECTION_CHANGE,efficiency,2,2,UP,16,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,2,2,DOWN,18,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,2,3,UP,17,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,2,3,DOWN,21,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,3,1,UP,15,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,3,1,DOWN,19,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,3,2,UP,18,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,3,2,DOWN,26,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,3,3,UP,12,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,3,3,DOWN,15,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,4,1,UP,16,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,4,1,DOWN,19,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,4,2,UP,12,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,4,2,DOWN,19,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,4,3,UP,29,1.0,1
CONFIRMED_DIRECTION_CHANGE,efficiency,4,3,DOWN,12,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,1,1,UP,17,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,1,1,DOWN,17,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,1,2,UP,15,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,1,2,DOWN,18,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,1,3,UP,14,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,1,3,DOWN,24,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,2,1,UP,15,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,2,1,DOWN,17,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,2,2,UP,16,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,2,2,DOWN,28,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,2,3,UP,17,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,2,3,DOWN,13,1.0,1
