representation,field,quartile,definition,support_count,rate_per_1000_parent_bars,support_inside_boundary,support_outside_boundary,valid_support,invalid_support,cap_hit_rate,sample_collapse_flag,concentration_flag,direction_imbalance_flag,up_contrast,down_contrast,third_1_contrast,third_2_contrast,third_3_contrast,equal_support_fixed_contrast,equal_support_contrast_difference,source_median,source_mean,control_median,control_mean,paired_rank_contrast,fraction_above_control,distribution_overlap
DIRECTION_RUN,age_bars,2,deterministic full-source quartile,154,46.666666666666664,126,28,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7417560000000001,0.9431448441558445,-0.15083553210202336,-0.1591152807825713,1.0,1.0,0.3965523020530426
DIRECTION_RUN,age_bars,3,deterministic full-source quartile,122,36.96969696969697,110,12,425,0,0.0,NO,NO,NO,1.0,0.9705882352941176,0.9473684210526315,1.0,1.0,0.9836065573770492,0.0,0.776139,0.9128925573770489,-0.17150225660864066,-0.18551733776725804,0.9836065573770492,0.9918032786885246,0.4206214078765707
DIRECTION_RUN,age_bars,4,deterministic full-source quartile,149,45.15151515151515,133,16,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.746352,0.8800556778523488,-0.15083553210202336,-0.17501216669839673,1.0,1.0,0.39255930516463544
DIRECTION_RUN,displacement_atr,1,deterministic full-source quartile,0,0.0,0,0,425,0,0.0,YES,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
DIRECTION_RUN,displacement_atr,2,deterministic full-source quartile,212,64.24242424242425,177,35,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7444335,0.92154645754717,-0.15083553210202336,-0.15350699810915275,1.0,1.0,0.40208489373386513
DIRECTION_RUN,displacement_atr,3,deterministic full-source quartile,106,32.121212121212125,95,11,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7611600000000001,0.8803703679245278,-0.12739796407081763,-0.1425008910409748,1.0,1.0,0.38384022675793966
DIRECTION_RUN,displacement_atr,4,deterministic full-source quartile,107,32.42424242424242,97,10,425,0,0.0,NO,NO,NO,1.0,0.9666666666666667,0.9375,1.0,1.0,0.9813084112149533,0.0,0.760035,0.9257793084112154,-0.1938232161874289,-0.23892619847382102,0.9813084112149533,0.9906542056074766,0.42006674054878346
DIRECTION_RUN,efficiency,1,deterministic full-source quartile,0,0.0,0,0,425,0,0.0,YES,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
DIRECTION_RUN,efficiency,2,deterministic full-source quartile,212,64.24242424242425,177,35,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7418335,0.9215943537735849,-0.15083553210202336,-0.15699708109086338,1.0,1.0,0.4020669287775404
DIRECTION_RUN,efficiency,3,deterministic full-source quartile,106,32.121212121212125,94,12,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7495944999999999,0.8956200943396222,-0.15083553210202336,-0.14728384974423064,1.0,1.0,0.39689170573334465
