source_row_id,status,reason,tolerance,absolute_difference,key_section,key_episode_view,key_symbol,key_event_family,key_side,key_scale,key_representation,key_field,key_metric,committed_value,reconstructed_value,committed_event_n,reconstructed_event_n,committed_control_n,reconstructed_control_n
EXP027_TRANSFER_00066,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,XRPUSDT,FUNDING,FUNDING_LOW,,,representatives,count,59,59,59,59,,
EXP027_TRANSFER_00067,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,XRPUSDT,OI,OI_CONTRACTION_SHOCK,,,representatives,count,144,144,144,144,,
EXP027_TRANSFER_00068,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,XRPUSDT,OI,OI_EXPANSION_SHOCK,,,representatives,count,155,155,155,155,,
EXP027_TRANSFER_00069,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,XRPUSDT,JOINT,FUNDING_HIGH|OI_CONTRACTION_SHOCK,,,representatives,count,49,49,49,49,,
EXP027_TRANSFER_00070,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,XRPUSDT,JOINT,FUNDING_HIGH|OI_EXPANSION_SHOCK,,,representatives,count,36,36,36,36,,
EXP027_TRANSFER_00071,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,XRPUSDT,JOINT,FUNDING_LOW|OI_CONTRACTION_SHOCK,,,representatives,count,15,15,15,15,,
EXP027_TRANSFER_00072,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,,,representatives,count,12,12,12,12,,
EXP027_TRANSFER_00073,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,displacement_atr,mean_event_minus_control,0.0184885797,0.0184885797,4,4,4,4
EXP027_TRANSFER_00074,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,displacement_atr,mean_event_minus_control,1.495341135,1.495341135,10,10,10,10
EXP027_TRANSFER_00075,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,displacement_atr,mean_event_minus_control,0.005696967812,0.005696967812,48,48,48,48
EXP027_TRANSFER_00076,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,displacement_atr,mean_event_minus_control,0.3191855128,0.3191855128,60,60,60,60
EXP027_TRANSFER_00077,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,displacement_atr,equal_symbol_mean_contrast,0.4596780489,0.4596780489,4,4,,
EXP027_TRANSFER_00078,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,range_atr,mean_event_minus_control,0.0424088875,0.0424088875,4,4,4,4
EXP027_TRANSFER_00079,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,range_atr,mean_event_minus_control,1.361690049,1.361690049,10,10,10,10
EXP027_TRANSFER_00080,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,range_atr,mean_event_minus_control,0.091170992,0.091170992,48,48,48,48
EXP027_TRANSFER_00081,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,range_atr,mean_event_minus_control,0.1822675106,0.1822675106,60,60,60,60
EXP027_TRANSFER_00082,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,range_atr,equal_symbol_mean_contrast,0.4193843598,0.4193843598,4,4,,
EXP027_TRANSFER_00083,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,efficiency,mean_event_minus_control,0.004997900977,0.004997900977,4,4,4,4
EXP027_TRANSFER_00084,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,efficiency,mean_event_minus_control,0.1260795444,0.1260795444,10,10,10,10
EXP027_TRANSFER_00085,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,efficiency,mean_event_minus_control,0.0155102606,0.0155102606,48,48,48,48
EXP027_TRANSFER_00086,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,efficiency,mean_event_minus_control,0.02100022934,0.02100022934,60,60,60,60
EXP027_TRANSFER_00087,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,efficiency,equal_symbol_mean_contrast,0.04189698384,0.04189698384,4,4,,
EXP027_TRANSFER_00088,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,close_location,mean_event_minus_control,-0.02499649933,-0.02499649933,4,4,4,4
EXP027_TRANSFER_00089,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,close_location,mean_event_minus_control,0.07012086172,0.07012086172,10,10,10,10
EXP027_TRANSFER_00090,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,close_location,mean_event_minus_control,-0.09647687526,-0.09647687526,48,48,48,48
EXP027_TRANSFER_00091,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,close_location,mean_event_minus_control,0.05483699282,0.05483699282,60,60,60,60
EXP027_TRANSFER_00092,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,close_location,equal_symbol_mean_contrast,0.0008711199885,0.0008711199885,4,4,,
EXP027_TRANSFER_00093,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,recent_slope_atr,mean_event_minus_control,0.1981626449,0.1981626449,4,4,4,4
EXP027_TRANSFER_00094,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,recent_slope_atr,mean_event_minus_control,0.1758059878,0.1758059878,10,10,10,10
EXP027_TRANSFER_00095,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,recent_slope_atr,mean_event_minus_control,-0.1230514673,-0.1230514673,48,48,48,48
EXP027_TRANSFER_00096,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,recent_slope_atr,mean_event_minus_control,0.1524359233,0.1524359233,60,60,60,60
EXP027_TRANSFER_00097,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,recent_slope_atr,equal_symbol_mean_contrast,0.1008382722,0.1008382722,4,4,,
EXP027_TRANSFER_00098,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,age_bars,mean_event_minus_control,0,0,4,4,4,4
EXP027_TRANSFER_00099,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,age_bars,mean_event_minus_control,0,0,10,10,10,10
EXP027_TRANSFER_00100,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,age_bars,mean_event_minus_control,0,0,48,48,48,48
EXP027_TRANSFER_00101,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,age_bars,mean_event_minus_control,0,0,60,60,60,60
