combo_id,scope,cost_mult,trades,long_trades,short_trades,win_rate,average_trade,median_trade,profit_factor,total_return,max_drawdown,exposure,avg_bars,median_bars,avg_mae,avg_mfe,mfe_capture_ratio,exit_delay_bars,stop_out_rate,regime_flip_exit_rate,long_total_return,short_total_return,fee_slippage_model
ENTRY_C_STOP_A_EXIT_A,TRAIN,1.0,97,40,57,0.2268041237113402,0.006134737117028137,-0.014853699938067181,1.3436051988660884,0.3488643045541,-0.4494124681382067,0.4675193537529451,14.31958762886598,8.0,-0.025872502778015668,0.0694774941168832,-4.17018217735454,6.237113402061856,0.26804123711340205,0.0,0.4984865880939917,-0.0998489307336442,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_C_STOP_A_EXIT_A,TEMPORAL_TEST,1.0,39,10,29,0.3076923076923077,-0.004086528556075605,-0.01868919893259474,0.7867731020357117,-0.1887688939973684,-0.2753248310171441,0.4426807760141093,12.871794871794872,9.0,-0.03165648105833388,0.06665656245425766,-14.802320116528112,6.17948717948718,0.3076923076923077,0.0,-0.0790385982211187,-0.11914755120496923,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_C_STOP_A_EXIT_B,TRAIN,1.0,76,32,44,0.27631578947368424,0.014531470265668964,-0.018728413999118843,1.7187336457709486,1.0469211332361983,-0.4345215814946346,0.49680242342645575,19.42105263157895,11.0,-0.03268472146691325,0.08232913365588634,-4.331199013304301,8.236842105263158,0.4605263157894737,0.0,0.9021248504470094,0.07612343782541942,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_C_STOP_A_EXIT_B,TEMPORAL_TEST,1.0,32,8,24,0.25,-0.004671476726726634,-0.015718737639484833,0.7797327098588497,-0.17500550789541014,-0.24983184812611348,0.4722466960352423,16.75,15.0,-0.03630065219652215,0.07506614474573026,-17.75453542078499,8.625,0.34375,0.0,-0.08301017370788466,-0.10032317867637874,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_C_STOP_A_EXIT_C,TRAIN,1.0,111,49,62,0.36936936936936937,-0.0013650650956709308,-0.014351778656126619,0.9249764509010339,-0.24208596878951216,-0.4017555488412037,0.3833726018175698,10.26126126126126,8.0,-0.030083019052700135,0.0480720061519187,-4.345502714666417,4.666666666666667,0.4954954954954955,0.0,-0.12738067268594078,-0.131449410428069,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_C_STOP_A_EXIT_C,TEMPORAL_TEST,1.0,49,11,38,0.30612244897959184,-0.003117283482838999,-0.01868919893259474,0.8550422445191007,-0.20419031433685642,-0.29833048078124735,0.3609885260370697,8.346938775510203,7.0,-0.03753505871699583,0.05212495998321831,-13.526899689187506,3.7346938775510203,0.5510204081632653,0.0,-0.036439469848440376,-0.174094765444606,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_C_STOP_A_EXIT_D,TRAIN,1.0,113,51,62,0.3008849557522124,-0.000973644949947044,-0.013048887993131758,0.9400947929519987,-0.20411641380533974,-0.3634762438359209,0.39683608212722987,10.43362831858407,7.0,-0.027331245329696045,0.05106135021062611,-3.438249304090879,4.327433628318584,0.39823008849557523,0.0,-0.18755854323615073,-0.020380386095931735,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_C_STOP_A_EXIT_D,TEMPORAL_TEST,1.0,49,11,38,0.22448979591836735,0.000360621176993454,-0.015100193441430463,1.0185217268592717,-0.061164611828995574,-0.2835041330238802,0.383053839364519,8.857142857142858,6.0,-0.03447258337386211,0.05404371112076222,-12.402608918847,4.020408163265306,0.4489795918367347,0.0,0.0801968242587221,-0.13086636889969228,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_C_STOP_B_EXIT_A,TRAIN,1.0,98,40,58,0.22448979591836735,0.006386958655038099,-0.01553208281062098,1.367975447737702,0.39818902378491994,-0.4221964849650225,0.46718276674520365,14.16326530612245,8.0,-0.025267797036680507,0.06892309401746959,-3.878268568934037,6.183673469387755,0.25510204081632654,0.0,0.5201018982266787,-0.08020046194533492,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_C_STOP_B_EXIT_A,TEMPORAL_TEST,1.0,41,10,31,0.2926829268292683,-0.006598654428987629,-0.020156381095111593,0.6849043011154899,-0.27690192121887225,-0.31894909671344995,0.4470899470899471,12.365853658536585,9.0,-0.030777196886947147,0.06467515573954945,-16.332900581941878,6.195121951219512,0.12195121951219512,0.0,-0.12181699923214151,-0.17659749944046832,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_C_STOP_B_EXIT_B,TRAIN,1.0,75,31,44,0.28,0.01633305467635516,-0.01864465704504486,1.8429388341353845,1.3154154145527293,-0.3822064507213019,0.4946164199192463,19.6,10.0,-0.031450811978786915,0.0834770300367384,-4.099162621368202,8.413333333333334,0.4533333333333333,0.0,1.0425054900080695,0.13361527098934722,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_C_STOP_B_EXIT_B,TEMPORAL_TEST,1.0,31,6,25,0.25806451612903225,-0.0046775164532533295,-0.019614616436848954,0.7687528461269073,-0.16784388751312984,-0.2325776453181293,0.4801762114537445,17.580645161290324,14.0,-0.036512285716224085,0.07612359538246465,-4.7465056220526485,9.258064516129032,0.25806451612903225,0.0,-0.07259256431973504,-0.1027070945614389,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_C_STOP_B_EXIT_C,TRAIN,1.0,103,43,60,0.39805825242718446,0.0017223614883397206,-0.012000096084004397,1.1026722168306724,0.06454120262079988,-0.30849703155447783,0.3958964009418096,11.427184466019417,10.0,-0.028287875516320397,0.052096338965589815,-3.840381605512874,5.038834951456311,0.4174757281553398,0.0,0.15772264881086362,-0.08048684742047241,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_C_STOP_B_EXIT_C,TEMPORAL_TEST,1.0,44,9,35,0.38636363636363635,-0.0046309940118925115,-0.018176943117893585,0.8129436809025689,-0.24445885087094532,-0.41770377256927327,0.4154250657318142,10.772727272727273,9.0,-0.04021712955615084,0.06140265395510703,-3.40966958259599,4.545454545454546,0.4318181818181818,0.0,-0.14909584971164502,-0.11207255379702152,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_C_STOP_B_EXIT_D,TRAIN,1.0,113,49,64,0.3008849557522124,-0.0006208181654016045,-0.013048887993131758,0.9616932147800045,-0.16941373809272098,-0.3728704540351323,0.3990578734858681,10.495575221238939,8.0,-0.026517862301992195,0.05169547588477618,-3.3221819205618344,4.345132743362832,0.30973451327433627,0.0,-0.12440127890256336,-0.051407634691084336,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_C_STOP_B_EXIT_D,TEMPORAL_TEST,1.0,47,9,38,0.2553191489361702,-0.003052636598539162,-0.01577480175033312,0.865712792195943,-0.20311560483947133,-0.3678932442992223,0.4008810572687225,9.680851063829786,6.0,-0.03582255618787803,0.05522647299553427,-4.209288576767696,4.723404255319149,0.2765957446808511,0.0,0.019063151670532408,-0.2180225593927031,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
