combo_id,scope,cost_mult,trades,long_trades,short_trades,win_rate,average_trade,median_trade,profit_factor,total_return,max_drawdown,exposure,avg_bars,median_bars,avg_mae,avg_mfe,mfe_capture_ratio,exit_delay_bars,stop_out_rate,regime_flip_exit_rate,long_total_return,short_total_return,fee_slippage_model,top1_profit_share,without_top1_total_return,pf_cost_x2,return_cost_x2,pf_cost_x3,return_cost_x3,passes_train_gate,rank_score
ENTRY_B_STOP_B_EXIT_B,TRAIN,1.0,72,29,43,0.2916666666666667,0.013835244738414028,-0.021286602854277473,1.6378173067945463,0.8787519288556769,-0.39664408913308546,0.46565656565656566,19.208333333333332,9.0,-0.035266318385801056,0.08158032866148682,-4.4792152866363,8.625,0.5277777777777778,0.0,0.6966181998918661,0.1073510404258422,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.24510808921315785,0.1547557471687897,1.5121141076657787,0.6276632174881767,1.4004170257254187,0.4097251364841137,False,2.799124363925242
ENTRY_B_STOP_A_EXIT_B,TRAIN,1.0,70,28,42,0.2714285714285714,0.010891130338939058,-0.020656613926846416,1.4681589563644264,0.4961739006335635,-0.4393411428208279,0.45402492421690804,19.257142857142856,10.0,-0.037821695900278084,0.07989333458173821,-4.112612881404243,8.528571428571428,0.4857142857142857,0.0,0.7556775664065627,-0.14780827114180162,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.26223786796616866,-0.08039194319130671,1.3596255269638229,0.3008337366739602,1.2628524214089687,0.13067818059920633,False,1.8779287257057815
ENTRY_C_STOP_B_EXIT_A,TRAIN,1.0,98,40,58,0.22448979591836735,0.006386958655038099,-0.01553208281062098,1.367975447737702,0.39818902378491994,-0.4221964849650225,0.46718276674520365,14.16326530612245,8.0,-0.025267797036680507,0.06892309401746959,-3.878268568934037,6.183673469387755,0.25510204081632654,0.0,0.5201018982266787,-0.08020046194533492,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.2690760030053472,-0.14016634519136317,1.2320154625558286,0.1493299184500112,1.116658780436673,-0.05560807501507703,False,1.646418386967286
ENTRY_C_STOP_A_EXIT_A,TRAIN,1.0,97,40,57,0.2268041237113402,0.006134737117028137,-0.014853699938067181,1.3436051988660884,0.3488643045541,-0.4494124681382067,0.4675193537529451,14.31958762886598,8.0,-0.025872502778015668,0.0694774941168832,-4.17018217735454,6.237113402061856,0.26804123711340205,0.0,0.4984865880939917,-0.0998489307336442,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.2690760030053472,-0.1704991921006005,1.213126159065652,0.1109141284310049,1.1019026136762382,-0.08541720767315275,False,1.5343076288458461
ENTRY_B_STOP_B_EXIT_A,TRAIN,1.0,88,34,54,0.25,0.0062246356973280174,-0.018607047233302962,1.3209809118893692,0.2874504279051293,-0.4594863436276664,0.4328056584708656,14.602272727272727,7.0,-0.02897481954230342,0.07001711772589916,-4.117023661915751,6.590909090909091,0.29545454545454547,0.0,0.3646634434112235,-0.056580262246262336,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.277741426642524,-0.2082664160715817,1.2021452220806734,0.07951430752911182,1.0991089636357119,-0.0951592686342213,False,1.4102042206810863
ENTRY_C_STOP_B_EXIT_C,TRAIN,1.0,103,43,60,0.39805825242718446,0.0017223614883397206,-0.012000096084004397,1.1026722168306724,0.06454120262079988,-0.30849703155447783,0.3958964009418096,11.427184466019417,10.0,-0.028287875516320397,0.052096338965589815,-3.840381605512874,5.038834951456311,0.4174757281553398,0.0,0.15772264881086362,-0.08048684742047241,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.11605265626865936,-0.12821904891552838,0.9845685382660794,-0.133901751668561,0.8816914164797904,-0.2956448978037084,False,0.9172590115142519
ENTRY_B_STOP_A_EXIT_A,TRAIN,1.0,87,33,54,0.22988505747126436,0.0031843037197934534,-0.020391528796889394,1.1518989279362521,-0.014777236139259187,-0.5697664129177225,0.41865948130683733,14.28735632183908,8.0,-0.03024929278659178,0.06747452246634864,-4.6753331647470215,6.436781609195402,0.28735632183908044,0.0,0.4015228561575015,-0.29703410862532253,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.29803083981804734,-0.3941250607461785,1.0526121457677484,-0.17268570125924876,0.96615116030957,-0.30553031434459144,False,0.6664051507196969
ENTRY_C_STOP_B_EXIT_D,TRAIN,1.0,113,49,64,0.3008849557522124,-0.0006208181654016045,-0.013048887993131758,0.9616932147800045,-0.16941373809272098,-0.3728704540351323,0.3990578734858681,10.495575221238939,8.0,-0.026517862301992195,0.05169547588477618,-3.3221819205618344,4.345132743362832,0.30973451327433627,0.0,-0.12440127890256336,-0.051407634691084336,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.12015506372349664,-0.3144798600851375,0.85112972115598,-0.3379680604806238,0.7569431016061375,-0.472558066535549,False,0.334156352483163
ENTRY_C_STOP_A_EXIT_D,TRAIN,1.0,113,51,62,0.3008849557522124,-0.000973644949947044,-0.013048887993131758,0.9400947929519987,-0.20411641380533974,-0.3634762438359209,0.39683608212722987,10.43362831858407,7.0,-0.027331245329696045,0.05106135021062611,-3.438249304090879,4.327433628318584,0.39823008849557523,0.0,-0.18755854323615073,-0.020380386095931735,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.12256307546130135,-0.3431215366947491,0.8316308242476583,-0.3656863356079638,0.7394279805041539,-0.49468763043505803,False,0.24772896807739375
ENTRY_C_STOP_A_EXIT_C,TRAIN,1.0,111,49,62,0.36936936936936937,-0.0013650650956709308,-0.014351778656126619,0.9249764509010339,-0.24208596878951216,-0.4017555488412037,0.3833726018175698,10.26126126126126,8.0,-0.030083019052700135,0.0480720061519187,-4.345502714666417,4.666666666666667,0.4954954954954955,0.0,-0.12738067268594078,-0.131449410428069,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.11835883927793982,-0.37932415077755743,0.8271489867869511,-0.3935948031493509,0.7418321145437756,-0.5150349142935087,False,0.170936839684231
