trade_id,combo_id,entry,stop_kind,exit,direction,signal_time,entry_time,entry_regime,entry_raw,entry_price,stop_price,scope,exit_time,exit_price,exit_reason,bars,gross_return,net_return,mfe,mae,mfe_capture,exit_delay_bars,best_time,worst_time
ENTRY_B_STOP_A_EXIT_A_TRAIN_0067,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,LONG,2024-07-18 04:00:00,2024-07-18 08:00:00,BULL_REGIME,0.4418,0.4420209,0.4343,TRAIN,2024-07-18 12:00:00,0.43408285,STOP,2,-0.017958539969490074,-0.019958539969490076,0.0013101190464070796,-0.03986440460168285,-15.234142289759955,1,2024-07-18 08:00:00,2024-07-18 12:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0068,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,LONG,2024-07-22 00:00:00,2024-07-22 04:00:00,BULL_REGIME,0.4385,0.43871924999999995,0.4163,TRAIN,2024-07-22 16:00:00,0.4293852,EMA27_CLOSE,4,-0.021275679150162496,-0.023275679150162494,0.0038310377308496592,-0.023977179027361864,-6.075554663096556,3,2024-07-22 04:00:00,2024-07-22 12:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0069,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,SHORT,2024-07-30 16:00:00,2024-07-30 20:00:00,BEAR_REGIME,0.3995,0.39930025,0.4073,TRAIN,2024-07-31 00:00:00,0.40750365,STOP,2,-0.020544439929601775,-0.022544439929601777,0.013524284044400299,-0.020284860828411605,-1.6669599555575922,1,2024-07-30 20:00:00,2024-07-31 00:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0070,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,SHORT,2024-08-07 12:00:00,2024-08-07 16:00:00,BEAR_REGIME,0.3238,0.3236381,0.3409,TRAIN,2024-08-08 16:00:00,0.3395697,EMA27_CLOSE,7,-0.04922658982363322,-0.05122658982363322,0.0236007441645467,-0.049629200023112295,-2.1705497702308207,6,2024-08-07 16:00:00,2024-08-08 12:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0071,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,SHORT,2024-08-12 00:00:00,2024-08-12 04:00:00,BEAR_REGIME,0.3302,0.3300349,0.3563,TRAIN,2024-08-12 12:00:00,0.34257119999999996,EMA27_CLOSE,3,-0.03798477070152261,-0.039984770701522614,0.009498692411014701,-0.03958702549336447,-4.209502631662881,2,2024-08-12 04:00:00,2024-08-12 08:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0072,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,SHORT,2024-08-13 08:00:00,2024-08-13 12:00:00,BEAR_REGIME,0.3334,0.3332333,0.3422,TRAIN,2024-08-13 16:00:00,0.3423711,STOP,2,-0.027421629230932124,-0.029421629230932125,0.0004000200460158179,-0.03501060668306551,-73.55038709677243,1,2024-08-13 12:00:00,2024-08-13 16:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0073,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,SHORT,2024-08-15 12:00:00,2024-08-15 16:00:00,BEAR_REGIME,0.3381,0.33793095,0.3416,TRAIN,2024-08-16 08:00:00,0.3417708,STOP,5,-0.01136282426927743,-0.01336282426927743,0.05276506931371634,-0.021510459459247514,-0.25325133545884965,2,2024-08-16 00:00:00,2024-08-16 08:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0074,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,SHORT,2024-08-29 16:00:00,2024-08-29 20:00:00,BEAR_REGIME,0.354,0.353823,0.3674,TRAIN,2024-09-07 20:00:00,0.32686335,EMA27_CLOSE,55,0.07619530104035069,0.07419530104035069,0.14392224360767952,-0.022827798079830878,0.5155235158965498,6,2024-09-06 20:00:00,2024-08-30 00:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0075,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,LONG,2024-09-15 00:00:00,2024-09-15 04:00:00,BULL_REGIME,0.3541,0.35427705,0.3507,TRAIN,2024-09-15 08:00:00,0.35052465000000005,STOP,2,-0.010591710640020102,-0.012591710640020102,0.0031696944524067013,-0.018846973011658424,-3.972531368270972,1,2024-09-15 04:00:00,2024-09-15 08:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0076,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,SHORT,2024-09-18 08:00:00,2024-09-18 12:00:00,BEAR_REGIME,0.3304,0.33023480000000005,0.3408,TRAIN,2024-09-18 20:00:00,0.34097039999999995,STOP,3,-0.03250899057276792,-0.03450899057276792,0.010703899165079089,-0.04228869882883316,-3.223964467579412,1,2024-09-18 16:00:00,2024-09-18 20:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0077,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,LONG,2024-09-23 00:00:00,2024-09-23 04:00:00,BULL_REGIME,0.357,0.35717849999999995,0.3425,TRAIN,2024-09-30 04:00:00,0.38920530000000003,EMA27_CLOSE,43,0.08966609132408608,0.08766609132408608,0.16412382044271998,-0.01925787806376911,0.5341460556280554,18,2024-09-27 04:00:00,2024-09-23 08:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0078,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,SHORT,2024-10-08 16:00:00,2024-10-08 20:00:00,BEAR_REGIME,0.344,0.34382799999999997,0.3568,TRAIN,2024-10-11 12:00:00,0.34607295,EMA27_CLOSE,17,-0.006529282082901985,-0.008529282082901985,0.03730935235059376,-0.01126144467582641,-0.22860975990022098,5,2024-10-10 16:00:00,2024-10-09 04:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0079,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,SHORT,2024-10-17 08:00:00,2024-10-17 12:00:00,BEAR_REGIME,0.3433,0.34312835,0.3564,TRAIN,2024-10-19 00:00:00,0.35067524999999994,EMA27_CLOSE,10,-0.0219943936430782,-0.023994393643078198,0.012031503663279361,-0.028478119047872216,-1.994297164726805,8,2024-10-17 16:00:00,2024-10-18 16:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0080,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,LONG,2024-10-22 00:00:00,2024-10-22 04:00:00,BULL_REGIME,0.3643,0.36448215,0.3531,TRAIN,2024-10-23 12:00:00,0.35372305000000004,EMA27_CLOSE,9,-0.029518866698958965,-0.03151886669895897,0.012669619074624036,-0.02985646896562693,-2.4877517242872806,2,2024-10-23 04:00:00,2024-10-23 08:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0081,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,SHORT,2024-10-28 00:00:00,2024-10-28 04:00:00,BEAR_REGIME,0.3332,0.33303340000000003,0.3423,TRAIN,2024-10-28 16:00:00,0.34247115,STOP,4,-0.028338749206535938,-0.03033874920653594,0.009108395734481944,-0.0314280789854711,-3.3308554097711816,3,2024-10-28 04:00:00,2024-10-28 16:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0082,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,SHORT,2024-11-03 12:00:00,2024-11-03 16:00:00,BEAR_REGIME,0.3331,0.33293345,0.352,TRAIN,2024-11-06 00:00:00,0.35217599999999993,STOP,15,-0.057796986154439914,-0.059796986154439916,0.039748033728662695,-0.08520186241424521,-1.5044011123327523,7,2024-11-04 20:00:00,2024-11-06 00:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0083,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,LONG,2024-11-13 12:00:00,2024-11-13 16:00:00,BULL_REGIME,0.5961,0.5963980499999999,0.5192,TRAIN,2024-11-14 16:00:00,0.5481258,EMA27_CLOSE,7,-0.08093965095962322,-0.08293965095962322,0.006542526421741392,-0.09121097897620536,-12.67700665052073,6,2024-11-13 16:00:00,2024-11-14 12:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0084,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,LONG,2024-11-14 20:00:00,2024-11-15 00:00:00,BULL_REGIME,0.5796,0.5798898,0.542,TRAIN,2024-11-26 00:00:00,0.9441277,EMA27_CLOSE,67,0.6281157212973913,0.6261157212973913,0.9981382669603777,-0.008259845232663286,0.6272835558184704,18,2024-11-23 00:00:00,2024-11-15 00:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0085,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,LONG,2024-11-28 20:00:00,2024-11-29 00:00:00,BULL_REGIME,1.0333,1.0338166500000001,0.9711,TRAIN,2024-12-06 00:00:00,1.1604195000000002,EMA27_CLOSE,43,0.12246160864211272,0.12046160864211272,0.2845604682416364,-0.00514273976918455,0.42332517017023585,18,2024-12-03 00:00:00,2024-11-29 00:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0086,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,LONG,2024-12-06 12:00:00,2024-12-06 16:00:00,BULL_REGIME,1.2072,1.2078036,1.1343,TRAIN,2024-12-08 16:00:00,1.1878058,EMA27_CLOSE,13,-0.016557162108144126,-0.018557162108144128,0.025994623629205932,-0.028567227320733333,-0.7138846237148232,11,2024-12-06 20:00:00,2024-12-08 08:00:00
ENTRY_B_STOP_A_EXIT_A_TRAIN_0087,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,LONG,2024-12-14 04:00:00,2024-12-14 08:00:00,BULL_REGIME,1.1174,1.1179587,1.0808,TRAIN,2024-12-14 12:00:00,1.0975509500000002,EMA27_CLOSE,2,-0.018254475769095696,-0.020254475769095698,0.007103392996539075,-0.020446819725988098,-2.851380428897023,1,2024-12-14 08:00:00,2024-12-14 08:00:00
ENTRY_B_STOP_A_EXIT_A_TEMPORAL_TEST_0001,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,SHORT,2024-12-21 12:00:00,2024-12-21 16:00:00,BEAR_REGIME,0.9205,0.92003975,0.9975,TEMPORAL_TEST,2024-12-24 00:00:00,0.9266631,EMA27_CLOSE,15,-0.00719898243526969,-0.00919898243526969,0.06732290642877123,-0.024194878536497995,-0.1366397103636987,7,2024-12-22 20:00:00,2024-12-23 20:00:00
ENTRY_B_STOP_A_EXIT_A_TEMPORAL_TEST_0002,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,SHORT,2024-12-26 04:00:00,2024-12-26 08:00:00,BEAR_REGIME,0.8855,0.88505725,0.9279,TEMPORAL_TEST,2024-12-27 12:00:00,0.90595275,EMA27_CLOSE,8,-0.023609207201003048,-0.02560920720100305,0.0390452143067581,-0.03304051800038922,-0.655885942891867,4,2024-12-26 20:00:00,2024-12-27 08:00:00
ENTRY_B_STOP_A_EXIT_A_TEMPORAL_TEST_0003,ENTRY_B_STOP_A_EXIT_A,ENTRY_B,STOP_A,EXIT_A,SHORT,2024-12-29 16:00:00,2024-12-29 20:00:00,BEAR_REGIME,0.8689,0.86846555,0.9123,TEMPORAL_TEST,2025-01-01 16:00:00,0.8770383,EMA27_CLOSE,18,-0.00987114572362717,-0.01187114572362717,0.0454428503237694,-0.041261797891695255,-0.2612324191605083,12,2024-12-30 16:00:00,2024-12-30 00:00:00
