trade_id,combo_id,scope,ref_time,ref_idx,ref_open,ref_close,ref_mid,ref_body_low,ref_body_high
ENTRY_A_STOP_A_EXIT_A_TRAIN_0025,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-15 20:00:00,1379,0.6027,0.6093,0.606,0.6027,0.6093
ENTRY_A_STOP_A_EXIT_A_TRAIN_0025,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-15 20:00:00,1379,0.6027,0.6093,0.606,0.6027,0.6093
ENTRY_A_STOP_A_EXIT_A_TRAIN_0025,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-15 20:00:00,1379,0.6027,0.6093,0.606,0.6027,0.6093
ENTRY_A_STOP_A_EXIT_A_TRAIN_0025,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-15 20:00:00,1379,0.6027,0.6093,0.606,0.6027,0.6093
ENTRY_A_STOP_A_EXIT_A_TRAIN_0025,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-15 20:00:00,1379,0.6027,0.6093,0.606,0.6027,0.6093
ENTRY_A_STOP_A_EXIT_A_TRAIN_0025,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-15 20:00:00,1379,0.6027,0.6093,0.606,0.6027,0.6093
ENTRY_A_STOP_A_EXIT_A_TRAIN_0026,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-18 00:00:00,1392,0.6102,0.6216,0.6159,0.6102,0.6216
ENTRY_A_STOP_A_EXIT_A_TRAIN_0026,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-18 00:00:00,1392,0.6102,0.6216,0.6159,0.6102,0.6216
ENTRY_A_STOP_A_EXIT_A_TRAIN_0026,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-18 00:00:00,1392,0.6102,0.6216,0.6159,0.6102,0.6216
ENTRY_A_STOP_A_EXIT_A_TRAIN_0026,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-18 00:00:00,1392,0.6102,0.6216,0.6159,0.6102,0.6216
