entry_variant,signals,executed_trades,blocked_by_context,blocked_by_late_entry,blocked_by_chop,long_trades,short_trades,profit_factor,total_return,max_drawdown,win_rate,average_trade,median_trade,average_mfe,average_mae,median_mfe,median_mae,mfe_3b,mfe_6b,mfe_12b,mfe_24b,mae_3b,mae_6b,mae_12b,mae_24b,plus1_before_minus1,plus2_before_minus1,bad_entry_share,late_entry_share,good_entry_bad_exit_share,stop_out_rate,average_distance_to_ema27_at_entry,average_move_already_completed_before_entry,top1_profit_share,result_without_top1,cost_mult,scope
ENTRY_T3,12,1,0,10,9,0,1,999.0,0.004024914096392607,0.0,1.0,0.004024914096392643,0.004024914096392643,1.69089244851259,-0.10315789473683873,1.69089244851259,-0.10315789473683873,1.69089244851259,1.69089244851259,1.69089244851259,1.69089244851259,-0.10315789473683873,-0.8399999999999966,-2.9864530892448458,-6.254187643020608,1.0,0.0,0.0,0.0,0.0,0.0,1.115761378308525,0.7368421052631579,1.0,0.0,2,DEVELOPMENT
ENTRY_T3,12,1,0,10,9,0,1,999.0,0.002024914096392605,0.0,1.0,0.002024914096392643,0.002024914096392643,1.69089244851259,-0.10315789473683873,1.69089244851259,-0.10315789473683873,1.69089244851259,1.69089244851259,1.69089244851259,1.69089244851259,-0.10315789473683873,-0.8399999999999966,-2.9864530892448458,-6.254187643020608,1.0,0.0,0.0,0.0,0.0,0.0,1.115761378308525,0.7368421052631579,1.0,0.0,3,DEVELOPMENT
ENTRY_T4,176,35,0,46,94,13,22,1.8363189349756825,0.30476188444846897,-0.1737633001451271,0.45714285714285713,0.010937827824718803,-0.008266791833796357,2.247549699446194,-1.035480909743717,0.825148894668402,-0.8961495422177008,0.823386076291608,1.1599427606394859,1.9202270451885726,3.300849867253084,-0.9405515424895303,-1.313229424648925,-2.169847209855027,-2.8414139475153255,0.4857142857142857,0.37142857142857144,0.5142857142857142,0.0,0.0,0.4,0.8042334585488148,0.358120728740921,0.6171263897779066,-0.140891658769968,1,DEVELOPMENT
ENTRY_T4,176,35,0,46,94,13,22,1.6290469951012327,0.21689076625354953,-0.1969177980713066,0.42857142857142855,0.008937827824718804,-0.01026679183379636,2.247549699446194,-1.035480909743717,0.825148894668402,-0.8961495422177008,0.823386076291608,1.1599427606394859,1.9202270451885726,3.300849867253084,-0.9405515424895303,-1.313229424648925,-2.169847209855027,-2.8414139475153255,0.4857142857142857,0.37142857142857144,0.5142857142857142,0.0,0.0,0.4,0.8042334585488148,0.358120728740921,0.6378539075615944,-0.1976930370671489,2,DEVELOPMENT
ENTRY_T4,176,35,0,46,94,13,22,1.4519351607180426,0.1347788546763784,-0.2194685853498537,0.42857142857142855,0.006937827824718803,-0.012266791833796357,2.247549699446194,-1.035480909743717,0.825148894668402,-0.8961495422177008,0.823386076291608,1.1599427606394859,1.9202270451885726,3.300849867253084,-0.9405515424895303,-1.313229424648925,-2.169847209855027,-2.8414139475153255,0.4857142857142857,0.37142857142857144,0.5142857142857142,0.0,0.0,0.4,0.8042334585488148,0.358120728740921,0.6598192055133734,-0.2508423018298839,3,DEVELOPMENT
ENTRY_T1,183,23,0,28,118,12,11,0.6451319053110592,-0.11369634005425044,-0.16628118865620412,0.30434782608695654,-0.00479079751489227,-0.010966021472274533,1.3286976173437544,-0.7296414122331925,0.6584846933848375,-0.6485771586931113,0.7884433282850978,1.1470894566549075,1.9853330535167009,2.8227222424658867,-0.757143348279646,-1.1060337066254708,-1.5270771446090694,-2.0475357688368474,0.43478260869565216,0.2608695652173913,0.6086956521739131,0.0,0.08695652173913043,0.4782608695652174,0.476164498533003,-0.0566603881970248,0.5026357800787693,-0.19477182933030923,1,VALIDATION
ENTRY_T1,183,23,0,28,118,12,11,0.5445818543667,-0.15380392530019227,-0.19295274321154865,0.2608695652173913,-0.00679079751489227,-0.012966021472274533,1.3286976173437544,-0.7296414122331925,0.6584846933848375,-0.6485771586931113,0.7884433282850978,1.1470894566549075,1.9853330535167009,2.8227222424658867,-0.757143348279646,-1.1060337066254708,-1.5270771446090694,-2.0475357688368474,0.43478260869565216,0.2608695652173913,0.6086956521739131,0.0,0.08695652173913043,0.4782608695652174,0.476164498533003,-0.0566603881970248,0.5283912955992196,-0.22981106390065775,2,VALIDATION
ENTRY_T1,183,23,0,28,118,12,11,0.4652213205651307,-0.1921720751585566,-0.22807338305200675,0.21739130434782608,-0.00879079751489227,-0.014966021472274533,1.3286976173437544,-0.7296414122331925,0.6584846933848375,-0.6485771586931113,0.7884433282850978,1.1470894566549075,1.9853330535167009,2.8227222424658867,-0.757143348279646,-1.1060337066254708,-1.5270771446090694,-2.0475357688368474,0.43478260869565216,0.2608695652173913,0.6086956521739131,0.0,0.08695652173913043,0.4782608695652174,0.476164498533003,-0.0566603881970248,0.5496972306380035,-0.26339201603472373,3,VALIDATION
ENTRY_T4,74,13,0,20,41,7,6,0.7684344698276072,-0.08453051202355943,-0.21575574115780394,0.3076923076923077,-0.005447488504947247,-0.018812170953192826,2.0327271133323572,-0.7784976978868977,0.6769879852125752,-0.7181430508474576,1.2160493330524618,1.769783962446869,2.376938892569483,2.874048991401688,-0.7114829278737381,-1.1225218318604786,-1.262523725834853,-2.331671308277699,0.46153846153846156,0.38461538461538464,0.6153846153846154,0.0,0.07692307692307693,0.38461538461538464,0.722509698981604,0.2316556396317671,0.3902782771731463,-0.16144019489261663,1,VALIDATION
ENTRY_T4,74,13,0,20,41,7,6,0.7010148347128351,-0.10823853694811791,-0.22551055730114833,0.3076923076923077,-0.007447488504947247,-0.020812170953192825,2.0327271133323572,-0.7784976978868977,0.6769879852125752,-0.7181430508474576,1.2160493330524618,1.769783962446869,2.376938892569483,2.874048991401688,-0.7114829278737381,-1.1225218318604786,-1.262523725834853,-2.331671308277699,0.46153846153846156,0.38461538461538464,0.6153846153846154,0.0,0.07692307692307693,0.38461538461538464,0.722509698981604,0.2316556396317671,0.39522194917187414,-0.18165729486661353,2,VALIDATION
