scope,exit_variant,cost_mult,trades,long_trades,short_trades,win_rate,average_trade,median_trade,profit_factor,total_return,max_drawdown,avg_bars_held,median_bars_held,avg_mfe_atr,avg_mae_atr,realized_profit_to_mfe,median_mfe_capture,mean_mfe_capture,giveback_from_mfe_atr,good_entry_bad_exit_share,early_exit_share,late_exit_share,stop_exit_share,ema_exit_share,giveback_exit_share,break_even_exit_share,long_total_return,short_total_return
DEVELOPMENT,EXIT_R3,2.0,43,15,28,0.5348837209302325,0.0042931477559614625,0.002021327109384771,1.346605075285545,0.16344609076060101,-0.20961459166579488,6.534883720930233,4.0,2.0367794337499054,-0.9814434993063732,-2.4829461403143505,0.33278726705994793,-2.4829461403143505,1.6759917295113465,0.0,0.0,0.0,0.4418604651162791,0.0,0.5581395348837209,0.0,-0.15216333385338165,0.3722526250821563
DEVELOPMENT,EXIT_R3,3.0,43,15,28,0.5116279069767442,0.002293147755961461,2.132710938477101e-05,1.1717397967649623,0.06773467055133287,-0.2376192539004014,6.534883720930233,4.0,2.0367794337499054,-0.9814434993063732,-2.4829461403143505,0.33278726705994793,-2.4829461403143505,1.6759917295113465,0.0,0.0,0.0,0.4418604651162791,0.0,0.5581395348837209,0.0,-0.1775411634648978,0.29822262600951754
DEVELOPMENT,EXIT_R4,1.0,43,15,28,0.3488372093023256,0.014987524390754221,-0.009906753701525908,2.2952489982564943,0.7781360275334557,-0.16070079639707446,17.209302325581394,6.0,3.164456352451206,-1.1400614441585943,-1.9528470186951634,-0.3834430482230774,-1.9528470186951634,2.470831311196254,0.16279069767441862,0.0,0.046511627906976744,0.46511627906976744,0.5348837209302325,0.0,0.0,0.007235828774166508,0.765362169153073
DEVELOPMENT,EXIT_R4,2.0,43,15,28,0.3488372093023256,0.01298752439075422,-0.011906753701525908,2.008858970232042,0.633140693529169,-0.17101784256191677,17.209302325581394,6.0,3.164456352451206,-1.1400614441585943,-1.9528470186951634,-0.3834430482230774,-1.9528470186951634,2.470831311196254,0.16279069767441862,0.0,0.046511627906976744,0.46511627906976744,0.5348837209302325,0.0,0.0,-0.022577485488055382,0.670864615129767
DEVELOPMENT,EXIT_R4,3.0,43,15,28,0.3488372093023256,0.010987524390754221,-0.013906753701525908,1.7750900216574215,0.4997152301625065,-0.1871650001371461,17.209302325581394,6.0,3.164456352451206,-1.1400614441585943,-1.9528470186951634,-0.3834430482230774,-1.9528470186951634,2.470831311196254,0.16279069767441862,0.0,0.046511627906976744,0.46511627906976744,0.5348837209302325,0.0,0.0,-0.051565660303516614,0.5812536170320908
DEVELOPMENT,EXIT_R5,1.0,43,15,28,0.5348837209302325,0.008827698062455135,0.004021327109384771,1.989486095415237,0.41824419939021973,-0.12895721909197688,6.395348837209302,4.0,2.0367794337499054,-0.9189083327760752,-1.7895077304467084,0.33278726705994793,-1.7895077304467084,1.5906142208751342,0.0,0.0,0.0,0.3488372093023256,0.09302325581395349,0.5581395348837209,0.0,-0.0416286894552893,0.479848346654002
DEVELOPMENT,EXIT_R5,2.0,43,15,28,0.5348837209302325,0.006827698062455135,0.002021327109384771,1.6930455652842555,0.30209694444621227,-0.13787500794356689,6.395348837209302,4.0,2.0367794337499054,-0.9189083327760752,-1.7895077304467084,0.33278726705994793,-1.7895077304467084,1.5906142208751342,0.0,0.0,0.0,0.3488372093023256,0.09302325581395349,0.5581395348837209,0.0,-0.07008072455137326,0.40022578176802814
DEVELOPMENT,EXIT_R5,3.0,43,15,28,0.5116279069767442,0.004827698062455135,2.132710938477101e-05,1.4462692725017985,0.19525797283863278,-0.1636500092549108,6.395348837209302,4.0,2.0367794337499054,-0.9189083327760752,-1.7895077304467084,0.33278726705994793,-1.7895077304467084,1.5906142208751342,0.0,0.0,0.0,0.3488372093023256,0.09302325581395349,0.5581395348837209,0.0,-0.09774290098023275,0.32474210969045125
EXIT_VALIDATION,EXIT_R0,1.0,12,7,5,0.5,0.13158504595065018,-0.004713547872711324,13.386609786116937,2.451289340878713,-0.06559409641178204,30.416666666666668,15.0,5.545808622576456,-0.8262449065288364,-0.3252174693857242,-0.007923894906238842,-0.3252174693857242,2.7612709418986934,0.08333333333333333,0.0,0.08333333333333333,0.25,0.75,0.0,0.0,2.36397297731808,0.02595632133473491
EXIT_VALIDATION,EXIT_R0,2.0,12,7,5,0.4166666666666667,0.12958504595065018,-0.006713547872711324,12.059267899266349,2.3760690878201345,-0.06945692671266634,30.416666666666668,15.0,5.545808622576456,-0.8262449065288364,-0.3252174693857242,-0.007923894906238842,-0.3252174693857242,2.7612709418986934,0.08333333333333333,0.0,0.08333333333333333,0.25,0.75,0.0,0.0,2.3236120600293604,0.015783137996649765
EXIT_VALIDATION,EXIT_R0,3.0,12,7,5,0.4166666666666667,0.1275850459506502,-0.008713547872711324,10.902601659057881,2.3023506192036836,-0.07331175701355075,30.416666666666668,15.0,5.545808622576456,-0.8262449065288364,-0.3252174693857242,-0.007923894906238842,-0.3252174693857242,2.7612709418986934,0.08333333333333333,0.0,0.08333333333333333,0.25,0.75,0.0,0.0,2.283663976960127,0.005690790036578575
EXIT_VALIDATION,EXIT_R1,1.0,12,7,5,0.4166666666666667,0.023541284086571967,-1.2499999999038888e-06,2.5457609409390947,0.21448831287882109,-0.10467219075982004,23.166666666666668,4.0,2.708357913342763,-0.9129172310234809,-1.0673220589329042,0.037441110520303335,-1.0673220589329042,2.4688957193320245,0.08333333333333333,0.0,0.0,0.9166666666666666,0.0,0.0,0.5833333333333334,0.28769210797688793,-0.056848834161978945
EXIT_VALIDATION,EXIT_R1,2.0,12,7,5,0.08333333333333333,0.021541284086571966,-0.002001249999999904,2.2624933656781288,0.18595510477846489,-0.11201587638706889,23.166666666666668,4.0,2.708357913342763,-0.9129172310234809,-1.0673220589329042,0.037441110520303335,-1.0673220589329042,2.4688957193320245,0.08333333333333333,0.0,0.0,0.9166666666666666,0.0,0.0,0.5833333333333334,0.27024267552076076,-0.06635548652759637
