case_id,start_time,end_time,direction,duration_bars,net_return_pct,start_first1_direction_score,start_first3_direction_score,start_first5_direction_score,start_directional_candle_share_5,start_avg_body,start_max_body,start_avg_body_vs_prev10,start_max_body_vs_prev10,start_consecutive_directional_closes_5,start_updates_prev10_extreme,start_first_pullback_depth_pct,start_acceleration,start_compression,dev_impulse_expansions,dev_pullback_count,dev_avg_pullback_depth_pct,dev_max_pullback_depth_pct,dev_extreme_update_count,dev_directional_bar_share,dev_tempo_change_ratio,end_first_strong_counter_time,end_active_reference_time,end_first_reference_overlap_time,end_max_reference_overlap_ratio,end_full_reference_body_overlap,end_failed_continuation_attempts,end_extreme_lost_after_end,end_type,abs_net_return_pct,cluster_id,cluster_distance,cluster_margin_to_next,borderline,norm_duration_bars,norm_net_return_pct,norm_abs_net_return_pct,norm_start_first1_direction_score,norm_start_first3_direction_score,norm_start_first5_direction_score,norm_start_avg_body_vs_prev10,norm_start_max_body_vs_prev10,norm_start_consecutive_directional_closes_5,norm_start_updates_prev10_extreme,norm_start_first_pullback_depth_pct,norm_start_acceleration,norm_start_compression,norm_dev_impulse_expansions,norm_dev_pullback_count,norm_dev_avg_pullback_depth_pct,norm_dev_max_pullback_depth_pct,norm_dev_extreme_update_count,norm_dev_directional_bar_share,norm_dev_tempo_change_ratio,norm_end_max_reference_overlap_ratio,norm_end_full_reference_body_overlap,norm_end_failed_continuation_attempts,norm_end_extreme_lost_after_end
21,2023-08-22 20:00,2023-08-24 00:00,UP,8,6.040300,1.000000,0.666667,0.600000,0.600000,0.001960,0.005000,0.834043,2.127660,1,0,0.078958,1,1,2,3,0.078958,0.118437,5,0.625000,1.426471,2023-08-24 12:00,2023-08-24 00:00,2023-08-24 04:00,16.333333,1,3,0,counter_impulse,6.040300,5,5.188724,0.088840,1,0.529209,0.408750,-0.237813,0.252646,-0.305303,-0.806419,-0.650409,-0.368837,-1.155493,-1.224745,-0.928610,0.403473,1.175139,-0.306776,2.730546,-1.103238,-1.091666,0.892652,-1.180147,-0.163908,3.210552,0.750000,-0.027746,-0.500000
22,2023-10-25 00:00,2023-10-26 04:00,UP,8,5.840200,1.000000,0.666667,0.600000,0.600000,0.004240,0.008800,1.081633,2.244898,2,0,2.723038,1,0,2,2,1.755643,2.723038,4,0.625000,1.639706,,2023-10-26 04:00,2023-10-26 08:00,2.727273,1,3,0,gradual,5.840200,4,2.968071,1.001087,0,0.529209,0.386949,-0.272005,0.252646,-0.305303,-0.806419,-0.301750,-0.318318,-0.085592,-1.224745,1.893269,0.403473,-0.850963,-0.306776,0.980196,0.809882,1.511891,0.184198,-1.180147,-0.054346,-0.137617,0.750000,-0.027746,-0.500000
23,2023-12-15 00:00,2023-12-15 20:00,DOWN,6,-6.618000,1.000000,0.666667,0.800000,0.800000,0.008960,0.015800,0.587927,1.036745,2,0,1.320491,0,1,0,1,1.320491,1.320491,4,0.833333,1.746544,2023-12-16 00:00,2023-12-15 20:00,2023-12-16 00:00,1.722973,1,3,0,counter_impulse,6.618000,5,4.464311,0.808541,0,-2.256101,-0.970363,-0.139099,0.252646,-0.305303,0.686950,-0.996992,-0.838926,-0.085592,-1.224745,0.396409,-2.478479,1.175139,-1.640583,-0.770154,0.313368,0.109906,0.184198,1.045822,0.000548,-0.384754,0.750000,-0.027746,-0.500000
24,2023-11-08 04:00,2023-11-09 08:00,UP,8,5.408500,1.000000,0.333333,0.600000,0.600000,0.000980,0.002000,0.166667,0.340136,2,0,0.253521,0,0,0,1,0.253521,0.253521,5,0.750000,3.772727,2023-11-09 16:00,2023-11-09 08:00,2023-11-09 16:00,4.256410,1,3,1,sharp,5.408500,5,3.682943,2.398343,0,0.529209,0.339916,-0.345772,0.252646,-2.001440,-0.806419,-1.590214,-1.139103,-0.085592,-1.224745,-0.742309,-2.478479,-0.850963,-1.640583,-0.770154,-0.904059,-0.956636,0.892652,0.155436,1.041621,0.238672,0.750000,-0.027746,2.000000
25,2023-09-30 16:00,2023-10-01 20:00,UP,8,5.144400,1.000000,1.000000,1.000000,1.000000,0.001880,0.006600,0.989474,3.473684,4,1,0.000000,1,1,2,1,0.831025,0.831025,4,0.750000,5.142857,,2023-10-01 20:00,2023-10-02 04:00,1.508772,1,4,0,pause,5.144400,3,3.933396,1.735077,0,0.529209,0.311142,-0.390900,0.252646,1.390829,2.180319,-0.431529,0.211181,2.054210,0.816497,-1.012878,0.403473,1.175139,-0.306776,-0.770154,-0.245119,-0.379364,0.184198,0.155436,1.745607,-0.437465,0.750000,0.665896,-0.500000
26,2023-11-26 08:00,2023-11-27 12:00,DOWN,8,-5.135300,1.000000,1.000000,0.800000,0.800000,0.003340,0.005300,1.050314,1.666667,2,1,0.683026,1,1,2,1,0.683026,0.683026,3,0.875000,0.932331,2023-11-28 16:00,2023-11-27 12:00,2023-11-27 16:00,2.481481,1,3,0,pause,5.135300,3,2.648626,1.802630,0,0.529209,-0.808824,-0.392455,0.252646,1.390829,0.686950,-0.345854,-0.567485,-0.085592,0.816497,-0.283922,0.403473,1.175139,-0.306776,-0.770154,-0.413988,-0.527303,-0.524256,1.491020,-0.417802,-0.198101,0.750000,-0.027746,-0.500000
27,2023-09-10 12:00,2023-09-11 16:00,DOWN,8,-4.918000,1.000000,0.333333,0.600000,0.600000,0.001160,0.002300,1.247312,2.473118,2,0,0.399840,1,0,4,1,0.399840,0.399840,3,0.750000,2.325581,2023-09-11 20:00,2023-09-11 16:00,2023-09-11 20:00,3.239130,1,4,1,counter_impulse,4.918000,5,3.562911,0.997674,0,0.529209,-0.785149,-0.429586,0.252646,-2.001440,-0.806419,-0.068439,-0.219975,-0.085592,-1.224745,-0.586151,0.403473,-0.850963,1.027032,-0.770154,-0.737107,-0.810376,-0.524256,0.155436,0.298063,-0.011659,0.750000,0.665896,2.000000
28,2023-11-22 16:00,2023-11-23 20:00,UP,8,4.899800,1.000000,0.666667,0.800000,0.800000,0.002800,0.008800,0.564516,1.774194,2,0,0.054142,1,0,2,2,0.703844,1.353546,2,0.750000,1.280000,2023-11-24 16:00,2023-11-23 08:00,,0.066667,0,0,0,pause,4.899800,3,3.822635,0.867429,0,0.529209,0.284493,-0.432696,0.252646,-0.305303,0.686950,-1.029959,-0.521150,-0.085592,-1.224745,-0.955095,0.403473,-0.850963,-0.306776,0.980196,-0.390235,0.142948,-1.232710,0.155436,-0.239167,-0.792337,-1.333333,-2.108672,-0.500000
29,2023-08-02 00:00,2023-08-03 04:00,DOWN,8,-4.834000,1.000000,0.666667,0.800000,0.800000,0.002620,0.005000,1.164444,2.222222,2,0,0.741218,1,1,2,2,0.402836,0.741218,5,0.750000,0.652893,,2023-08-03 04:00,2023-08-03 12:00,0.731707,0,3,0,pause,4.834000,3,3.157411,0.571967,1,0.529209,-0.775997,-0.443939,0.252646,-0.305303,0.686950,-0.185135,-0.328089,-0.085592,-1.224745,-0.221817,0.403473,1.175139,-0.306776,0.980196,-0.733689,-0.469135,0.892652,0.155436,-0.561380,-0.628684,-1.333333,-0.027746,-0.500000
30,2023-12-25 00:00,2023-12-25 20:00,UP,6,5.502100,1.000000,0.666667,0.800000,0.800000,0.006300,0.012100,1.197719,2.300380,3,0,0.236287,1,0,2,1,0.236287,0.236287,5,0.833333,1.011364,2023-12-26 04:00,2023-12-25 20:00,2023-12-26 00:00,16.846154,1,5,1,counter_impulse,5.502100,5,4.174569,2.193776,0,-2.256101,0.350114,-0.329778,0.252646,-0.305303,0.686950,-0.138277,-0.294410,0.984309,-1.224745,-0.760702,0.403473,-0.850963,-0.306776,-0.770154,-0.923723,-0.973863,0.892652,1.045822,-0.377194,3.336747,0.750000,1.359538,2.000000
