correction_id,direction,start_i,end_i,start_time,end_time,duration_bars,max_depth_pct,min_abs_distance_to_ema27_pct,min_abs_distance_to_ema200_pct,changed_ema27_slope,changed_ema200_slope,bars_to_update_extreme,updated_extreme
365,DOWN_TREND_PULLBACK,1827,1827,2024-04-30 12:00:00+00:00,2024-04-30 12:00:00+00:00,1,0.9726725335803569,5.1066467113963085,16.702522477921356,False,False,1.0,True
366,DOWN_TREND_PULLBACK,1829,1829,2024-04-30 20:00:00+00:00,2024-04-30 20:00:00+00:00,1,1.9879796578825697,3.3255207256831816,15.43231965303411,False,False,2.0,True
367,DOWN_TREND_PULLBACK,1832,1835,2024-05-01 08:00:00+00:00,2024-05-01 20:00:00+00:00,4,5.237315875613742,0.007460692713038063,12.917288037474838,False,False,,False
368,DOWN_TREND_PULLBACK,1838,1838,2024-05-02 08:00:00+00:00,2024-05-02 08:00:00+00:00,1,1.911830859199282,0.7576124646896456,11.989086694267757,True,False,,False
369,DOWN_TREND_PULLBACK,1845,1845,2024-05-03 12:00:00+00:00,2024-05-03 12:00:00+00:00,1,4.2178085248828445,3.1741690360833617,8.593615429586034,True,False,,False
370,DOWN_TREND_PULLBACK,1855,1857,2024-05-05 04:00:00+00:00,2024-05-05 12:00:00+00:00,3,1.8901098901098892,0.03911835753264316,8.30963216723488,True,False,6.0,True
371,DOWN_TREND_PULLBACK,1861,1861,2024-05-06 04:00:00+00:00,2024-05-06 04:00:00+00:00,1,2.189621195533175,1.5753709648756276,7.372951556343232,True,False,2.0,True
372,DOWN_TREND_PULLBACK,1867,1867,2024-05-07 04:00:00+00:00,2024-05-07 04:00:00+00:00,1,0.02225684397953361,1.91507303120152,10.315880866561521,False,False,4.0,True
373,DOWN_TREND_PULLBACK,1869,1869,2024-05-07 12:00:00+00:00,2024-05-07 12:00:00+00:00,1,0.7575757575757607,1.0775726294280241,9.57635403422813,False,False,1.0,True
374,DOWN_TREND_PULLBACK,1872,1872,2024-05-08 00:00:00+00:00,2024-05-08 00:00:00+00:00,1,0.6343452650656931,2.27924312941764,10.882350666144928,False,False,1.0,True
375,DOWN_TREND_PULLBACK,1874,1875,2024-05-08 08:00:00+00:00,2024-05-08 12:00:00+00:00,2,5.079726651480635,1.814692504226547,7.1665239281835476,True,False,,False
376,DOWN_TREND_PULLBACK,1878,1878,2024-05-09 00:00:00+00:00,2024-05-09 00:00:00+00:00,1,2.5232403718459544,1.9349580728943094,6.577749799639244,True,False,2.0,True
377,DOWN_TREND_PULLBACK,1881,1881,2024-05-09 12:00:00+00:00,2024-05-09 12:00:00+00:00,1,0.9078830823737805,0.32023980492013115,7.858239550290678,True,False,6.0,True
378,DOWN_TREND_PULLBACK,1891,1891,2024-05-11 04:00:00+00:00,2024-05-11 04:00:00+00:00,1,0.5824372759856611,1.2087823321173552,8.533034836538992,False,False,1.0,True
379,DOWN_TREND_PULLBACK,1896,1896,2024-05-12 00:00:00+00:00,2024-05-12 00:00:00+00:00,1,0.3416856492027338,2.200835991427664,9.821568301659937,False,False,1.0,True
380,DOWN_TREND_PULLBACK,1898,1899,2024-05-12 08:00:00+00:00,2024-05-12 12:00:00+00:00,2,0.775901414879054,1.512182884287949,9.331241320171204,False,False,2.0,True
381,DOWN_TREND_PULLBACK,1903,1904,2024-05-13 04:00:00+00:00,2024-05-13 08:00:00+00:00,2,4.3731100255873425,0.33860554058977127,7.435307213702176,True,False,,False
382,DOWN_TREND_PULLBACK,1909,1909,2024-05-14 04:00:00+00:00,2024-05-14 04:00:00+00:00,1,0.5518510002299409,1.4319704055016453,9.370668920922997,False,False,2.0,True
383,DOWN_TREND_PULLBACK,1911,1911,2024-05-14 12:00:00+00:00,2024-05-14 12:00:00+00:00,1,0.6697459584295643,1.4676148904780306,9.482297028326789,False,False,1.0,True
384,DOWN_TREND_PULLBACK,1914,1915,2024-05-15 00:00:00+00:00,2024-05-15 04:00:00+00:00,2,0.6067677946324367,1.8696942783632418,10.104383443340984,False,False,,False
385,DOWN_TREND_PULLBACK,1917,1917,2024-05-15 12:00:00+00:00,2024-05-15 12:00:00+00:00,1,3.434671617544669,1.477209237639409,6.90144875358499,True,False,,False
