validation,fold_group,model,feature,coefficient
group_oof,M06,Model 2,price_between_ema27_ema200,-0.9599092391528253
group_oof,M06,Model 2,ema27_turning_against_previous_state,0.29106983127504693
group_oof,M07,Model 2,price_minus_ema27_atr,0.3816573888153385
group_oof,M07,Model 2,ema27_slope_5,-0.22297312700967084
group_oof,M07,Model 2,ema27_slope_10,-0.08208095403820245
group_oof,M07,Model 2,ema27_slope_change,-0.48202587360224
group_oof,M07,Model 2,fraction_last10_above_ema27,0.9665703555897275
group_oof,M07,Model 2,number_of_ema27_crosses_last20,0.38197239166438723
group_oof,M07,Model 2,distance_change_to_ema27_last10,0.6084501402922303
group_oof,M07,Model 2,price_minus_ema200_atr,-0.00846387122772204
group_oof,M07,Model 2,ema200_slope_10,-0.3246075618043462
group_oof,M07,Model 2,ema200_slope_30,-0.47768413643051455
group_oof,M07,Model 2,fraction_last30_above_ema200,-0.39129247629115144
group_oof,M07,Model 2,number_of_ema200_crosses_last50,-1.555665199738194
group_oof,M07,Model 2,distance_change_to_ema200_last20,-0.0754649558565854
group_oof,M07,Model 2,ema27_minus_ema200_atr,-0.3643020718405725
group_oof,M07,Model 2,ema27_above_ema200,0.5217878086314723
group_oof,M07,Model 2,ema27_ema200_distance_change_last20,0.07915758136481489
group_oof,M07,Model 2,price_between_ema27_ema200,-0.9898564572610264
group_oof,M07,Model 2,ema27_turning_against_previous_state,0.4013803098889435
group_oof,M08,Model 2,price_minus_ema27_atr,0.26553776919928085
group_oof,M08,Model 2,ema27_slope_5,-0.25906425732812877
group_oof,M08,Model 2,ema27_slope_10,-0.05807265584069402
group_oof,M08,Model 2,ema27_slope_change,-0.6771243165544001
group_oof,M08,Model 2,fraction_last10_above_ema27,1.2440558663628978
group_oof,M08,Model 2,number_of_ema27_crosses_last20,0.3773943956692104
group_oof,M08,Model 2,distance_change_to_ema27_last10,0.7061219553940246
group_oof,M08,Model 2,price_minus_ema200_atr,-0.014115001586311559
group_oof,M08,Model 2,ema200_slope_10,-0.2466097847555939
group_oof,M08,Model 2,ema200_slope_30,-0.4223671046627243
group_oof,M08,Model 2,fraction_last30_above_ema200,-0.5932649790098501
group_oof,M08,Model 2,number_of_ema200_crosses_last50,-1.223713575635767
group_oof,M08,Model 2,distance_change_to_ema200_last20,-0.18970734309550336
group_oof,M08,Model 2,ema27_minus_ema200_atr,-0.28006062035263013
group_oof,M08,Model 2,ema27_above_ema200,0.27443492550901244
group_oof,M08,Model 2,ema27_ema200_distance_change_last20,0.03518941177816165
group_oof,M08,Model 2,price_between_ema27_ema200,-0.8991319204401209
group_oof,M08,Model 2,ema27_turning_against_previous_state,0.30311093790911114
group_oof,M09,Model 2,price_minus_ema27_atr,0.13000010636922696
group_oof,M09,Model 2,ema27_slope_5,-0.21506564743670506
group_oof,M09,Model 2,ema27_slope_10,-0.059081641527954254
group_oof,M09,Model 2,ema27_slope_change,-0.5255213930760508
group_oof,M09,Model 2,fraction_last10_above_ema27,1.288416011241801
group_oof,M09,Model 2,number_of_ema27_crosses_last20,0.3108479588589648
group_oof,M09,Model 2,distance_change_to_ema27_last10,0.6852933503344122
group_oof,M09,Model 2,price_minus_ema200_atr,-0.1125006829335647
group_oof,M09,Model 2,ema200_slope_10,-0.27693991851836103
group_oof,M09,Model 2,ema200_slope_30,-0.47405465812792547
group_oof,M09,Model 2,fraction_last30_above_ema200,-0.7208418152901157
group_oof,M09,Model 2,number_of_ema200_crosses_last50,-1.3471064663229808
group_oof,M09,Model 2,distance_change_to_ema200_last20,-0.12700470037050196
group_oof,M09,Model 2,ema27_minus_ema200_atr,-0.3157481769945428
group_oof,M09,Model 2,ema27_above_ema200,0.6632840335322316
group_oof,M09,Model 2,ema27_ema200_distance_change_last20,0.04746128055470012
group_oof,M09,Model 2,price_between_ema27_ema200,-0.9722860891579521
group_oof,M09,Model 2,ema27_turning_against_previous_state,0.3465834517034129
group_oof,M10,Model 2,price_minus_ema27_atr,0.4686485857287753
group_oof,M10,Model 2,ema27_slope_5,-0.2644878612391684
group_oof,M10,Model 2,ema27_slope_10,-0.035999582968205164
group_oof,M10,Model 2,ema27_slope_change,-0.7400602960054398
group_oof,M10,Model 2,fraction_last10_above_ema27,1.0462517862301204
group_oof,M10,Model 2,number_of_ema27_crosses_last20,0.403557550016362
group_oof,M10,Model 2,distance_change_to_ema27_last10,0.6200531199341434
group_oof,M10,Model 2,price_minus_ema200_atr,-0.05833223908691671
group_oof,M10,Model 2,ema200_slope_10,-0.4362732081719144
group_oof,M10,Model 2,ema200_slope_30,-0.5966760710076273
group_oof,M10,Model 2,fraction_last30_above_ema200,-0.450575590283736
group_oof,M10,Model 2,number_of_ema200_crosses_last50,-1.0597578840670345
group_oof,M10,Model 2,distance_change_to_ema200_last20,-0.04610012459841816
group_oof,M10,Model 2,ema27_minus_ema200_atr,-0.5446005997162574
group_oof,M10,Model 2,ema27_above_ema200,0.46048263009323204
group_oof,M10,Model 2,ema27_ema200_distance_change_last20,0.17124633069826864
group_oof,M10,Model 2,price_between_ema27_ema200,-0.9538379465016794
group_oof,M10,Model 2,ema27_turning_against_previous_state,0.29479707240192493
group_oof,M11,Model 2,price_minus_ema27_atr,0.2048974015820275
group_oof,M11,Model 2,ema27_slope_5,0.02000668304737713
group_oof,M11,Model 2,ema27_slope_10,0.1761271574429199
group_oof,M11,Model 2,ema27_slope_change,-0.4276050044787235
group_oof,M11,Model 2,fraction_last10_above_ema27,1.3281524309693382
group_oof,M11,Model 2,number_of_ema27_crosses_last20,0.27634303025769474
group_oof,M11,Model 2,distance_change_to_ema27_last10,0.8200212416057752
group_oof,M11,Model 2,price_minus_ema200_atr,-0.08358788871245479
group_oof,M11,Model 2,ema200_slope_10,-0.2146656524343766
group_oof,M11,Model 2,ema200_slope_30,-0.4039574175583045
group_oof,M11,Model 2,fraction_last30_above_ema200,-0.6918619463742278
group_oof,M11,Model 2,number_of_ema200_crosses_last50,-1.4585929867649412
group_oof,M11,Model 2,distance_change_to_ema200_last20,-0.3310896397324478
group_oof,M11,Model 2,ema27_minus_ema200_atr,-0.3376368821087392
group_oof,M11,Model 2,ema27_above_ema200,-0.2072077414742334
