mapping,factor,representation,family,bin,support,up_support,down_support,third_1,third_2,third_3,concentration_flag
5m->15m,1.2,HYBRID_ORIGIN,displacement_atr,Q1,1873,955,918,587,648,638,NO
5m->15m,1.2,HYBRID_ORIGIN,displacement_atr,Q2,1867,940,927,654,611,602,NO
5m->15m,1.2,HYBRID_ORIGIN,displacement_atr,Q3,1880,929,951,656,606,618,NO
5m->15m,1.2,HYBRID_ORIGIN,displacement_atr,Q4,1875,937,938,602,630,643,NO
5m->15m,1.2,HYBRID_ORIGIN,boundary_distance_atr,Q1,1873,930,943,616,631,626,NO
5m->15m,1.2,HYBRID_ORIGIN,boundary_distance_atr,Q2,1868,910,958,605,625,638,NO
5m->15m,1.2,HYBRID_ORIGIN,boundary_distance_atr,Q3,1879,943,936,662,615,602,NO
5m->15m,1.2,HYBRID_ORIGIN,boundary_distance_atr,Q4,1875,978,897,616,624,635,NO
3m->15m,1.2,FIXED_8,age_parent_bars,1-2,0,0,0,0,0,0,NO
3m->15m,1.2,FIXED_8,age_parent_bars,3-4,0,0,0,0,0,0,NO
3m->15m,1.2,FIXED_8,age_parent_bars,5-8,0,0,0,0,0,0,NO
3m->15m,1.2,FIXED_8,age_parent_bars,9+,0,0,0,0,0,0,NO
3m->15m,1.2,FIXED_8,efficiency,<0.25,4224,2119,2105,1405,1419,1400,NO
3m->15m,1.2,FIXED_8,efficiency,"[0.25,0.50)",3168,1569,1599,1057,1039,1072,NO
3m->15m,1.2,FIXED_8,efficiency,"[0.50,0.75)",118,79,39,41,46,31,NO
3m->15m,1.2,FIXED_8,efficiency,>=0.75,1,0,1,1,0,0,YES
3m->15m,1.2,FIXED_8,displacement_atr,Q1,1877,983,894,648,597,632,NO
3m->15m,1.2,FIXED_8,displacement_atr,Q2,1878,913,965,615,647,616,NO
3m->15m,1.2,FIXED_8,displacement_atr,Q3,1876,914,962,602,640,634,NO
3m->15m,1.2,FIXED_8,displacement_atr,Q4,1880,957,923,639,620,621,NO
3m->15m,1.2,FIXED_8,boundary_distance_atr,Q1,1877,954,923,624,612,641,NO
3m->15m,1.2,FIXED_8,boundary_distance_atr,Q2,1878,900,978,624,657,597,NO
3m->15m,1.2,FIXED_8,boundary_distance_atr,Q3,1877,905,972,635,617,625,NO
3m->15m,1.2,FIXED_8,boundary_distance_atr,Q4,1879,1008,871,621,618,640,NO
3m->15m,1.2,DIRECTION_RUN,age_parent_bars,1-2,0,0,0,0,0,0,NO
3m->15m,1.2,DIRECTION_RUN,age_parent_bars,3-4,1994,999,995,660,656,678,NO
3m->15m,1.2,DIRECTION_RUN,age_parent_bars,5-8,1168,572,596,393,398,377,NO
3m->15m,1.2,DIRECTION_RUN,age_parent_bars,9+,101,48,53,44,38,19,NO
3m->15m,1.2,DIRECTION_RUN,efficiency,<0.25,202,107,95,79,65,58,NO
3m->15m,1.2,DIRECTION_RUN,efficiency,"[0.25,0.50)",5120,2474,2646,1689,1757,1674,NO
