move_id,direction,executable_time,price,zone,ema27_relation_to_ema200,ema27_slope_10,ema200_slope_20,ema_distance_atr,price_distance_ema27_atr,bars_from_move_start,atr_from_move_start,fraction_move_completed,pullback_to_ema27,pullback_depth_atr,new_extremum_after_pullback,ema27_crossings_last10,timestamp,blocked_reason,distance_to_EMA27,previous_allowed_entry_in_move,why_EMA_context_insufficient
M08,SHORT,2024-06-16 20:00:00,0.4161,ZONE_5_LATE_MOVE,EMA27_BELOW_EMA200,-0.006120892661800881,-0.007669037692485281,5.210664223028643,0.5031037650780018,161,14.664233576642319,0.6439790575916228,False,3.150851581508507,False,0.0,2024-06-16 16:00:00,TOO_LATE,0.5031037650780018,M08:PRIMARY_ENTRY,Late zone after prior allowed label; EMA context does not show that this is a repeated same-move entry.
M08,SHORT,2024-06-21 16:00:00,0.3801,ZONE_6_EXHAUSTION_OR_CHOP,EMA27_BELOW_EMA200,-0.005306888847786462,-0.011004361883521052,5.299523446415127,1.281319386809699,190,14.774416594641295,0.9132385938668661,True,3.702679343128779,False,0.0,2024-06-21 12:00:00,EXHAUSTION,1.281319386809699,M08:PRIMARY_ENTRY,Exhaustion/chop zone; EMA context lags and crossings_last10=0 can understate local instability.
M09,LONG,2024-07-11 04:00:00,0.3882,ZONE_4_MATURE_MOVE,EMA27_BELOW_EMA200,0.008478731011233476,-0.005333379859975729,3.005721097923626,1.7969038109651696,36,8.806231742940605,0.506269592476489,True,1.5676728334956203,True,0.0,2024-07-11 00:00:00,MATURE_MOVE,1.7969038109651696,M09:PRIMARY_ENTRY,"EMA can still point in direction, but 0.51 of full retrospective movement is already completed."
M09,LONG,2024-07-13 12:00:00,0.4198,ZONE_5_LATE_MOVE,EMA27_BELOW_EMA200,0.01597631731882787,0.00028211841746689226,0.2474688431061078,2.7436727126405427,50,11.057471264367795,0.7539184952978057,True,0.7701149425287387,False,0.0,2024-07-13 08:00:00,TOO_LATE,2.7436727126405427,M09:PRIMARY_ENTRY,Late zone after prior allowed label; EMA context does not show that this is a repeated same-move entry.
M09,LONG,2024-07-15 04:00:00,0.4343,ZONE_6_EXHAUSTION_OR_CHOP,EMA27_ABOVE_EMA200,0.019577343189883356,0.00451678960497659,1.4426782038366468,1.9316925972191772,60,11.378854625550662,0.8675548589341695,False,1.582966226138029,False,0.0,2024-07-15 00:00:00,EXHAUSTION,1.9316925972191772,M09:PRIMARY_ENTRY,Exhaustion/chop zone; EMA context lags and crossings_last10=0 can understate local instability.
M10,SHORT,2024-07-27 04:00:00,0.4149,ZONE_4_MATURE_MOVE,EMA27_BELOW_EMA200,-0.004030428882518977,-0.001312543455746329,0.05063641320564043,0.25502732745019036,66,3.9487179487179493,0.23329048843187658,True,3.92696192696193,False,1.0,2024-07-27 00:00:00,MATURE_MOVE,0.25502732745019036,M10:PRIMARY_ENTRY,"EMA can still point in direction, but 0.23 of full retrospective movement is already completed."
M10,SHORT,2024-07-31 20:00:00,0.3949,ZONE_5_LATE_MOVE,EMA27_BELOW_EMA200,-0.005751426019610761,-0.0013094325438512966,0.6606621806249382,1.4184610697630438,94,6.847958297132927,0.3618251928020566,True,2.9313640312771505,False,0.0,2024-07-31 16:00:00,TOO_LATE,1.4184610697630438,M10:PRIMARY_ENTRY,Late zone after prior allowed label; EMA context does not show that this is a repeated same-move entry.
M10,SHORT,2024-08-03 16:00:00,0.3593,ZONE_6_EXHAUSTION_OR_CHOP,EMA27_BELOW_EMA200,-0.01467565023027756,-0.005864409837993523,1.9465593166627682,2.022132311418754,111,7.7273273273273215,0.5906169665809767,True,1.5471471471471439,False,0.0,2024-08-03 12:00:00,EXHAUSTION,2.022132311418754,M10:PRIMARY_ENTRY,Exhaustion/chop zone; EMA context lags and crossings_last10=0 can understate local instability.
M11,LONG,2024-11-16 04:00:00,0.7463,ZONE_4_MATURE_MOVE,EMA27_ABOVE_EMA200,0.04517459392081424,0.03651816190766427,4.229487096747364,3.7676309575646147,123,10.762148337595907,0.43181118522319134,True,1.3069053708439906,True,2.0,2024-11-16 00:00:00,MATURE_MOVE,3.7676309575646147,M11:PRIMARY_ENTRY,"EMA can still point in direction, but 0.43 of full retrospective movement is already completed."
M11,LONG,2024-11-24 12:00:00,1.0051,ZONE_5_LATE_MOVE,EMA27_ABOVE_EMA200,0.13536812839808032,0.08154691849598583,4.863140644747077,0.8539221471944966,173,9.545901474867064,0.6973832734735763,True,2.2277515802147096,False,0.0,2024-11-24 08:00:00,TOO_LATE,0.8539221471944966,M11:PRIMARY_ENTRY,Late zone after prior allowed label; EMA context does not show that this is a repeated same-move entry.
M11,LONG,2024-11-29 20:00:00,1.052,ZONE_6_EXHAUSTION_OR_CHOP,EMA27_ABOVE_EMA200,0.030097599913414985,0.06639569105149212,7.2534276760209755,1.0486820653292648,205,17.557396858277247,0.745510518214469,True,2.926635594683241,False,2.0,2024-11-29 16:00:00,EXHAUSTION,1.0486820653292648,M11:PRIMARY_ENTRY,Exhaustion/chop zone; EMA context lags and crossings_last10=2 can understate local instability.
M12,SHORT,2024-12-12 12:00:00,1.1406,ZONE_4_MATURE_MOVE,EMA27_ABOVE_EMA200,-0.011866030192803523,0.026898592156569534,3.0095434394903506,0.8469342694944177,56,3.0308298247996737,0.29633760922104474,True,5.447507809316856,False,3.0,2024-12-12 08:00:00,MATURE_MOVE,0.8469342694944177,M12:PRIMARY_ENTRY,"EMA can still point in direction, but 0.30 of full retrospective movement is already completed."
M12,SHORT,2024-12-16 12:00:00,1.0542,ZONE_5_LATE_MOVE,EMA27_ABOVE_EMA200,-0.012059634405550579,0.025350725535321583,3.3357811002482967,0.9215066838082229,80,7.069022185702546,0.45696226064324225,True,5.910024650780611,False,4.0,2024-12-16 08:00:00,TOO_LATE,0.9215066838082229,M12:PRIMARY_ENTRY,Late zone after prior allowed label; EMA context does not show that this is a repeated same-move entry.
M12,SHORT,2024-12-19 00:00:00,0.9681,ZONE_6_EXHAUSTION_OR_CHOP,EMA27_ABOVE_EMA200,-0.02605332073737454,0.016942619214105115,1.931682659209556,2.2749983575150945,95,8.490042024483838,0.617029187581335,True,3.192399049881241,False,2.0,2024-12-18 20:00:00,EXHAUSTION,2.2749983575150945,M12:PRIMARY_ENTRY,Exhaustion/chop zone; EMA context lags and crossings_last10=2 can understate local instability.
