entry_variant,signal_time,entry_time,direction,scope,executed,blocked,block_reason,move_id,zone,signal_number_in_move
ENTRY_T4,2023-11-16 00:00:00,2023-11-16 04:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,49.0
ENTRY_T1,2023-11-16 12:00:00,2023-11-16 16:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M01,ZONE_4_MATURE_MOVE,50.0
ENTRY_A,2023-11-17 00:00:00,2023-11-17 04:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_4_MATURE_MOVE,51.0
ENTRY_T1,2023-11-17 00:00:00,2023-11-17 04:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_4_MATURE_MOVE,52.0
ENTRY_T2,2023-11-17 00:00:00,2023-11-17 04:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_4_MATURE_MOVE,53.0
ENTRY_T1,2023-11-18 16:00:00,2023-11-18 20:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,54.0
ENTRY_T2,2023-11-18 16:00:00,2023-11-18 20:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,55.0
ENTRY_T1,2023-11-18 20:00:00,2023-11-19 00:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK|CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,56.0
ENTRY_T2,2023-11-18 20:00:00,2023-11-19 00:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK|CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,57.0
ENTRY_T4,2023-11-18 20:00:00,2023-11-19 00:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK|CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,58.0
ENTRY_T1,2023-11-19 00:00:00,2023-11-19 04:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,59.0
ENTRY_T1,2023-11-19 04:00:00,2023-11-19 08:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,60.0
ENTRY_T1,2023-11-19 08:00:00,2023-11-19 12:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,61.0
