dt,backbone_state,direction,updates_directional_extreme_h5,forward_mfe_pct_h5,forward_mae_pct_h5,updates_directional_extreme_h10,forward_mfe_pct_h10,forward_mae_pct_h10,updates_directional_extreme_h20,forward_mfe_pct_h20,forward_mae_pct_h20
2024-03-13 04:00:00,1,LONG,1.0,1.3237221494102225,-3.5779816513761458,1.0,6.212319790301441,-6.513761467889903,1.0,6.212319790301441,-12.319790301441675
2024-03-13 08:00:00,1,LONG,1.0,4.534071437986027,-3.031501252141824,1.0,6.814287597205743,-7.987346777382362,1.0,6.814287597205743,-12.982733623303023
2024-03-13 12:00:00,1,LONG,1.0,8.603591530420804,-0.6298579469311079,1.0,8.603591530420804,-6.445993031358875,1.0,8.603591530420804,-12.891986062717764
2024-03-13 16:00:00,1,LONG,1.0,7.765957446808512,-1.5957446808510651,1.0,7.765957446808512,-11.037234042553186,1.0,7.765957446808512,-13.563829787234038
2024-03-13 20:00:00,1,LONG,1.0,6.101073579471062,-6.611678449855981,1.0,6.101073579471062,-12.411626080125686,1.0,6.101073579471062,-17.674783974862528
2024-03-14 00:00:00,1,LONG,1.0,6.70177748518763,-6.082949308755749,1.0,6.70177748518763,-11.915734035549693,1.0,6.70177748518763,-17.20868992758393
2024-03-14 04:00:00,1,LONG,1.0,3.4861448090920693,-10.854297024645634,1.0,3.4861448090920693,-14.570297535436083,1.0,3.4861448090920693,-19.7037415400332
2024-03-14 08:00:00,1,LONG,0.0,0.8301886792452754,-12.188679245283017,0.0,0.8301886792452754,-15.849056603773585,0.0,0.8301886792452754,-20.905660377358494
2024-03-14 12:00:00,1,LONG,0.0,2.314690928552327,-10.48969761841048,0.0,2.314690928552327,-10.48969761841048,0.0,2.314690928552327,-15.86834359111586
2024-03-14 16:00:00,1,LONG,1.0,5.200165084605868,-7.9653322327692875,1.0,5.200165084605868,-7.9653322327692875,1.0,5.200165084605868,-13.495666529096157
2024-03-14 20:00:00,1,LONG,1.0,1.8377946464242956,-10.906911705952853,1.0,1.8377946464242956,-10.906911705952853,1.0,1.8377946464242956,-16.260487415101878
2024-03-15 00:00:00,1,LONG,0.0,2.7199555925617473,-7.160699417152371,0.0,2.7199555925617473,-8.381903968914795,0.0,2.7199555925617473,-12.739383846794336
2024-03-15 04:00:00,1,LONG,1.0,2.705702788955177,-7.17358124046066,1.0,2.705702788955177,-9.80990703482725,1.0,2.705702788955177,-12.751491605383652
2024-03-15 08:00:00,1,LONG,1.0,5.54684157992299,-0.5846285469841711,1.0,5.54684157992299,-7.314986453728791,1.0,5.54684157992299,-10.33794381862256
2024-03-15 12:00:00,1,LONG,1.0,3.206915783602903,-2.5794757389849363,1.0,3.206915783602903,-12.325711098717223,1.0,3.206915783602903,-12.325711098717223
2024-03-15 16:00:00,1,LONG,0.0,2.2379760911871007,-3.822629969418971,0.0,2.2379760911871007,-12.593828190158465,0.0,2.2379760911871007,-13.817069780372538
2024-03-15 20:00:00,1,LONG,1.0,1.1135551278526252,-9.238383282925493,1.0,1.1135551278526252,-13.555127852625793,1.0,1.1135551278526252,-17.51443497387958
2024-03-16 00:00:00,1,LONG,1.0,1.8556986566957596,-9.984766652818161,1.0,1.8556986566957596,-12.92064810968009,1.0,1.8556986566957596,-18.086137654064526
2024-03-16 04:00:00,1,LONG,1.0,0.19070971257322816,-11.456204876719788,1.0,0.19070971257322816,-14.344094809971386,1.0,0.19070971257322816,-19.425146437815005
2024-03-16 08:00:00,1,LONG,0.0,0.16703786191536454,-12.47216035634744,0.0,0.16703786191536454,-12.47216035634744,0.0,0.16703786191536454,-17.66425389755011
2024-03-16 12:00:00,1,LONG,0.0,0.11360408974721839,-10.707185458676515,0.0,0.11360408974721839,-10.707185458676515,0.0,0.11360408974721839,-17.63703493325761
2024-03-16 16:00:00,1,LONG,0.0,2.971188475390162,-5.642256902761099,0.0,4.89195678271308,-5.642256902761099,0.0,4.89195678271308,-12.965186074429777
2024-03-16 20:00:00,1,LONG,1.0,4.202700652404786,-4.597177969959034,1.0,6.053709604005452,-4.597177969959034,1.0,6.053709604005452,-13.685328478227895
2024-03-17 00:00:00,1,LONG,1.0,2.2133095662507465,-6.59536541889483,1.0,3.8324420677361757,-6.59536541889483,1.0,3.8324420677361757,-15.493166963755206
2024-03-17 04:00:00,1,LONG,1.0,6.550015484670177,-0.2942087333539815,1.0,8.237844533911414,-0.588417466707963,1.0,8.237844533911414,-11.907711365747922
2024-03-17 08:00:00,1,LONG,1.0,3.1582054309327,-3.1139315230224334,1.0,3.1582054309327,-8.500590318772135,1.0,3.1582054309327,-16.041912632821727
2024-03-17 12:00:00,1,LONG,1.0,2.1929824561403364,-4.020467836257321,1.0,2.1929824561403364,-12.280701754385975,1.0,2.1929824561403364,-16.827485380116972
2024-03-17 16:00:00,1,LONG,1.0,2.1332554061951994,-5.07013442431326,1.0,2.1332554061951994,-13.573933372296901,1.0,2.1332554061951994,-16.8760958503799
2024-03-17 20:00:00,1,LONG,1.0,2.5829175227472776,-5.782213090695625,1.0,2.5829175227472776,-13.193425300851185,1.0,2.5829175227472776,-16.510126210742595
2024-03-18 00:00:00,1,LONG,1.0,4.203935599284437,-4.293381037567075,1.0,4.203935599284437,-11.82170542635658,1.0,4.203935599284437,-15.190816935002982
2024-03-18 04:00:00,1,LONG,0.0,0.10186263096622859,-9.778812572759026,0.0,0.10186263096622859,-15.599534342258451,0.0,0.10186263096622859,-17.21478463329454
2024-03-18 08:00:00,1,LONG,0.0,0.6601144198327797,-11.984744022297198,0.0,0.6601144198327797,-14.918585888220628,0.0,0.6601144198327797,-16.546868123808128
2024-03-18 12:00:00,1,LONG,0.0,1.1055580796607563,-10.419506285021955,0.0,1.1055580796607563,-13.842192942601853,0.0,1.1055580796607563,-13.842192942601853
2024-03-18 16:00:00,1,LONG,0.0,2.711864406779653,-8.859784283513097,0.0,2.711864406779653,-12.34206471494608,0.0,2.711864406779653,-12.34206471494608
2024-03-18 20:00:00,1,LONG,0.0,0.8783886112373206,-10.419506285021955,0.0,0.8783886112373206,-13.842192942601853,0.0,0.8783886112373206,-13.842192942601853
2024-03-19 00:00:00,1,LONG,0.0,0.4092554698567679,-8.70454903195341,0.0,0.4092554698567679,-10.451755076341888,0.0,2.0620179442782938,-10.451755076341888
2024-03-19 04:00:00,1,LONG,0.0,0.510855683269491,-7.4074074074074066,1.0,2.8256704980842993,-9.179438058748403,1.0,3.512132822477653,-9.179438058748403
2024-03-19 08:00:00,1,LONG,1.0,2.0586804992705536,-7.780839682282386,1.0,4.700923974712276,-7.780839682282386,1.0,5.1061760414978075,-7.780839682282386
2024-03-19 12:00:00,1,LONG,1.0,0.47877433769549993,-9.208426428343454,1.0,3.080114905841044,-9.208426428343454,1.0,3.479093520587285,-9.208426428343454
2024-03-19 16:00:00,1,LONG,0.0,0.2598668182556334,-7.601104433977597,1.0,4.904986194575281,-7.601104433977597,1.0,5.311028098099715,-7.601104433977597
2024-03-19 20:00:00,1,SHORT,1.0,2.9843110504775017,-8.219645293315146,1.0,2.9843110504775017,-10.146657571623464,1.0,2.9843110504775017,-10.572987721691668
2024-03-20 00:00:00,1,SHORT,1.0,3.3140720598232614,-9.46634942216179,1.0,3.3140720598232614,-10.197144799456142,1.0,3.3140720598232614,-10.197144799456142
2024-03-20 04:00:00,1,SHORT,0.0,5.499015101772813,-6.02429415627053,0.0,5.499015101772813,-6.434668417596851,0.0,5.499015101772813,-6.434668417596851
2024-03-20 08:00:00,1,SHORT,1.0,5.808246073298426,-5.677356020942419,1.0,5.808246073298426,-6.086387434554976,1.0,5.808246073298426,-6.086387434554976
2024-03-20 12:00:00,1,SHORT,1.0,3.825593050451057,-7.901770798529904,1.0,3.825593050451057,-8.319411961242892,1.0,3.825593050451057,-8.319411961242892
2024-03-20 16:00:00,1,SHORT,0.0,1.836024058246289,-2.231718898385565,0.0,2.4374802152580055,-2.627413738524841,0.0,5.238999683444131,-2.627413738524841
2024-03-20 20:00:00,1,SHORT,1.0,3.40838023764852,-1.375859912445283,1.0,6.394621638524069,-1.375859912445283,1.0,6.394621638524069,-1.375859912445283
2024-03-21 00:00:00,1,SHORT,1.0,2.7852084972462534,-2.029897718332026,1.0,5.790715971675837,-2.029897718332026,1.0,5.790715971675837,-2.029897718332026
