model,k,seed,silhouette,inertia,min_cluster_fraction,degenerate,cluster_1_size,state_1_median_dwell,cluster_2_size,state_2_median_dwell,cluster_3_size,state_3_median_dwell,cluster_4_size,state_4_median_dwell,cluster_5_size,state_5_median_dwell,cluster_6_size,state_6_median_dwell
MODEL_RAW,5,107,0.3376473503776284,8055.934363125246,0.021672771672771672,True,1653,13.0,644,13.0,735.0,13.0,71.0,12.0,173.0,34.0,,
MODEL_RAW,5,108,0.3378098590450594,8056.320152545192,0.02197802197802198,True,1649,12.0,652,13.0,730.0,12.5,72.0,13.0,173.0,33.5,,
MODEL_RAW,5,109,0.3376473503776284,8055.934363125246,0.021672771672771672,True,1653,13.0,644,13.0,735.0,13.0,71.0,12.0,173.0,34.0,,
MODEL_RAW,5,110,0.3376473503776284,8055.934363125246,0.021672771672771672,True,1653,13.0,644,13.0,735.0,13.0,71.0,12.0,173.0,34.0,,
MODEL_RAW,5,111,0.3376473503776284,8056.196507227893,0.02197802197802198,True,1653,13.0,644,13.0,735.0,13.0,72.0,13.0,172.0,33.5,,
MODEL_RAW,5,112,0.3376473503776284,8055.934363125246,0.021672771672771672,True,1653,13.0,644,13.0,735.0,13.0,71.0,12.0,173.0,34.0,,
MODEL_RAW,5,113,0.3378098590450594,8056.320152545192,0.02197802197802198,True,1649,12.0,652,13.0,730.0,12.5,72.0,13.0,173.0,33.5,,
MODEL_RAW,5,114,0.3376473503776284,8055.934363125246,0.021672771672771672,True,1653,13.0,644,13.0,735.0,13.0,71.0,12.0,173.0,34.0,,
MODEL_RAW,5,115,0.3378098590450594,8056.299292271061,0.02197802197802198,True,1657,12.0,645,13.0,729.0,12.5,72.0,13.0,173.0,33.5,,
MODEL_RAW,5,116,0.3378098590450594,8056.320152545192,0.02197802197802198,True,1649,12.0,652,13.0,730.0,12.5,72.0,13.0,173.0,33.5,,
MODEL_RAW,5,117,0.3378098590450594,8056.320152545192,0.02197802197802198,True,1649,12.0,652,13.0,730.0,12.5,72.0,13.0,173.0,33.5,,
MODEL_RAW,5,118,0.3378098590450594,8056.320152545192,0.02197802197802198,True,1649,12.0,652,13.0,730.0,12.5,72.0,13.0,173.0,33.5,,
MODEL_RAW,5,119,0.338619233543749,8055.9492247983335,0.021672771672771672,True,1658,12.0,645,13.0,729.0,12.5,71.0,12.0,173.0,34.0,,
