symbol,episode_view,episode_id,event_id,event_family,side,calendar_month,chronological_third,observation_role,observation_identity,observation_timestamp,available_history_status,scale,representation,volatility_regime,regime_reason,atr_to_prior_96_median,ohlc_closed_through
BTCUSDT,8H,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466,BTCUSDT-O046705,OI,OI_CONTRACTION_SHOCK,10,3,CONTROL,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466|CONTROL,,AVAILABLE,15m,DIRECTION_RUN,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466,BTCUSDT-O046705,OI,OI_CONTRACTION_SHOCK,10,3,CONTROL,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466|CONTROL,,AVAILABLE,15m,ATR_ORIGIN,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466,BTCUSDT-O046705,OI,OI_CONTRACTION_SHOCK,10,3,CONTROL,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466|CONTROL,,AVAILABLE,15m,CONFIRMED_DIRECTION_CHANGE,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466,BTCUSDT-O046705,OI,OI_CONTRACTION_SHOCK,10,3,CONTROL,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466|CONTROL,,AVAILABLE,15m,HYBRID_ORIGIN,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466,BTCUSDT-O046705,OI,OI_CONTRACTION_SHOCK,10,3,CONTROL,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466|CONTROL,,AVAILABLE,1H,FIXED_8,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466,BTCUSDT-O046705,OI,OI_CONTRACTION_SHOCK,10,3,CONTROL,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466|CONTROL,,AVAILABLE,1H,DIRECTION_RUN,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466,BTCUSDT-O046705,OI,OI_CONTRACTION_SHOCK,10,3,CONTROL,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466|CONTROL,,AVAILABLE,1H,ATR_ORIGIN,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466,BTCUSDT-O046705,OI,OI_CONTRACTION_SHOCK,10,3,CONTROL,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466|CONTROL,,AVAILABLE,1H,CONFIRMED_DIRECTION_CHANGE,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466,BTCUSDT-O046705,OI,OI_CONTRACTION_SHOCK,10,3,CONTROL,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00466|CONTROL,,AVAILABLE,1H,HYBRID_ORIGIN,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00467,BTCUSDT-O046813,OI,OI_CONTRACTION_SHOCK,10,3,EVENT,BTCUSDT-O046813,2024-10-30T15:15:00Z,AVAILABLE,15m,FIXED_8,HIGH,CAUSAL_PRIOR_96_CLOSED_BARS,1.529302496,2024-10-30T15:15:00Z
BTCUSDT,8H,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00467,BTCUSDT-O046813,OI,OI_CONTRACTION_SHOCK,10,3,EVENT,BTCUSDT-O046813,2024-10-30T15:15:00Z,AVAILABLE,15m,DIRECTION_RUN,HIGH,CAUSAL_PRIOR_96_CLOSED_BARS,1.529302496,2024-10-30T15:15:00Z
BTCUSDT,8H,BTCUSDT|OI|OI_CONTRACTION_SHOCK|8H|00467,BTCUSDT-O046813,OI,OI_CONTRACTION_SHOCK,10,3,EVENT,BTCUSDT-O046813,2024-10-30T15:15:00Z,AVAILABLE,15m,ATR_ORIGIN,HIGH,CAUSAL_PRIOR_96_CLOSED_BARS,1.529302496,2024-10-30T15:15:00Z
