instrument,child_scale,parent_direction,parent_start,counter_start,balance_start,reassertion_time,end_time,parent_invalidation_boundary,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,failed_counter_extension,parent_reassertion,reassertion_atr,counter_displacement_atr,counter_efficiency,overlap_ratio,alternation_rate,parent_elapsed_bars,child_elapsed_bars,child_parent_amplitude_ratio,child_parent_duration_ratio,parameter_factor,diagnostic_flag,diagnostic_reason,interval_id,variant,boundary_margin_threshold_atr,boundary_distance_atr,gate_pass,counter_boundary_preserved,balance_boundary_preserved,reassertion_boundary_preserved
ADAUSDT,1H_FALLBACK,UP,2023-08-05 20:00:00,2023-08-07 04:00:00,2023-08-07 16:00:00,2023-08-07 20:00:00,2023-08-07 20:00:00,0.2906,0,1,1,1,1,1,0.523622,1.042488,0.772727,0.510122,0.666667,8,4,2.436364,0.5,1.0,1,PARENT_BOUNDARY_FAILURE,ADA_0227,BASE,0.0,0.110236,1,0,0,0
ADAUSDT,1H_FALLBACK,UP,2023-08-07 20:00:00,2023-08-09 04:00:00,2023-08-09 16:00:00,2023-08-09 20:00:00,2023-08-09 20:00:00,0.2886,1,1,1,1,0,1,0.586387,0.118403,0.217391,0.733469,0.333333,8,4,0.385714,0.5,1.0,0,,ADA_0239,BASE,0.0,3.102967,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-09 12:00:00,2023-08-10 20:00:00,2023-08-11 08:00:00,2023-08-11 12:00:00,2023-08-11 12:00:00,0.3023,1,1,1,1,1,1,0.872727,0.067114,0.25,0.615639,0.666667,8,4,0.639344,0.5,1.0,0,,ADA_0249,BASE,0.0,2.909091,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-10 16:00:00,2023-08-12 00:00:00,2023-08-12 12:00:00,2023-08-12 16:00:00,2023-08-12 16:00:00,0.2984,1,1,1,1,0,1,1.088339,0.324934,0.538462,0.647436,0.0,8,4,0.55,0.5,1.0,0,,ADA_0256,BASE,0.0,3.363958,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-11 20:00:00,2023-08-13 04:00:00,2023-08-13 16:00:00,2023-08-13 20:00:00,2023-08-13 20:00:00,0.2946,1,1,1,1,1,1,1.744108,1.288344,0.857143,0.596945,0.666667,8,4,1.7,0.5,1.0,0,,ADA_0263,BASE,0.0,2.451178,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-12 16:00:00,2023-08-14 00:00:00,2023-08-14 12:00:00,2023-08-14 16:00:00,2023-08-14 16:00:00,0.2939,1,1,1,1,1,1,0.692308,0.514076,0.75,0.633497,0.666667,8,4,0.774648,0.5,1.0,0,,ADA_0268,BASE,0.0,1.538462,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-13 16:00:00,2023-08-15 00:00:00,2023-08-15 12:00:00,2023-08-15 16:00:00,2023-08-15 16:00:00,0.2936,1,1,1,1,0,1,1.846457,-0.571137,0.615385,0.510558,0.333333,8,4,2.5,0.5,1.0,0,,ADA_0274,BASE,0.0,3.362205,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-15 12:00:00,2023-08-16 20:00:00,2023-08-17 08:00:00,2023-08-17 12:00:00,2023-08-17 12:00:00,0.2898,1,1,1,1,0,1,1.206591,0.177866,0.290323,0.542172,0.0,8,4,0.700535,0.5,1.0,0,,ADA_0285,BASE,0.0,3.726236,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-15 20:00:00,2023-08-17 04:00:00,2023-08-17 16:00:00,2023-08-17 20:00:00,2023-08-17 20:00:00,0.2844,1,1,0,1,0,1,2.201183,-0.464896,0.215385,0.419361,0.666667,8,4,2.131579,0.5,1.0,0,,ADA_0287,BASE,0.0,3.443787,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-08-18 08:00:00,2023-08-19 16:00:00,2023-08-20 04:00:00,2023-08-20 08:00:00,2023-08-20 08:00:00,0.2583,1,1,1,1,1,1,0.570033,0.426729,0.684211,0.648084,0.666667,8,4,0.513043,0.5,1.0,0,,ADA_0302,BASE,0.0,2.234528,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-08-18 16:00:00,2023-08-20 00:00:00,2023-08-20 12:00:00,2023-08-20 16:00:00,2023-08-20 16:00:00,0.2583,1,1,1,1,0,1,0.744681,-0.525841,0.609756,0.530444,0.333333,8,4,0.73913,0.5,1.0,0,,ADA_0304,BASE,0.0,3.375887,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-08-19 16:00:00,2023-08-21 00:00:00,2023-08-21 12:00:00,2023-08-21 16:00:00,2023-08-21 16:00:00,0.2647,0,1,1,1,1,1,0.744186,2.328972,1.0,0.473619,0.333333,8,4,1.635294,0.5,1.0,1,PARENT_BOUNDARY_FAILURE,ADA_0310,BASE,0.0,-0.023256,1,1,0,0
ADAUSDT,1H_FALLBACK,UP,2023-08-26 12:00:00,2023-08-27 20:00:00,2023-08-28 08:00:00,2023-08-28 12:00:00,2023-08-28 12:00:00,0.2582,1,1,1,1,0,1,1.967568,1.314143,0.75,0.431006,0.333333,8,4,1.309859,0.5,1.0,0,,ADA_0351,BASE,0.0,2.8,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-27 00:00:00,2023-08-28 08:00:00,2023-08-28 20:00:00,2023-08-29 00:00:00,2023-08-29 00:00:00,0.2653,0,1,1,1,1,1,0.756757,2.703863,0.878049,0.655445,1.0,8,4,1.521127,0.5,1.0,1,PARENT_BOUNDARY_FAILURE,ADA_0354,BASE,0.0,-0.034398,1,0,0,0
ADAUSDT,1H_FALLBACK,DOWN,2023-08-27 04:00:00,2023-08-28 12:00:00,2023-08-29 00:00:00,2023-08-29 04:00:00,2023-08-29 04:00:00,0.2653,0,1,1,1,0,1,0.893617,-0.071102,0.038462,0.669943,0.666667,8,4,1.051948,0.5,1.0,1,PARENT_BOUNDARY_FAILURE,ADA_0355,BASE,0.0,0.86052,1,0,0,0
ADAUSDT,1H_FALLBACK,DOWN,2023-08-29 12:00:00,2023-08-30 20:00:00,2023-08-31 08:00:00,2023-08-31 12:00:00,2023-08-31 12:00:00,0.2802,1,1,1,1,0,1,1.200553,-0.020196,0.076923,0.660279,0.333333,8,4,0.485,0.5,1.0,0,,ADA_0369,BASE,0.0,4.085754,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-29 16:00:00,2023-08-31 00:00:00,2023-08-31 12:00:00,2023-08-31 16:00:00,2023-08-31 16:00:00,0.279,1,1,1,1,0,1,0.791457,-1.103604,0.823529,0.493686,0.0,8,4,0.945946,0.5,1.0,0,,ADA_0370,BASE,0.0,4.291457,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-30 12:00:00,2023-08-31 20:00:00,2023-09-01 08:00:00,2023-09-01 12:00:00,2023-09-01 12:00:00,0.2667,1,1,1,1,1,1,0.684783,0.66917,0.875,0.638237,1.0,8,4,0.434286,0.5,1.0,0,,ADA_0375,BASE,0.0,2.84058,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-09-02 08:00:00,2023-09-03 16:00:00,2023-09-04 04:00:00,2023-09-04 08:00:00,2023-09-04 08:00:00,0.2574,0,1,1,1,0,1,0.674699,0.694282,0.62963,0.677339,0.333333,8,4,1.682927,0.5,1.0,1,PARENT_BOUNDARY_FAILURE,ADA_0392,BASE,0.0,0.801205,1,0,0,0
ADAUSDT,1H_FALLBACK,UP,2023-09-04 16:00:00,2023-09-06 00:00:00,2023-09-06 12:00:00,2023-09-06 16:00:00,2023-09-06 16:00:00,0.2532,1,1,1,1,1,1,0.538462,1.30742,0.948718,0.54641,1.0,8,4,1.596491,0.5,1.0,0,,ADA_0406,BASE,0.0,1.140271,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-09-05 08:00:00,2023-09-06 16:00:00,2023-09-07 04:00:00,2023-09-07 08:00:00,2023-09-07 08:00:00,0.2595,1,1,1,1,0,1,0.940299,-0.033477,0.052632,0.732384,0.333333,8,4,1.685185,0.5,1.0,0,,ADA_0410,BASE,0.0,1.915423,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-09-06 08:00:00,2023-09-07 16:00:00,2023-09-08 04:00:00,2023-09-08 08:00:00,2023-09-08 08:00:00,0.2612,1,1,1,1,1,1,1.440716,0.739673,0.733333,0.57771,1.0,8,4,0.769231,0.5,1.0,0,,ADA_0416,BASE,0.0,2.348993,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-09-08 12:00:00,2023-09-09 20:00:00,2023-09-10 08:00:00,2023-09-10 12:00:00,2023-09-10 12:00:00,0.2558,1,1,0,1,0,1,0.804178,-1.307647,0.695652,0.410169,0.666667,8,4,3.741935,0.5,1.0,0,,ADA_0429,BASE,0.0,2.887728,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-09-09 08:00:00,2023-09-10 16:00:00,2023-09-11 04:00:00,2023-09-11 08:00:00,2023-09-11 08:00:00,0.2558,1,1,1,1,0,1,0.989293,-0.517496,0.454545,0.515023,0.333333,8,4,0.866667,0.5,1.0,0,,ADA_0434,BASE,0.0,3.747323,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-09-11 08:00:00,2023-09-12 16:00:00,2023-09-13 04:00:00,2023-09-13 08:00:00,2023-09-13 08:00:00,0.2367,1,1,1,1,0,1,0.607843,0.34117,0.435897,0.744459,0.333333,8,4,0.49375,0.5,1.0,0,,ADA_0446,BASE,0.0,2.313725,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-09-13 00:00:00,2023-09-14 08:00:00,2023-09-14 20:00:00,2023-09-15 00:00:00,2023-09-15 00:00:00,0.2434,1,1,0,1,0,1,0.849372,-0.634358,0.621622,0.62507,0.666667,8,4,0.965116,0.5,1.0,0,,ADA_0456,BASE,0.0,3.16318,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-09-13 20:00:00,2023-09-15 04:00:00,2023-09-15 16:00:00,2023-09-15 20:00:00,2023-09-15 20:00:00,0.2465,1,1,1,1,1,1,0.851153,1.032448,1.0,0.369779,0.333333,8,4,1.114943,0.5,1.0,0,,ADA_0461,BASE,0.0,1.174004,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-09-15 08:00:00,2023-09-16 16:00:00,2023-09-17 04:00:00,2023-09-17 08:00:00,2023-09-17 08:00:00,0.2451,1,1,1,1,1,1,0.566667,0.031517,0.028571,0.773634,0.666667,8,4,0.420455,0.5,1.0,0,,ADA_0470,BASE,0.0,1.7,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-09-16 16:00:00,2023-09-18 00:00:00,2023-09-18 12:00:00,2023-09-18 16:00:00,2023-09-18 16:00:00,0.2513,0,1,1,1,1,1,0.620843,1.605351,0.685714,0.545763,0.666667,8,4,1.7,0.5,1.0,1,PARENT_BOUNDARY_FAILURE,ADA_0478,BASE,0.0,-0.279379,1,0,0,0
ADAUSDT,1H_FALLBACK,UP,2023-09-17 08:00:00,2023-09-18 16:00:00,2023-09-19 04:00:00,2023-09-19 08:00:00,2023-09-19 08:00:00,0.2441,1,1,0,1,0,1,1.031873,-0.089744,0.052632,0.720148,1.0,8,4,0.657895,0.5,1.0,0,,ADA_0482,BASE,0.0,3.374502,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-09-18 12:00:00,2023-09-19 20:00:00,2023-09-20 08:00:00,2023-09-20 12:00:00,2023-09-20 12:00:00,0.2505,1,1,1,1,1,1,0.652427,0.543267,1.0,0.650845,0.333333,8,4,0.72,0.5,1.0,0,,ADA_0489,BASE,0.0,1.27767,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-09-19 20:00:00,2023-09-21 04:00:00,2023-09-21 16:00:00,2023-09-21 20:00:00,2023-09-21 20:00:00,0.2565,1,1,1,1,0,1,0.666667,-0.826655,0.875,0.589806,0.666667,8,4,0.928571,0.5,1.0,0,,ADA_0497,BASE,0.0,3.68254,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-09-21 12:00:00,2023-09-22 20:00:00,2023-09-23 08:00:00,2023-09-23 12:00:00,2023-09-23 12:00:00,0.2491,1,1,1,1,1,1,0.504505,0.672316,0.73913,0.71875,0.666667,8,4,0.578125,0.5,1.0,0,,ADA_0507,BASE,0.0,1.555556,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-09-22 00:00:00,2023-09-23 08:00:00,2023-09-23 20:00:00,2023-09-24 00:00:00,2023-09-24 00:00:00,0.2465,0,1,1,1,0,1,0.52921,-0.223072,0.2,0.813988,0.666667,8,4,0.631579,0.5,1.0,1,PARENT_BOUNDARY_FAILURE,ADA_0510,BASE,0.0,0.721649,1,0,0,0
ADAUSDT,1H_FALLBACK,UP,2023-09-23 00:00:00,2023-09-24 08:00:00,2023-09-24 20:00:00,2023-09-25 00:00:00,2023-09-25 00:00:00,0.2436,0,1,1,1,1,1,0.577778,1.464646,1.0,0.686338,0.333333,8,4,1.84375,0.5,1.0,1,PARENT_BOUNDARY_FAILURE,ADA_0516,BASE,0.0,0.177778,1,1,0,0
ADAUSDT,1H_FALLBACK,DOWN,2023-09-23 08:00:00,2023-09-24 16:00:00,2023-09-25 04:00:00,2023-09-25 08:00:00,2023-09-25 08:00:00,0.2468,1,1,1,1,1,1,0.836478,0.46729,0.263158,0.75182,0.666667,8,4,2.458333,0.5,1.0,0,,ADA_0518,BASE,0.0,1.584906,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-09-25 08:00:00,2023-09-26 16:00:00,2023-09-27 04:00:00,2023-09-27 08:00:00,2023-09-27 08:00:00,0.2428,1,1,1,1,1,1,1.26045,-0.084287,0.090909,0.692798,0.666667,8,4,1.058824,0.5,1.0,0,,ADA_0530,BASE,0.0,2.160772,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-09-25 12:00:00,2023-09-26 20:00:00,2023-09-27 08:00:00,2023-09-27 12:00:00,2023-09-27 12:00:00,0.2479,1,1,0,1,0,1,1.387755,0.882353,0.512195,0.70371,1.0,8,4,1.098039,0.5,1.0,0,,ADA_0531,BASE,0.0,1.510204,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-09-26 04:00:00,2023-09-27 12:00:00,2023-09-28 00:00:00,2023-09-28 04:00:00,2023-09-28 04:00:00,0.243,1,1,1,1,1,1,0.506024,0.125523,0.272727,0.751946,0.666667,8,4,1.037037,0.5,1.0,0,,ADA_0535,BASE,0.0,0.885542,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-09-27 04:00:00,2023-09-28 12:00:00,2023-09-29 00:00:00,2023-09-29 04:00:00,2023-09-29 04:00:00,0.2426,1,1,1,1,0,1,0.518519,-0.502822,0.636364,0.712198,0.333333,8,4,1.206897,0.5,1.0,0,,ADA_0541,BASE,0.0,3.318519,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-09-27 12:00:00,2023-09-28 20:00:00,2023-09-29 08:00:00,2023-09-29 12:00:00,2023-09-29 12:00:00,0.2426,1,1,0,1,0,1,1.057778,-0.880929,0.65,0.582813,0.666667,8,4,0.95122,0.5,1.0,0,,ADA_0543,BASE,0.0,3.826667,1,1,1,1
