instrument,child_scale,parent_direction,parent_start,counter_start,balance_start,reassertion_time,end_time,parent_invalidation_boundary,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,failed_counter_extension,parent_reassertion,reassertion_atr,counter_displacement_atr,counter_efficiency,overlap_ratio,alternation_rate,parent_elapsed_bars,child_elapsed_bars,child_parent_amplitude_ratio,child_parent_duration_ratio,parameter_factor,diagnostic_flag,diagnostic_reason,interval_id,balance_duration_bars,balance_range_atr,balance_body_atr,compression_ratio,directional_drift_atr,boundary_distance_change_atr,reassertion_setup_distance_atr,balance_end_time,gate_DURATION_1,gate_DURATION_2,gate_DURATION_3,gate_DURATION_4PLUS,gate_RANGE_COMPRESSION_050,gate_RANGE_COMPRESSION_075,gate_RANGE_COMPRESSION_100,gate_OVERLAP_025,gate_OVERLAP_050,gate_OVERLAP_075,gate_LOW_DRIFT_010,gate_LOW_DRIFT_025,gate_LOW_DRIFT_050,gate_BOUNDARY_RECOVERY_000,gate_BOUNDARY_RECOVERY_010,gate_BOUNDARY_RECOVERY_025,gate_COMPACT_BALANCE
ADAUSDT,1H_FALLBACK,DOWN,2023-07-31 12:00:00,2023-08-01 20:00:00,2023-08-02 08:00:00,2023-08-02 12:00:00,2023-08-02 12:00:00,0.3153,1,1,0,1,0,1,1.018545,-0.422613,0.323529,1.0,0.666667,8,4,0.521951,0.5,1.0,0,,ADA_0195,1,0.7291666666666669,0.4999999999999909,0.5303030303030312,-0.4999999999999909,-0.4999999999999909,-1.5000000000000073,2023-08-02 08:00:00,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0
ADAUSDT,1H_FALLBACK,DOWN,2023-08-01 20:00:00,2023-08-03 04:00:00,2023-08-03 16:00:00,2023-08-03 20:00:00,2023-08-03 20:00:00,0.312,1,1,1,1,0,1,0.685015,0.021277,0.04,1.0,0.333333,8,4,0.732877,0.5,1.0,0,,ADA_0203,1,0.810641627543033,0.2629107981220615,0.5522388059701477,0.2629107981220615,0.26291079812206153,-3.636932707355249,2023-08-03 16:00:00,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0
ADAUSDT,1H_FALLBACK,DOWN,2023-08-02 16:00:00,2023-08-04 00:00:00,2023-08-04 12:00:00,2023-08-04 16:00:00,2023-08-04 16:00:00,0.3038,1,1,0,1,0,1,0.600954,0.454693,0.454545,1.0,0.666667,8,4,0.373333,0.5,1.0,0,,ADA_0208,1,0.967105263157891,0.6907894736842115,1.3125000000000022,-0.6907894736842115,-0.6907894736842113,-1.7960526315789551,2023-08-04 12:00:00,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
ADAUSDT,1H_FALLBACK,DOWN,2023-08-04 12:00:00,2023-08-05 20:00:00,2023-08-06 08:00:00,2023-08-06 12:00:00,2023-08-06 12:00:00,0.2972,1,1,1,1,1,1,1.16129,0.310284,0.416667,1.0,1.0,8,4,0.71831,0.5,1.0,0,,ADA_0219,1,0.6394230769230809,0.10096153846154596,0.5277777777777825,-0.10096153846154596,-0.10096153846154587,-0.8076923076923117,2023-08-06 08:00:00,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1
ADAUSDT,1H_FALLBACK,UP,2023-08-05 00:00:00,2023-08-06 08:00:00,2023-08-06 20:00:00,2023-08-07 00:00:00,2023-08-07 00:00:00,0.2901,1,1,1,1,0,1,0.7,0.819672,0.531915,1.0,0.333333,8,4,0.964912,0.5,1.0,0,,ADA_0222,1,0.8894117647058762,0.06588235294116924,0.5294117647058791,0.06588235294116924,0.06588235294116929,-0.7247058823529349,2023-08-06 20:00:00,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1
ADAUSDT,1H_FALLBACK,UP,2023-08-07 20:00:00,2023-08-09 04:00:00,2023-08-09 16:00:00,2023-08-09 20:00:00,2023-08-09 20:00:00,0.2886,1,1,1,1,0,1,0.586387,0.118403,0.217391,1.0,0.333333,8,4,0.385714,0.5,1.0,0,,ADA_0239,1,0.7000000000000006,0.186666666666672,0.6382978723404286,0.186666666666672,0.18666666666667187,-2.4033333333333275,2023-08-09 16:00:00,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-09 12:00:00,2023-08-10 20:00:00,2023-08-11 08:00:00,2023-08-11 12:00:00,2023-08-11 12:00:00,0.3023,1,1,1,1,1,1,0.872727,0.067114,0.25,1.0,0.666667,8,4,0.639344,0.5,1.0,0,,ADA_0249,1,0.5863874345549879,0.14659685863874697,0.5517241379310477,-0.14659685863874697,-0.14659685863874694,-2.0523560209423968,2023-08-11 08:00:00,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-10 16:00:00,2023-08-12 00:00:00,2023-08-12 12:00:00,2023-08-12 16:00:00,2023-08-12 16:00:00,0.2984,1,1,1,1,0,1,1.088339,0.324934,0.538462,1.0,0.0,8,4,0.55,0.5,1.0,0,,ADA_0256,1,0.6666666666666504,0.2051282051282111,0.6190476190476064,0.2051282051282111,0.20512820512821106,-2.3589743589743564,2023-08-12 12:00:00,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-11 20:00:00,2023-08-13 04:00:00,2023-08-13 16:00:00,2023-08-13 20:00:00,2023-08-13 20:00:00,0.2946,1,1,1,1,1,1,1.744108,1.288344,0.857143,1.0,0.666667,8,4,1.7,0.5,1.0,0,,ADA_0263,1,1.6564885496183528,1.2290076335878044,1.2916666666666792,-1.2290076335878044,-1.2290076335878044,-0.8015267175572263,2023-08-13 16:00:00,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
ADAUSDT,1H_FALLBACK,DOWN,2023-08-12 16:00:00,2023-08-14 00:00:00,2023-08-14 12:00:00,2023-08-14 16:00:00,2023-08-14 16:00:00,0.2939,1,1,1,1,1,1,0.692308,0.514076,0.75,1.0,0.666667,8,4,0.774648,0.5,1.0,0,,ADA_0268,1,1.365853658536601,0.5975609756097614,0.727272727272733,-0.5975609756097614,-0.5975609756097614,-0.9390243902438938,2023-08-14 12:00:00,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
