instrument,child_scale,parent_direction,parent_start,counter_start,balance_start,reassertion_time,end_time,parent_invalidation_boundary,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,failed_counter_extension,parent_reassertion,reassertion_atr,counter_displacement_atr,counter_efficiency,overlap_ratio,alternation_rate,parent_elapsed_bars,child_elapsed_bars,child_parent_amplitude_ratio,child_parent_duration_ratio,parameter_factor,diagnostic_flag,diagnostic_reason,interval_id
ADAUSDT,1H_FALLBACK,DOWN,2023-08-12 16:00:00,2023-08-14 00:00:00,2023-08-14 12:00:00,2023-08-14 16:00:00,2023-08-14 16:00:00,0.2939,1,1,1,1,1,1,0.692308,0.514076,0.75,0.633497,0.666667,8,4,0.774648,0.5,1.0,0,,ADA_0268
ADAUSDT,1H_FALLBACK,DOWN,2023-08-13 16:00:00,2023-08-15 00:00:00,2023-08-15 12:00:00,2023-08-15 16:00:00,2023-08-15 16:00:00,0.2936,1,1,1,1,0,1,1.846457,-0.571137,0.615385,0.510558,0.333333,8,4,2.5,0.5,1.0,0,,ADA_0274
ADAUSDT,1H_FALLBACK,DOWN,2023-08-15 12:00:00,2023-08-16 20:00:00,2023-08-17 08:00:00,2023-08-17 12:00:00,2023-08-17 12:00:00,0.2898,1,1,1,1,0,1,1.206591,0.177866,0.290323,0.542172,0.0,8,4,0.700535,0.5,1.0,0,,ADA_0285
ADAUSDT,1H_FALLBACK,DOWN,2023-08-15 20:00:00,2023-08-17 04:00:00,2023-08-17 16:00:00,2023-08-17 20:00:00,2023-08-17 20:00:00,0.2844,1,1,0,1,0,1,2.201183,-0.464896,0.215385,0.419361,0.666667,8,4,2.131579,0.5,1.0,0,,ADA_0287
ADAUSDT,1H_FALLBACK,UP,2023-08-18 08:00:00,2023-08-19 16:00:00,2023-08-20 04:00:00,2023-08-20 08:00:00,2023-08-20 08:00:00,0.2583,1,1,1,1,1,1,0.570033,0.426729,0.684211,0.648084,0.666667,8,4,0.513043,0.5,1.0,0,,ADA_0302
ADAUSDT,1H_FALLBACK,UP,2023-08-18 16:00:00,2023-08-20 00:00:00,2023-08-20 12:00:00,2023-08-20 16:00:00,2023-08-20 16:00:00,0.2583,1,1,1,1,0,1,0.744681,-0.525841,0.609756,0.530444,0.333333,8,4,0.73913,0.5,1.0,0,,ADA_0304
ADAUSDT,1H_FALLBACK,UP,2023-08-26 12:00:00,2023-08-27 20:00:00,2023-08-28 08:00:00,2023-08-28 12:00:00,2023-08-28 12:00:00,0.2582,1,1,1,1,0,1,1.967568,1.314143,0.75,0.431006,0.333333,8,4,1.309859,0.5,1.0,0,,ADA_0351
ADAUSDT,1H_FALLBACK,DOWN,2023-08-29 12:00:00,2023-08-30 20:00:00,2023-08-31 08:00:00,2023-08-31 12:00:00,2023-08-31 12:00:00,0.2802,1,1,1,1,0,1,1.200553,-0.020196,0.076923,0.660279,0.333333,8,4,0.485,0.5,1.0,0,,ADA_0369
ADAUSDT,1H_FALLBACK,DOWN,2023-08-29 16:00:00,2023-08-31 00:00:00,2023-08-31 12:00:00,2023-08-31 16:00:00,2023-08-31 16:00:00,0.279,1,1,1,1,0,1,0.791457,-1.103604,0.823529,0.493686,0.0,8,4,0.945946,0.5,1.0,0,,ADA_0370
ADAUSDT,1H_FALLBACK,DOWN,2023-08-30 12:00:00,2023-08-31 20:00:00,2023-09-01 08:00:00,2023-09-01 12:00:00,2023-09-01 12:00:00,0.2667,1,1,1,1,1,1,0.684783,0.66917,0.875,0.638237,1.0,8,4,0.434286,0.5,1.0,0,,ADA_0375
ADAUSDT,1H_FALLBACK,UP,2023-09-04 16:00:00,2023-09-06 00:00:00,2023-09-06 12:00:00,2023-09-06 16:00:00,2023-09-06 16:00:00,0.2532,1,1,1,1,1,1,0.538462,1.30742,0.948718,0.54641,1.0,8,4,1.596491,0.5,1.0,0,,ADA_0406
ADAUSDT,1H_FALLBACK,DOWN,2023-09-05 08:00:00,2023-09-06 16:00:00,2023-09-07 04:00:00,2023-09-07 08:00:00,2023-09-07 08:00:00,0.2595,1,1,1,1,0,1,0.940299,-0.033477,0.052632,0.732384,0.333333,8,4,1.685185,0.5,1.0,0,,ADA_0410
ADAUSDT,1H_FALLBACK,DOWN,2023-09-06 08:00:00,2023-09-07 16:00:00,2023-09-08 04:00:00,2023-09-08 08:00:00,2023-09-08 08:00:00,0.2612,1,1,1,1,1,1,1.440716,0.739673,0.733333,0.57771,1.0,8,4,0.769231,0.5,1.0,0,,ADA_0416
ADAUSDT,1H_FALLBACK,DOWN,2023-09-08 12:00:00,2023-09-09 20:00:00,2023-09-10 08:00:00,2023-09-10 12:00:00,2023-09-10 12:00:00,0.2558,1,1,0,1,0,1,0.804178,-1.307647,0.695652,0.410169,0.666667,8,4,3.741935,0.5,1.0,0,,ADA_0429
ADAUSDT,1H_FALLBACK,DOWN,2023-09-09 08:00:00,2023-09-10 16:00:00,2023-09-11 04:00:00,2023-09-11 08:00:00,2023-09-11 08:00:00,0.2558,1,1,1,1,0,1,0.989293,-0.517496,0.454545,0.515023,0.333333,8,4,0.866667,0.5,1.0,0,,ADA_0434
ADAUSDT,1H_FALLBACK,UP,2023-09-11 08:00:00,2023-09-12 16:00:00,2023-09-13 04:00:00,2023-09-13 08:00:00,2023-09-13 08:00:00,0.2367,1,1,1,1,0,1,0.607843,0.34117,0.435897,0.744459,0.333333,8,4,0.49375,0.5,1.0,0,,ADA_0446
ADAUSDT,1H_FALLBACK,UP,2023-09-13 00:00:00,2023-09-14 08:00:00,2023-09-14 20:00:00,2023-09-15 00:00:00,2023-09-15 00:00:00,0.2434,1,1,0,1,0,1,0.849372,-0.634358,0.621622,0.62507,0.666667,8,4,0.965116,0.5,1.0,0,,ADA_0456
ADAUSDT,1H_FALLBACK,UP,2023-09-13 20:00:00,2023-09-15 04:00:00,2023-09-15 16:00:00,2023-09-15 20:00:00,2023-09-15 20:00:00,0.2465,1,1,1,1,1,1,0.851153,1.032448,1.0,0.369779,0.333333,8,4,1.114943,0.5,1.0,0,,ADA_0461
ADAUSDT,1H_FALLBACK,UP,2023-09-15 08:00:00,2023-09-16 16:00:00,2023-09-17 04:00:00,2023-09-17 08:00:00,2023-09-17 08:00:00,0.2451,1,1,1,1,1,1,0.566667,0.031517,0.028571,0.773634,0.666667,8,4,0.420455,0.5,1.0,0,,ADA_0470
ADAUSDT,1H_FALLBACK,UP,2023-09-17 08:00:00,2023-09-18 16:00:00,2023-09-19 04:00:00,2023-09-19 08:00:00,2023-09-19 08:00:00,0.2441,1,1,0,1,0,1,1.031873,-0.089744,0.052632,0.720148,1.0,8,4,0.657895,0.5,1.0,0,,ADA_0482
ADAUSDT,1H_FALLBACK,UP,2023-09-18 12:00:00,2023-09-19 20:00:00,2023-09-20 08:00:00,2023-09-20 12:00:00,2023-09-20 12:00:00,0.2505,1,1,1,1,1,1,0.652427,0.543267,1.0,0.650845,0.333333,8,4,0.72,0.5,1.0,0,,ADA_0489
ADAUSDT,1H_FALLBACK,DOWN,2023-09-19 20:00:00,2023-09-21 04:00:00,2023-09-21 16:00:00,2023-09-21 20:00:00,2023-09-21 20:00:00,0.2565,1,1,1,1,0,1,0.666667,-0.826655,0.875,0.589806,0.666667,8,4,0.928571,0.5,1.0,0,,ADA_0497
ADAUSDT,1H_FALLBACK,DOWN,2023-09-21 12:00:00,2023-09-22 20:00:00,2023-09-23 08:00:00,2023-09-23 12:00:00,2023-09-23 12:00:00,0.2491,1,1,1,1,1,1,0.504505,0.672316,0.73913,0.71875,0.666667,8,4,0.578125,0.5,1.0,0,,ADA_0507
ADAUSDT,1H_FALLBACK,DOWN,2023-09-23 08:00:00,2023-09-24 16:00:00,2023-09-25 04:00:00,2023-09-25 08:00:00,2023-09-25 08:00:00,0.2468,1,1,1,1,1,1,0.836478,0.46729,0.263158,0.75182,0.666667,8,4,2.458333,0.5,1.0,0,,ADA_0518
ADAUSDT,1H_FALLBACK,UP,2023-09-25 08:00:00,2023-09-26 16:00:00,2023-09-27 04:00:00,2023-09-27 08:00:00,2023-09-27 08:00:00,0.2428,1,1,1,1,1,1,1.26045,-0.084287,0.090909,0.692798,0.666667,8,4,1.058824,0.5,1.0,0,,ADA_0530
ADAUSDT,1H_FALLBACK,DOWN,2023-09-25 12:00:00,2023-09-26 20:00:00,2023-09-27 08:00:00,2023-09-27 12:00:00,2023-09-27 12:00:00,0.2479,1,1,0,1,0,1,1.387755,0.882353,0.512195,0.70371,1.0,8,4,1.098039,0.5,1.0,0,,ADA_0531
ADAUSDT,1H_FALLBACK,UP,2023-09-26 04:00:00,2023-09-27 12:00:00,2023-09-28 00:00:00,2023-09-28 04:00:00,2023-09-28 04:00:00,0.243,1,1,1,1,1,1,0.506024,0.125523,0.272727,0.751946,0.666667,8,4,1.037037,0.5,1.0,0,,ADA_0535
ADAUSDT,1H_FALLBACK,UP,2023-09-27 04:00:00,2023-09-28 12:00:00,2023-09-29 00:00:00,2023-09-29 04:00:00,2023-09-29 04:00:00,0.2426,1,1,1,1,0,1,0.518519,-0.502822,0.636364,0.712198,0.333333,8,4,1.206897,0.5,1.0,0,,ADA_0541
ADAUSDT,1H_FALLBACK,UP,2023-09-27 12:00:00,2023-09-28 20:00:00,2023-09-29 08:00:00,2023-09-29 12:00:00,2023-09-29 12:00:00,0.2426,1,1,0,1,0,1,1.057778,-0.880929,0.65,0.582813,0.666667,8,4,0.95122,0.5,1.0,0,,ADA_0543
ADAUSDT,1H_FALLBACK,UP,2023-09-29 20:00:00,2023-10-01 04:00:00,2023-10-01 16:00:00,2023-10-01 20:00:00,2023-10-01 20:00:00,0.2476,1,1,1,1,1,1,1.568,-1.374945,0.542169,0.450067,0.666667,8,4,1.535714,0.5,1.0,0,,ADA_0557
ADAUSDT,1H_FALLBACK,UP,2023-09-30 04:00:00,2023-10-01 12:00:00,2023-10-02 00:00:00,2023-10-02 04:00:00,2023-10-02 04:00:00,0.2497,1,1,0,1,0,1,0.530526,-1.272727,0.623188,0.613491,1.0,8,4,0.724638,0.5,1.0,0,,ADA_0559
ADAUSDT,1H_FALLBACK,UP,2023-10-01 00:00:00,2023-10-02 08:00:00,2023-10-02 20:00:00,2023-10-03 00:00:00,2023-10-03 00:00:00,0.2537,1,1,1,1,1,1,0.858065,1.958909,1.0,0.57873,0.333333,8,4,0.859155,0.5,1.0,0,,ADA_0564
ADAUSDT,1H_FALLBACK,DOWN,2023-10-02 00:00:00,2023-10-03 08:00:00,2023-10-03 20:00:00,2023-10-04 00:00:00,2023-10-04 00:00:00,0.2696,1,1,1,1,1,1,1.005525,0.0,0.0,0.728509,1.0,8,4,0.991803,0.5,1.0,0,,ADA_0570
