event_id,event_family,side,timestamp,funding_rate,delta_log_oi,z_mad,oi_shock_side,qualification_reason
O035842,OI,OI_EXPANSION_SHOCK,2024-07-08T08:30:00Z,,0.01073218,6.43431099,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035844,OI,OI_EXPANSION_SHOCK,2024-07-08T09:00:00Z,,0.00789895,4.74280217,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035846,OI,OI_EXPANSION_SHOCK,2024-07-08T09:30:00Z,,0.01292807,7.72854603,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035856,OI,OI_EXPANSION_SHOCK,2024-07-08T12:00:00Z,,0.00769653,4.61088811,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035863,OI,OI_CONTRACTION_SHOCK,2024-07-08T13:45:00Z,,-0.00853663,-5.01666807,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035866,OI,OI_CONTRACTION_SHOCK,2024-07-08T14:30:00Z,,-0.01181038,-6.94810806,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035898,OI,OI_EXPANSION_SHOCK,2024-07-08T22:30:00Z,,0.01339806,7.97518927,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035909,OI,OI_EXPANSION_SHOCK,2024-07-09T01:15:00Z,,0.00699664,4.17889638,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035911,OI,OI_EXPANSION_SHOCK,2024-07-09T01:45:00Z,,0.01453194,8.60920835,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035918,OI,OI_CONTRACTION_SHOCK,2024-07-09T03:30:00Z,,-0.00997041,-5.79020048,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035929,OI,OI_EXPANSION_SHOCK,2024-07-09T06:15:00Z,,0.00736793,4.35095707,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035937,OI,OI_CONTRACTION_SHOCK,2024-07-09T08:15:00Z,,-0.01313104,-7.61489136,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O036028,OI,OI_EXPANSION_SHOCK,2024-07-10T07:00:00Z,,0.00925890,5.38853989,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036110,OI,OI_CONTRACTION_SHOCK,2024-07-11T03:30:00Z,,-0.00929232,-5.38147963,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O036148,OI,OI_EXPANSION_SHOCK,2024-07-11T13:00:00Z,,0.01381737,8.05289387,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036159,OI,OI_CONTRACTION_SHOCK,2024-07-11T15:45:00Z,,-0.01165819,-6.72355596,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O036207,OI,OI_EXPANSION_SHOCK,2024-07-12T03:45:00Z,,0.01043351,6.05843758,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036242,OI,OI_EXPANSION_SHOCK,2024-07-12T12:30:00Z,,0.00800982,4.66403502,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036247,OI,OI_EXPANSION_SHOCK,2024-07-12T13:45:00Z,,0.01076753,6.24285801,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036250,OI,OI_EXPANSION_SHOCK,2024-07-12T14:30:00Z,,0.01536271,8.89181449,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036251,OI,OI_EXPANSION_SHOCK,2024-07-12T14:45:00Z,,0.00696899,4.05467932,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036256,OI,OI_EXPANSION_SHOCK,2024-07-12T16:00:00Z,,0.00760598,4.41046947,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036288,OI,OI_CONTRACTION_SHOCK,2024-07-13T00:00:00Z,,-0.00756884,-4.32120364,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O036318,OI,OI_EXPANSION_SHOCK,2024-07-13T07:30:00Z,,0.00698909,4.04576435,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036370,OI,OI_CONTRACTION_SHOCK,2024-07-13T20:30:00Z,,-0.00764569,-4.33182512,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O036393,OI,OI_CONTRACTION_SHOCK,2024-07-14T02:15:00Z,,-0.00782393,-4.37838362,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O036434,OI,OI_CONTRACTION_SHOCK,2024-07-14T12:30:00Z,,-0.00974439,-5.43171869,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O036470,OI,OI_CONTRACTION_SHOCK,2024-07-14T21:30:00Z,,-0.01259184,-7.04678309,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O036528,OI,OI_EXPANSION_SHOCK,2024-07-15T12:00:00Z,,0.00902594,4.97423626,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036529,OI,OI_EXPANSION_SHOCK,2024-07-15T12:15:00Z,,0.02698545,14.80535183,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036541,OI,OI_CONTRACTION_SHOCK,2024-07-15T15:15:00Z,,-0.02485340,-13.48689873,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O036554,OI,OI_CONTRACTION_SHOCK,2024-07-15T18:30:00Z,,-0.01750928,-9.41027921,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O036555,OI,OI_EXPANSION_SHOCK,2024-07-15T18:45:00Z,,0.00960680,5.21077524,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
