episode_view,episode_id,event_id,event_family,side,episode_start,episode_end,representative_event_id,is_representative,member_count
8H,OI|OI_EXPANSION_SHOCK|8H|00098,O010526,OI,OI_EXPANSION_SHOCK,2023-10-18T15:30:00Z,2023-10-19T11:15:00Z,O010526,1,3
8H,OI|OI_EXPANSION_SHOCK|8H|00098,O010549,OI,OI_EXPANSION_SHOCK,2023-10-18T15:30:00Z,2023-10-19T11:15:00Z,O010526,0,3
8H,OI|OI_EXPANSION_SHOCK|8H|00098,O010573,OI,OI_EXPANSION_SHOCK,2023-10-18T15:30:00Z,2023-10-19T11:15:00Z,O010526,0,3
8H,OI|OI_EXPANSION_SHOCK|8H|00099,O010614,OI,OI_EXPANSION_SHOCK,2023-10-19T13:30:00Z,2023-10-19T23:45:00Z,O010614,1,2
8H,OI|OI_EXPANSION_SHOCK|8H|00099,O010623,OI,OI_EXPANSION_SHOCK,2023-10-19T13:30:00Z,2023-10-19T23:45:00Z,O010614,0,2
8H,OI|OI_EXPANSION_SHOCK|8H|00100,O010657,OI,OI_EXPANSION_SHOCK,2023-10-20T00:15:00Z,2023-10-20T17:45:00Z,O010657,1,4
8H,OI|OI_EXPANSION_SHOCK|8H|00100,O010669,OI,OI_EXPANSION_SHOCK,2023-10-20T00:15:00Z,2023-10-20T17:45:00Z,O010657,0,4
8H,OI|OI_EXPANSION_SHOCK|8H|00100,O010694,OI,OI_EXPANSION_SHOCK,2023-10-20T00:15:00Z,2023-10-20T17:45:00Z,O010657,0,4
8H,OI|OI_EXPANSION_SHOCK|8H|00100,O010695,OI,OI_EXPANSION_SHOCK,2023-10-20T00:15:00Z,2023-10-20T17:45:00Z,O010657,0,4
8H,OI|OI_EXPANSION_SHOCK|8H|00101,O010731,OI,OI_EXPANSION_SHOCK,2023-10-20T18:45:00Z,2023-10-21T02:45:00Z,O010731,1,1
8H,OI|OI_EXPANSION_SHOCK|8H|00102,O010763,OI,OI_EXPANSION_SHOCK,2023-10-21T02:45:00Z,2023-10-22T18:00:00Z,O010763,1,9
8H,OI|OI_EXPANSION_SHOCK|8H|00102,O010779,OI,OI_EXPANSION_SHOCK,2023-10-21T02:45:00Z,2023-10-22T18:00:00Z,O010763,0,9
8H,OI|OI_EXPANSION_SHOCK|8H|00102,O010801,OI,OI_EXPANSION_SHOCK,2023-10-21T02:45:00Z,2023-10-22T18:00:00Z,O010763,0,9
8H,OI|OI_EXPANSION_SHOCK|8H|00102,O010809,OI,OI_EXPANSION_SHOCK,2023-10-21T02:45:00Z,2023-10-22T18:00:00Z,O010763,0,9
8H,OI|OI_EXPANSION_SHOCK|8H|00102,O010828,OI,OI_EXPANSION_SHOCK,2023-10-21T02:45:00Z,2023-10-22T18:00:00Z,O010763,0,9
8H,OI|OI_EXPANSION_SHOCK|8H|00102,O010855,OI,OI_EXPANSION_SHOCK,2023-10-21T02:45:00Z,2023-10-22T18:00:00Z,O010763,0,9
8H,OI|OI_EXPANSION_SHOCK|8H|00102,O010869,OI,OI_EXPANSION_SHOCK,2023-10-21T02:45:00Z,2023-10-22T18:00:00Z,O010763,0,9
8H,OI|OI_EXPANSION_SHOCK|8H|00102,O010873,OI,OI_EXPANSION_SHOCK,2023-10-21T02:45:00Z,2023-10-22T18:00:00Z,O010763,0,9
8H,OI|OI_EXPANSION_SHOCK|8H|00102,O010888,OI,OI_EXPANSION_SHOCK,2023-10-21T02:45:00Z,2023-10-22T18:00:00Z,O010763,0,9
8H,OI|OI_EXPANSION_SHOCK|8H|00103,O010931,OI,OI_EXPANSION_SHOCK,2023-10-22T20:45:00Z,2023-10-23T12:00:00Z,O010931,1,5
8H,OI|OI_EXPANSION_SHOCK|8H|00103,O010939,OI,OI_EXPANSION_SHOCK,2023-10-22T20:45:00Z,2023-10-23T12:00:00Z,O010931,0,5
8H,OI|OI_EXPANSION_SHOCK|8H|00103,O010945,OI,OI_EXPANSION_SHOCK,2023-10-22T20:45:00Z,2023-10-23T12:00:00Z,O010931,0,5
8H,OI|OI_EXPANSION_SHOCK|8H|00103,O010953,OI,OI_EXPANSION_SHOCK,2023-10-22T20:45:00Z,2023-10-23T12:00:00Z,O010931,0,5
8H,OI|OI_EXPANSION_SHOCK|8H|00103,O010960,OI,OI_EXPANSION_SHOCK,2023-10-22T20:45:00Z,2023-10-23T12:00:00Z,O010931,0,5
8H,OI|OI_EXPANSION_SHOCK|8H|00104,O010993,OI,OI_EXPANSION_SHOCK,2023-10-23T12:15:00Z,2023-10-24T11:45:00Z,O010993,1,7
8H,OI|OI_EXPANSION_SHOCK|8H|00104,O011015,OI,OI_EXPANSION_SHOCK,2023-10-23T12:15:00Z,2023-10-24T11:45:00Z,O010993,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00104,O011024,OI,OI_EXPANSION_SHOCK,2023-10-23T12:15:00Z,2023-10-24T11:45:00Z,O010993,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00104,O011025,OI,OI_EXPANSION_SHOCK,2023-10-23T12:15:00Z,2023-10-24T11:45:00Z,O010993,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00104,O011045,OI,OI_EXPANSION_SHOCK,2023-10-23T12:15:00Z,2023-10-24T11:45:00Z,O010993,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00104,O011053,OI,OI_EXPANSION_SHOCK,2023-10-23T12:15:00Z,2023-10-24T11:45:00Z,O010993,0,7
