,horizon,signed_close_return_pct,signed_close_return_atr,mfe_pct,mfe_atr,mae_pct,mae_atr,efficiency_ratio,signed_efficiency,total_path_pct,total_path_atr,net_to_path_ratio,return_sign_changes,swing_direction_changes,number_of_local_pivots,high_low_range_pct,high_low_range_atr,range_expansion_vs_pre_event,range_expansion_vs_pre10,range_expansion_vs_pre60,realized_volatility,realized_volatility_ratio,realized_volatility_ratio_pre10,realized_volatility_ratio_pre60,rolling_range_contraction,atr_decay,realized_volatility_decay,inside_bar_fraction,overlap_ratio,body_range_ratio,mean_body_to_range,median_body_to_range,upper_wick_fraction,lower_wick_fraction,directional_body_fraction,large_body_fraction,doji_fraction,outside_bar_fraction,fraction_bars_in_event_direction,longest_same_direction_run,close_above_or_below_event_price_fraction,time_to_mfe,time_to_mae,time_to_new_extreme,initial_move_in_expected_direction,initial_move_against_expected_direction,bars_until_first_favorable_break,bars_until_first_adverse_break,mfe_before_mae,mae_before_mfe,delayed_mfe_after_30,delayed_mae_after_30,delayed_major_move_flag
return_sign_changes,0.9681036551077903,0.08672999993823906,0.06387964198125763,0.3412575555751196,0.2751822054435711,-0.21108703060287917,-0.1901561701685792,-0.3629827106058312,-0.06593916105225828,0.8619140328474968,0.802348070062624,-0.06593916105225828,1.0,0.9982849784994108,0.9982849784994108,0.5958466005870527,0.4173313587127978,0.39506592699437737,0.36430760121554934,0.41240281896911,-0.08960597780238574,-0.026386338385626915,-0.004763278733123756,-0.010840924666786362,-0.21046377799298957,-0.21046377799298957,-0.156738860848483,-0.02250548122013559,0.060455351111217165,-0.1278398587444784,-0.1278398587444784,-0.06950667579373604,0.09980994245662267,0.03332661210356837,-0.18434216410491128,-0.12324091846865355,0.028981994152541442,0.04484639367759934,-0.18434216410491128,0.2427453147874114,0.07416871257273752,0.5193577788603568,0.47883353099897735,0.5193577788603568,0.055501888109082624,-0.05550188810908263,-0.008324992916032158,0.007616482880625065,0.04801165240449902,-0.03683998461745081,0.5511694428289768,-0.32724657082668923,
swing_direction_changes,0.9697327838820292,0.09680311408121124,0.07528348827307246,0.3546690554866434,0.2884524132530876,-0.20350079006129512,-0.1826405947220185,-0.3521920058139196,-0.05977931278272566,0.8669602628062996,0.8063592666784275,-0.05977931278272566,0.9982849784994108,1.0,1.0,0.6026388881076086,0.42173060890229414,0.39518752279505154,0.37492901891352737,0.4120558496737678,-0.09186100266016889,-0.033953530212812555,-0.005674979015833319,-0.015017444445131155,-0.2001436420166594,-0.2001436420166594,-0.147859669471792,-0.03178108572679013,0.050726228722280296,-0.11905482870016998,-0.11905482870016998,-0.05994698682191209,0.08947017157460006,0.035198671132693746,-0.18565377566613822,-0.11399192286908018,0.034081368236093916,0.03142306287369653,-0.18565377566613822,0.24778892103206285,0.08017699593629185,0.5264105947078186,0.4748485332665469,0.5264105947078186,0.057230131507791826,-0.05723013150779184,-0.0026901789951849922,0.001345089497592463,0.04401601188968317,-0.03223730334180247,0.5599287098367176,-0.3203335614319342,
number_of_local_pivots,0.9697327838820292,0.09680311408121124,0.07528348827307246,0.3546690554866434,0.2884524132530876,-0.20350079006129512,-0.1826405947220185,-0.3521920058139196,-0.05977931278272566,0.8669602628062996,0.8063592666784275,-0.05977931278272566,0.9982849784994108,1.0,1.0,0.6026388881076086,0.42173060890229414,0.39518752279505154,0.37492901891352737,0.4120558496737678,-0.09186100266016889,-0.033953530212812555,-0.005674979015833319,-0.015017444445131155,-0.2001436420166594,-0.2001436420166594,-0.147859669471792,-0.03178108572679013,0.050726228722280296,-0.11905482870016998,-0.11905482870016998,-0.05994698682191209,0.08947017157460006,0.035198671132693746,-0.18565377566613822,-0.11399192286908018,0.034081368236093916,0.03142306287369653,-0.18565377566613822,0.24778892103206285,0.08017699593629185,0.5264105947078186,0.4748485332665469,0.5264105947078186,0.057230131507791826,-0.05723013150779184,-0.0026901789951849922,0.001345089497592463,0.04401601188968317,-0.03223730334180247,0.5599287098367176,-0.3203335614319342,
high_low_range_pct,0.6247132855330099,0.1650677698407075,0.1541552442887046,0.5057182336045569,0.45396366468373,-0.42458872220736643,-0.40370175705512273,-0.08497023807983023,-0.015036007949797557,0.7840458413866519,0.7913897201360645,-0.015036007949797557,0.5958466005870527,0.6026388881076086,0.6026388881076086,1.0,0.7732923835861004,0.7733692929941693,0.7176115501263491,0.8015669223022426,0.4735729582089569,0.4126845032142504,0.3911348821797129,0.45405187370379846,0.026461094199791854,0.026461094199791854,0.04899367895217567,-0.09457638005257482,-0.3049970186121635,0.04930014950345502,0.04930014950345502,0.01726318778296188,-0.18569699484406824,0.16316605697910908,0.02176227408274899,-0.15803370934162325,-0.2007077129485569,0.0061394310355680735,0.02176227408274899,0.26433918113562505,-0.032900947786435174,0.46967414593354406,0.14595235262721423,0.46967414593354406,-0.09831934725989215,0.09831934725989208,-0.15585530887093277,0.09512964587790838,-0.1047347601383755,0.11145118930768526,0.3688702266905331,-0.14348661405318391,
high_low_range_atr,0.4066493657123186,0.08316499639664911,0.12985912850846248,0.3043093493421799,0.4972026219661581,-0.41938288475199925,-0.6045468870018127,0.0758792310635316,-0.05126612097023455,0.4369902406587611,0.7904681368101916,-0.05126612097023455,0.4173313587127978,0.42173060890229414,0.42173060890229414,0.7732923835861004,1.0,0.9243814135473444,0.8648333636702865,0.912323837488934,0.2565047964476461,0.653965223863333,0.7154371651244994,0.6845030893801273,0.11518053789746982,0.11518053789746982,0.11187938696176473,-0.14611231389083876,-0.3992933313193559,0.16294234944627872,0.16294234944627872,0.22712791706507915,-0.273878012517249,0.1328899037902012,-0.12224723073042196,0.03052649932309614,-0.11939236352369968,-0.018020088199128655,-0.12224723073042196,-0.12866410774863632,-0.09351103891471081,0.16009743914250635,0.10696525157986744,0.16009743914250635,0.03008173758998167,-0.030081737589981852,-0.10203315261748382,0.1952607053781983,0.08829055387812496,-0.07782603357029107,0.20883029253951851,-0.07751000727361117,
range_expansion_vs_pre_event,0.40087480583122975,-0.05006282940008482,-0.04087227107379126,0.1729900864541608,0.2900440833555692,-0.557273495224041,-0.7145045555840379,0.028273246062658897,-0.14082627735159814,0.4500940320284688,0.723972521175406,-0.14082627735159814,0.39506592699437737,0.39518752279505154,0.39518752279505154,0.7733692929941693,0.9243814135473444,1.0,0.7208448170394051,0.9601759134790411,0.30308491157278983,0.742778026260954,0.6267175685898325,0.7354481156793917,0.03915896863862996,0.03915896863862996,0.08527152891538722,-0.2329700596788335,-0.4362011889011918,0.06975475617446339,0.06975475617446339,0.11241467594652065,-0.17713586379801538,0.12850154854157206,-0.04017748098318324,-0.08702706630900937,-0.1341847256554309,0.016408649313532458,-0.04017748098318324,-0.03814745099551049,-0.20963893520030735,0.1016538995897358,0.11234619575443505,0.1016538995897358,-0.09366268630530955,0.09366268630530933,-0.13680006240854997,0.10472120989620508,0.1661012360065286,-0.15447491338741265,0.13663406754499044,-0.1784646831886639,
range_expansion_vs_pre10,0.40772676849119754,0.1987345518381291,0.2977159763891986,0.4585206545511662,0.6592585395485094,-0.20434736648606575,-0.3123491698603021,0.03743598218036324,0.04948224958326941,0.4662629739669378,0.760894214295429,0.04948224958326941,0.36430760121554934,0.37492901891352737,0.37492901891352737,0.7176115501263491,0.8648333636702865,0.7208448170394051,1.0,0.6962472938246602,0.18839953740275417,0.35142159126337175,0.6301532695486919,0.3941735688403258,0.19654837450312163,0.19654837450312163,0.15123766015642393,-0.09381447271167268,-0.20605875644758584,0.14404962978855634,0.14404962978855634,0.1560409374258648,-0.27970237257624464,0.16241671745215056,-0.1277027729559055,0.10741515989717222,-0.02382004759705304,-0.05503252759886285,-0.1277027729559055,-0.004224771349331167,0.04256456311728247,0.3129200708055395,0.09345182264498912,0.3129200708055395,0.06183582745706527,-0.06183582745706536,-0.07732079242038196,0.31648581462909187,-0.07071139911489605,0.08513606471999188,0.2840118388661991,0.005307082644477012,
range_expansion_vs_pre60,0.41185771082412737,-0.1055944523618804,-0.11322837598587022,0.12995669794868892,0.21720109549660876,-0.6293742997603108,-0.7685878351762478,-0.022986013413034148,-0.20047949891089017,0.4667892215134429,0.707415207764194,-0.20047949891089017,0.41240281896911,0.4120558496737678,0.4120558496737678,0.8015669223022426,0.912323837488934,0.9601759134790411,0.6962472938246602,1.0,0.32921177943982094,0.7371238441243024,0.5907693384305587,0.7473025559171786,0.017783734630964457,0.017783734630964457,0.0615313729981713,-0.17380839505389278,-0.43023177599972107,0.06730662271682956,0.06730662271682956,0.11831218612791584,-0.18347932288484847,0.13901024042841353,-0.05818655057818174,-0.14361640302957082,-0.12493472147136626,0.06588376696806143,-0.05818655057818174,-0.014956348870035,-0.2683256125022037,0.10922044421722969,0.10719484222330047,0.10922044421722969,-0.10365728660498816,0.10365728660498802,-0.1281085762367423,0.10800016798452108,0.15466943637226474,-0.1448799838777978,0.12330148090775071,-0.1871658457151677,
realized_volatility,-0.10172678969085117,0.05703383893034537,0.02741739577200035,0.14564623063323848,0.055780142221142394,-0.2995657383068663,-0.220946713917931,-0.021388486056282168,-0.10544847513022022,0.22304104576436934,0.12596302475721813,-0.10544847513022022,-0.08960597780238574,-0.09186100266016889,-0.09186100266016889,0.4735729582089569,0.2565047964476461,0.30308491157278983,0.18839953740275417,0.32921177943982094,1.0,0.5364812742914231,0.44212459432766027,0.5501713833051018,-0.0962756182903009,-0.0962756182903009,-0.03411723811402712,0.005475488279835347,-0.4092892545706811,0.2951006475355996,0.2951006475355996,0.04421145382271842,-0.27190476632476207,-0.027298588857402703,0.14557863426256465,0.013784114244727367,-0.45870152625726673,-0.037821585246699964,0.14557863426256465,-0.006204001124741823,-0.19335164252229464,0.0189902734371707,-0.23125353931512277,0.0189902734371707,-0.2877301682473424,0.2877301682473424,-0.17722760364220688,0.030363560239029988,-0.06377550939218099,0.03299241836317912,0.0328266947065268,0.09968875979168175,
realized_volatility_ratio,-0.07133723436920528,-0.23723372010676064,-0.22869844923930555,-0.20595925791434166,-0.06693354069142052,-0.6104005853221701,-0.7553249513519407,0.030833694667221783,-0.3188377948113618,0.033982415207992306,0.2776608842450389,-0.3188377948113618,-0.026386338385626915,-0.033953530212812555,-0.033953530212812555,0.4126845032142504,0.653965223863333,0.742778026260954,0.35142159126337175,0.7371238441243024,0.5364812742914231,1.0,0.7674854621061168,0.9668938265922637,-0.04320032235935482,-0.04320032235935482,0.036229134634671374,-0.19294269984866455,-0.5397189571297347,0.22292295803748427,0.22292295803748427,0.2193987683125122,-0.2311526539450404,0.010170778361465174,-0.05601203582727559,0.05524957012438714,-0.2399721512601757,0.05253114924097197,-0.05601203582727559,-0.3005789670918492,-0.4061217621551175,-0.2620744747664329,-0.08234672644984883,-0.2620744747664329,-0.18973909318764667,0.1897390931876464,-0.12934061558727128,0.041348842743849035,0.3167743714215417,-0.3151036121905898,-0.11068848214597764,-0.04202632209596171,
realized_volatility_ratio_pre10,-0.05768427596740977,0.013495727350962506,0.11572671342470342,0.0679593602602574,0.32586106510654866,-0.3023410504651794,-0.4599260660149417,0.11472249630032365,-0.10104300035344227,0.053754451657137596,0.3844992460308088,-0.10104300035344227,-0.004763278733123756,-0.005674979015833319,-0.005674979015833319,0.3911348821797129,0.7154371651244994,0.6267175685898325,0.6301532695486919,0.5907693384305587,0.44212459432766027,0.7674854621061168,1.0,0.7777803827159256,0.14071530734570342,0.14071530734570342,0.123278636114873,-0.18665188792397114,-0.4062378585633584,0.37578959184036154,0.37578959184036154,0.35174070158729526,-0.38168891012754963,0.007610810697214364,-0.2126404772703494,0.28618603698997797,-0.28535610432584935,0.055184648891798485,-0.2126404772703494,-0.45960554501161943,-0.14920850714741524,-0.1359469623964898,-0.10395707968873161,-0.1359469623964898,-0.03937227469462323,0.03937227469462307,-0.03377069036102744,0.260648010582252,0.1426932389851965,-0.1329464354590029,-0.0030880807037806106,0.07894302060873115,
realized_volatility_ratio_pre60,-0.06835256230043045,-0.10199401035413118,-0.10268707484575076,-0.09949534187162015,0.031148107327617774,-0.5381881923483693,-0.697678278067706,0.08193896076336653,-0.21005550706772902,0.04534861727450618,0.28842872337825853,-0.21005550706772902,-0.010840924666786362,-0.015017444445131155,-0.015017444445131155,0.45405187370379846,0.6845030893801273,0.7354481156793917,0.3941735688403258,0.7473025559171786,0.5501713833051018,0.9668938265922637,0.7777803827159256,1.0,0.011605870379155425,0.011605870379155425,0.07688563522869546,-0.15697923464359262,-0.5795057500144538,0.27808122914689465,0.27808122914689465,0.2660382722387825,-0.3235526193655127,0.05478330664494507,-0.021588041764530736,0.08994274777372903,-0.27201919878873543,0.04201883935366881,-0.021588041764530736,-0.3240755845735698,-0.3095115795599554,-0.19055421397983668,-0.14275538484972128,-0.19055421397983668,-0.12995644344455065,0.12995644344455046,-0.10674605096349075,0.09809876155446416,0.2205805897072429,-0.22462368096790913,-0.04977641467428316,0.029802481742061362,
rolling_range_contraction,-0.1971214097570648,0.16902074477572754,0.21931533583059637,0.19258481829085825,0.2672968816263776,0.17683510899008703,0.12319405584598386,0.27246670706441717,0.1970321092284145,-0.16912519347003563,-0.08820471302965241,0.1970321092284145,-0.21046377799298957,-0.2001436420166594,-0.2001436420166594,0.026461094199791854,0.11518053789746982,0.03915896863862996,0.19654837450312163,0.017783734630964457,-0.0962756182903009,-0.04320032235935482,0.14071530734570342,0.011605870379155425,1.0,1.0,0.7171579306938917,-0.05591522788944178,-0.1135253924192822,0.16681475027708612,0.16681475027708612,0.19954974157806538,-0.19152838833687297,0.02979788381702267,-0.03886823577966883,0.14412057174226595,-0.07143197071978136,-0.012320831182486378,-0.03886823577966883,-0.1383409716792494,0.19055371104190647,0.07807100884179273,-0.0001061311896921038,0.07807100884179273,0.09362114691584207,-0.09362114691584207,0.1177164241445999,0.11232147101033116,-0.16746024031112383,0.18230865579461214,-0.18949905880872883,-0.013600095808921358,
atr_decay,-0.1971214097570648,0.16902074477572754,0.21931533583059637,0.19258481829085825,0.2672968816263776,0.17683510899008703,0.12319405584598386,0.27246670706441717,0.1970321092284145,-0.16912519347003563,-0.08820471302965241,0.1970321092284145,-0.21046377799298957,-0.2001436420166594,-0.2001436420166594,0.026461094199791854,0.11518053789746982,0.03915896863862996,0.19654837450312163,0.017783734630964457,-0.0962756182903009,-0.04320032235935482,0.14071530734570342,0.011605870379155425,1.0,1.0,0.7171579306938917,-0.05591522788944178,-0.1135253924192822,0.16681475027708612,0.16681475027708612,0.19954974157806538,-0.19152838833687297,0.02979788381702267,-0.03886823577966883,0.14412057174226595,-0.07143197071978136,-0.012320831182486378,-0.03886823577966883,-0.1383409716792494,0.19055371104190647,0.07807100884179273,-0.0001061311896921038,0.07807100884179273,0.09362114691584207,-0.09362114691584207,0.1177164241445999,0.11232147101033116,-0.16746024031112383,0.18230865579461214,-0.18949905880872883,-0.013600095808921358,
realized_volatility_decay,-0.14869621437256778,0.10577757874523191,0.1314782910295863,0.14253640448628374,0.17782595335635784,0.10278415590652855,0.0445539828773065,0.1454222712952064,0.12250465790802105,-0.09875573418715257,-0.05919668425850975,0.12250465790802105,-0.156738860848483,-0.147859669471792,-0.147859669471792,0.04899367895217567,0.11187938696176473,0.08527152891538722,0.15123766015642393,0.0615313729981713,-0.03411723811402712,0.036229134634671374,0.123278636114873,0.07688563522869546,0.7171579306938917,0.7171579306938917,1.0,-0.14137393904104556,-0.08878862316441559,0.13595386275265703,0.13595386275265703,0.14869754876624117,-0.09708102712677161,-0.046279729179608854,-0.14502518936593345,0.11288570210547479,-0.022060958598365505,0.02405131979112211,-0.14502518936593345,-0.158032330147648,0.1451002596981893,0.05125438929919727,-0.04389886251101307,0.05125438929919727,0.03227207410557967,-0.03227207410557976,0.010619679360426482,0.03737270096406724,-0.12679001837011875,0.1417132573371654,-0.11179536878724049,-0.0015289762788933865,
inside_bar_fraction,-0.06189309746073861,0.13327445280920594,0.14961499502471126,0.08303877677263709,0.0677996148126716,0.17749937444461272,0.21727525973327122,-0.07222232743468113,0.10325617832946345,-0.09567493240636396,-0.12331770896118942,0.10325617832946345,-0.02250548122013559,-0.03178108572679013,-0.03178108572679013,-0.09457638005257482,-0.14611231389083876,-0.2329700596788335,-0.09381447271167268,-0.17380839505389278,0.005475488279835347,-0.19294269984866455,-0.18665188792397114,-0.15697923464359262,-0.05591522788944178,-0.05591522788944178,-0.14137393904104556,1.0,0.2680612440333091,-0.1127076465749927,-0.1127076465749927,-0.08760047147322109,-0.09953727117095855,0.2536193626979667,0.130484268606685,-0.009388660446292042,0.17231675761759108,0.2932763917197117,0.130484268606685,0.0036964885793335242,0.10510719100338592,-0.019211439078354913,-0.043512409031018,-0.019211439078354913,0.20145862854584365,-0.20145862854584348,-0.0630561322105488,0.05748230365777049,-0.1425675286126082,0.11797474357699743,-0.0002421393285522198,0.12370096069896565,
