event_id,symbol,timeframe,timestamp,direction,matched_group_id,event_type,horizon,signed_close_return_pct,signed_close_return_atr,mfe_pct,mfe_atr,mae_pct,mae_atr,final_direction,efficiency_ratio,signed_efficiency,total_path_pct,total_path_atr,net_to_path_ratio,return_sign_changes,swing_direction_changes,number_of_local_pivots,high_low_range_pct,high_low_range_atr,range_expansion_vs_pre_event,range_expansion_vs_pre10,range_expansion_vs_pre60,realized_volatility,realized_volatility_ratio,realized_volatility_ratio_pre10,realized_volatility_ratio_pre60,rolling_range_contraction,atr_decay,realized_volatility_decay,inside_bar_fraction,overlap_ratio,body_range_ratio,mean_body_to_range,median_body_to_range,upper_wick_fraction,lower_wick_fraction,directional_body_fraction,large_body_fraction,doji_fraction,outside_bar_fraction,fraction_bars_in_event_direction,longest_same_direction_run,close_above_or_below_event_price_fraction,time_to_mfe,time_to_mae,time_to_new_extreme,initial_move_in_expected_direction,initial_move_against_expected_direction,bars_until_first_favorable_break,bars_until_first_adverse_break,mfe_before_mae,mae_before_mfe,delayed_mfe_after_30,delayed_mae_after_30,delayed_major_move_flag
F015,ADAUSDT,4H,2025-06-03 12:00,LONG,M05,MATCHED_NON_MAJOR,20,-0.05483405483405473,-2.6774031202818254,0.013419913419913545,0.6552591847005593,-0.10779220779220779,-5.263210870659282,AGAINST_EVENT_DIRECTION,0.2154195011337867,-0.2154195011337867,0.25454545454545424,12.428787116255641,-0.2154195011337867,6,6,6,0.12121212121212133,5.918470055359841,0.8187134502923982,1.935483870967744,0.6829268292682933,0.016891957266596085,1.1250814930978472,1.428679199620874,1.264428610949128,1.4124513618677037,1.4124513618677037,1.8637894100004768,0.10526315789473684,0.43633276740237587,0.5122820858819668,0.5122820858819668,0.5338652181293462,0.22210070817869867,0.26561720593933463,0.45,0.4,0.1,0.05263157894736842,0.45,4,0.1,3,14,3,0,1,1,1,1,0,0.0,-0.0,0
F015,ADAUSDT,4H,2025-06-03 12:00,LONG,M05,MATCHED_NON_MAJOR,30,-0.03391053391053386,-1.6557624559637614,0.013419913419913545,0.6552591847005593,-0.10779220779220779,-5.263210870659282,AGAINST_EVENT_DIRECTION,0.11017346460384433,-0.11017346460384433,0.3077922077922074,15.028686462002993,-0.11017346460384433,11,11,11,0.12121212121212133,5.918470055359841,0.8187134502923982,1.935483870967744,0.6829268292682933,0.014440503196126966,0.9618034571464824,1.2213413888491733,1.0809277521553102,0.7056133056133072,0.7056133056133072,0.5585801172201641,0.06896551724137931,0.45974209384824904,0.45978999046781543,0.45978999046781543,0.4113164412269042,0.2529382920335292,0.28727171749865543,0.5,0.3,0.1,0.034482758620689655,0.5,4,0.06666666666666667,3,14,3,0,1,1,1,1,0,0.0,-0.0,0
F015,ADAUSDT,4H,2025-06-03 12:00,LONG,M05,MATCHED_NON_MAJOR,60,-0.07965367965367953,-3.8892803220936005,0.05526695526695527,2.6985405133366873,-0.10995670995670986,-5.368897835933561,AGAINST_EVENT_DIRECTION,0.12174680194089098,-0.12174680194089098,0.6542568542568536,31.945646703573182,-0.12174680194089098,24,24,24,0.16522366522366513,8.067438349270247,1.1159844054580887,2.638248847926266,0.9308943089430889,0.014645273970809771,0.9754421258505833,1.2386603852130877,1.0962556399843404,1.1950268161872242,1.1950268161872242,1.027917138149202,0.0847457627118644,0.5091522411884736,0.4557644980028128,0.4557644980028128,0.433367139959438,0.2577712046519635,0.2864642973452236,0.4666666666666667,0.2833333333333333,0.08333333333333333,0.1016949152542373,0.4666666666666667,4,0.25,48,57,48,0,1,1,1,1,0,0.05526695526695527,-0.10995670995670986,0
F016,ADAUSDT,4H,2024-09-28 04:00,SHORT,M06,MATCHED_NON_MAJOR,10,-0.001008064516129061,-0.04982206405694093,0.012348790322580544,0.6103202846975039,-0.018649193548387143,-0.921708185053383,AGAINST_EVENT_DIRECTION,0.014388489208633453,-0.014388489208633453,0.070060483870968,3.4626334519573083,-0.014388489208633453,3,3,3,0.030997983870967687,1.532028469750887,0.18778625954198438,0.5720930232558123,0.13804713804713778,0.008744445037172156,0.7049050501951319,0.8718183068049487,0.7661866703609542,1.1156462585034037,1.1156462585034037,2.600554288831485,0.2222222222222222,0.5573419078242238,0.4210913073950973,0.4210913073950973,0.3805429864253389,0.19284734369211876,0.38606134891278393,0.5,0.4,0.1,0.1111111111111111,0.5,4,0.1,1,3,1,0,1,1,1,1,0,0.0,-0.0,0
F016,ADAUSDT,4H,2024-09-28 04:00,SHORT,M06,MATCHED_NON_MAJOR,20,0.07711693548387087,3.811387900355867,0.10609879032258057,5.243772241992879,-0.018649193548387143,-0.921708185053383,EVENT_DIRECTION,0.36255924170616055,0.36255924170616055,0.2127016129032259,10.512455516014239,0.36255924170616055,9,9,9,0.12474798387096772,6.165480427046262,0.7557251908396945,2.3023255813953463,0.5555555555555554,0.014737294991709829,1.187999195113148,1.4693034848913034,1.2912790842444195,1.6205787781350467,1.6205787781350467,2.0627956454388485,0.15789473684210525,0.47723603487245775,0.45108826880982394,0.45108826880982394,0.47015915119363605,0.21192137231904945,0.33699035887112655,0.5,0.35,0.1,0.05263157894736842,0.5,4,0.55,20,3,20,0,1,1,1,0,1,0.0,-0.0,0
F016,ADAUSDT,4H,2024-09-28 04:00,SHORT,M06,MATCHED_NON_MAJOR,30,0.1370967741935484,6.775800711743773,0.1544858870967741,7.635231316725974,-0.018649193548387143,-0.921708185053383,EVENT_DIRECTION,0.3621837549933422,0.3621837549933422,0.3785282258064516,18.708185053380785,0.3621837549933422,15,15,15,0.17313508064516125,8.556939501779357,1.0488549618320608,3.195348837209299,0.7710437710437708,0.01710731311711721,1.3790505126698225,1.705593515923152,1.4989396377137136,1.7884806355511416,1.7884806355511416,2.1658850255147133,0.2413793103448276,0.5338196286472151,0.4824966453294607,0.4824966453294607,0.5144346431435451,0.1754021252935703,0.3421012293769689,0.5333333333333333,0.4,0.06666666666666667,0.06896551724137931,0.5333333333333333,4,0.7,27,3,27,0,1,1,1,0,1,0.0,-0.0,0
F016,ADAUSDT,4H,2024-09-28 04:00,SHORT,M06,MATCHED_NON_MAJOR,60,0.1134072580645161,5.604982206405692,0.1648185483870968,8.145907473309611,-0.018649193548387143,-0.921708185053383,EVENT_DIRECTION,0.1948051948051947,0.1948051948051947,0.5821572580645162,28.772241992882567,0.1948051948051947,29,29,29,0.18346774193548396,9.067615658362994,1.1114503816793897,3.3860465116279053,0.8170594837261507,0.014106670320690452,1.1371634344114079,1.4064304116910702,1.2360238662309433,0.7222222222222223,0.7222222222222223,0.5516922842781747,0.2033898305084746,0.5761870715397235,0.4527535627018649,0.4527535627018649,0.48192640692640537,0.2172561946591033,0.32999024263903187,0.5,0.36666666666666664,0.16666666666666666,0.06779661016949153,0.5,4,0.85,31,3,31,0,1,1,1,0,1,0.1648185483870968,0.0720766129032257,0
F017,ADAUSDT,4H,2024-09-28 16:00,SHORT,M06,MATCHED_NON_MAJOR,10,0.039411324519830336,2.137198067632847,0.049887752556747225,2.7053140096618296,-0.00823147917186337,-0.44637681159420617,EVENT_DIRECTION,0.43406593406593436,0.43406593406593436,0.09079570965327996,4.923671497584531,0.43406593406593436,4,4,4,0.058119231728610596,3.151690821256036,0.37641357027463623,0.9748953974895401,0.26150392817059465,0.010342532002277353,0.7993493585032914,1.2073767965274376,0.9086494594767646,1.2990033222591362,1.2990033222591362,1.2910742671040902,0.3333333333333333,0.5266538214515107,0.49300208856329064,0.49300208856329064,0.5784825371336833,0.10507509951593592,0.40192281192077334,0.6,0.5,0.1,0.1111111111111111,0.6,3,0.9,10,6,10,1,0,1,1,0,1,0.0,-0.0,0
F017,ADAUSDT,4H,2024-09-28 16:00,SHORT,M06,MATCHED_NON_MAJOR,20,0.0982788725367922,5.329468599033813,0.1471688700424046,7.980676328502412,-0.00823147917186337,-0.44637681159420617,EVENT_DIRECTION,0.3817829457364342,0.3817829457364342,0.2574208031928161,13.959420289855062,0.3817829457364342,9,9,9,0.15540034921426796,8.427053140096618,1.0064620355411957,2.6066945606694594,0.6992143658810327,0.017479049981249828,1.350913624118592,2.040486736522302,1.5356326008111776,1.7630057803468195,1.7630057803468195,2.166071367701825,0.21052631578947367,0.5097996036115399,0.4873268377141124,0.4873268377141124,0.5352164343360238,0.15653909284548728,0.3561340694404004,0.55,0.4,0.1,0.05263157894736842,0.55,3,0.95,18,6,18,1,0,1,1,0,1,0.0,-0.0,0
F017,ADAUSDT,4H,2024-09-28 16:00,SHORT,M06,MATCHED_NON_MAJOR,30,0.14567223746570207,7.899516908212551,0.17335994013469697,9.400966183574877,-0.00823147917186337,-0.44637681159420617,EVENT_DIRECTION,0.383705650459921,0.383705650459921,0.37964579695684697,20.587439613526556,0.383705650459921,15,15,15,0.18159141930656034,9.847342995169083,1.176090468497577,3.046025104602515,0.8170594837261507,0.0171205309144302,1.3232045499759773,1.9986335808061413,1.5041346894480763,1.674249317561419,1.674249317561419,1.6850775129061004,0.27586206896551724,0.554375755300302,0.48298769024823796,0.48298769024823796,0.5144346431435451,0.147243887916698,0.3697684218350641,0.5666666666666667,0.4,0.1,0.06896551724137931,0.5666666666666667,3,0.9666666666666667,28,6,28,1,0,1,1,0,1,0.0,-0.0,0
