event_id,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045
F011,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46273291925465837,1.0,0.4104938271604938,1.0,0.4582043343653251,0.4367469879518072,0.47604790419161674,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.449685534591195,0.46788990825688076,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F012,0.0,0.0,0.0,0.4294478527607362,0.4536741214057508,0.44126984126984126,0.4793650793650794,0.39628482972136225,0.43582089552238806,0.44025157232704404,0.46273291925465837,1.0,0.45569620253164556,0.0,0.45396825396825397,1.0,1.0,1.0,0.42483660130718953,0.446875,0.4454828660436137,0.44242424242424244,0.46905537459283386,0.4556213017751479,0.40797546012269936,0.4393939393939394,0.40615384615384614,0.4236760124610592,0.4695121951219512,0.43613707165109034,0.44155844155844154,0.43373493975903615,0.4472049689440994,0.44648318042813456,1.0,1.0,0.5197568389057751,0.4338461538461538,0.4281437125748503,0.45307443365695793,0.4617737003058104,0.43788819875776397,0.42424242424242425,0.43653250773993807,0.46319018404907975
F013,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45569620253164556,1.0,0.4272151898734177,1.0,0.45483870967741935,0.42105263157894735,0.4551083591331269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42295081967213116,0.45396825396825397,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F014,0.0,0.0,0.0,0.444794952681388,0.41214057507987223,0.4243421052631579,0.40634920634920635,0.4794952681388013,0.43558282208588955,0.4394904458598726,0.4104938271604938,0.0,0.4272151898734177,1.0,0.42258064516129035,0.0,0.0,0.0,0.44039735099337746,0.4180064308681672,0.425,0.4351851851851852,0.39403973509933776,0.4115853658536585,0.4875,0.4523076923076923,0.47003154574132494,0.44660194174757284,0.40425531914893614,0.4440993788819876,0.43790849673202614,0.43613707165109034,0.4392523364485981,0.42901234567901236,0.0,0.0,0.33746130030959753,0.440625,0.43613707165109034,0.434640522875817,0.4169278996865204,0.43086816720257237,0.4553846153846154,0.43478260869565216,0.4074074074074074
F015,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45396825396825397,1.0,0.42258064516129035,1.0,0.45394736842105265,0.39747634069400634,0.4573170731707317,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41830065359477125,0.4512987012987013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F016,0.0,0.0,0.0,0.43125,0.4694533762057878,0.45302013422818793,0.4772727272727273,0.40683229813664595,0.43597560975609756,0.44625407166123776,0.4582043343653251,1.0,0.45483870967741935,0.0,0.45394736842105265,1.0,1.0,1.0,0.44,0.45741324921135645,0.45794392523364486,0.4506172839506173,0.46405228758169936,0.4601226993865031,0.41009463722397477,0.4386503067484663,0.41509433962264153,0.43729903536977494,0.4845679012345679,0.44200626959247646,0.45483870967741935,0.4447852760736196,0.44761904761904764,0.4565916398713826,1.0,1.0,0.5279503105590062,0.439873417721519,0.43119266055045874,0.43564356435643564,0.459375,0.4462025316455696,0.4254658385093168,0.4601226993865031,0.4723926380368098
F017,0.0,0.0,0.0,0.3987730061349693,0.43302180685358255,0.41368078175895767,0.43260188087774293,0.36503067484662577,0.4066265060240964,0.4119496855345912,0.4367469879518072,1.0,0.42105263157894735,0.0,0.39747634069400634,1.0,1.0,1.0,0.38235294117647056,0.4166666666666667,0.42507645259938837,0.3970149253731343,0.4383116883116883,0.42168674698795183,0.3622291021671827,0.4006024096385542,0.37425149700598803,0.3949843260188088,0.43373493975903615,0.40797546012269936,0.4106583072100313,0.4024390243902439,0.40425531914893614,0.42813455657492355,1.0,1.0,0.4817073170731707,0.4012345679012346,0.3916913946587537,0.40705128205128205,0.4199395770392749,0.4074074074074074,0.39710144927536234,0.4012158054711246,0.4294294294294294
F018,0.0,0.0,0.0,0.44047619047619047,0.4779874213836478,0.46417445482866043,0.48623853211009177,0.41515151515151516,0.4518950437317784,0.4503105590062112,0.47604790419161674,1.0,0.4551083591331269,0.0,0.4573170731707317,1.0,1.0,1.0,0.4426751592356688,0.45426829268292684,0.47335423197492166,0.4578313253012048,0.48264984227129337,0.46920821114369504,0.42424242424242425,0.4420731707317073,0.4208955223880597,0.43597560975609756,0.4880952380952381,0.4575757575757576,0.4479495268138801,0.45180722891566266,0.44410876132930516,0.4624624624624625,1.0,1.0,0.5343283582089552,0.45592705167173253,0.4408284023668639,0.4444444444444444,0.4696969696969697,0.45896656534954405,0.4362017804154303,0.45588235294117646,0.47477744807121663
F019,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42483660130718953,1.0,0.44039735099337746,1.0,0.44,0.38235294117647056,0.4426751592356688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40604026845637586,0.4473684210526316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F020,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.446875,1.0,0.4180064308681672,1.0,0.45741324921135645,0.4166666666666667,0.45426829268292684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.4637223974763407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F021,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4454828660436137,1.0,0.425,1.0,0.45794392523364486,0.42507645259938837,0.47335423197492166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4281150159744409,0.4520123839009288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F022,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44242424242424244,1.0,0.4351851851851852,1.0,0.4506172839506173,0.3970149253731343,0.4578313253012048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.416403785488959,0.45482866043613707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F023,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46905537459283386,1.0,0.39403973509933776,1.0,0.46405228758169936,0.4383116883116883,0.48264984227129337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4485049833887043,0.4885245901639344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F024,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4556213017751479,1.0,0.4115853658536585,1.0,0.4601226993865031,0.42168674698795183,0.46920821114369504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4393939393939394,0.46504559270516715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F025,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40797546012269936,1.0,0.4875,1.0,0.41009463722397477,0.3622291021671827,0.42424242424242425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3903225806451613,0.4115755627009646,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F026,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4393939393939394,1.0,0.4523076923076923,1.0,0.4386503067484663,0.4006024096385542,0.4420731707317073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3987341772151899,0.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F027,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40615384615384614,1.0,0.47003154574132494,1.0,0.41509433962264153,0.37425149700598803,0.4208955223880597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38485804416403785,0.4166666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F028,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4236760124610592,1.0,0.44660194174757284,1.0,0.43729903536977494,0.3949843260188088,0.43597560975609756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40728476821192056,0.4258064516129032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F029,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4695121951219512,1.0,0.40425531914893614,1.0,0.4845679012345679,0.43373493975903615,0.4880952380952381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4605678233438486,0.47865853658536583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F030,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43613707165109034,1.0,0.4440993788819876,1.0,0.44200626959247646,0.40797546012269936,0.4575757575757576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42038216560509556,0.44891640866873067,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F031,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44155844155844154,1.0,0.43790849673202614,1.0,0.45483870967741935,0.4106583072100313,0.4479495268138801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4144736842105263,0.44336569579288027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F032,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43373493975903615,1.0,0.43613707165109034,1.0,0.4447852760736196,0.4024390243902439,0.45180722891566266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4308176100628931,0.45671641791044776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F033,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4472049689440994,1.0,0.4392523364485981,1.0,0.44761904761904764,0.40425531914893614,0.44410876132930516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41346153846153844,0.4520123839009288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F034,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44648318042813456,1.0,0.42901234567901236,1.0,0.4565916398713826,0.42813455657492355,0.4624624624624625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4380952380952381,0.468944099378882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F035,0.0,0.0,0.0,0.40705128205128205,0.4533333333333333,0.436241610738255,0.45723684210526316,0.3887147335423197,0.41358024691358025,0.41,0.449685534591195,1.0,0.42295081967213116,0.0,0.41830065359477125,1.0,1.0,1.0,0.40604026845637586,0.42857142857142855,0.4281150159744409,0.416403785488959,0.4485049833887043,0.4393939393939394,0.3903225806451613,0.3987341772151899,0.38485804416403785,0.40728476821192056,0.4605678233438486,0.42038216560509556,0.4144736842105263,0.4308176100628931,0.41346153846153844,0.4380952380952381,1.0,1.0,0.5031645569620253,0.4185303514376997,0.403125,0.42524916943521596,0.45222929936305734,0.4234527687296417,0.40186915887850466,0.428125,0.4482758620689655
F036,0.0,0.0,0.0,0.440625,0.483974358974359,0.45394736842105265,0.473015873015873,0.4095238095238095,0.44072948328267475,0.4416403785488959,0.46788990825688076,1.0,0.45396825396825397,0.0,0.4512987012987013,1.0,1.0,1.0,0.4473684210526316,0.4637223974763407,0.4520123839009288,0.45482866043613707,0.4885245901639344,0.46504559270516715,0.4115755627009646,0.45,0.4166666666666667,0.4258064516129032,0.47865853658536583,0.44891640866873067,0.44336569579288027,0.45671641791044776,0.4520123839009288,0.468944099378882,1.0,1.0,0.5292307692307693,0.4458204334365325,0.43597560975609756,0.44336569579288027,0.47003154574132494,0.449685534591195,0.43333333333333335,0.4539877300613497,0.48286604361370716
F037,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5197568389057751,1.0,0.33746130030959753,1.0,0.5279503105590062,0.4817073170731707,0.5343283582089552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5031645569620253,0.5292307692307693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F038,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4338461538461538,1.0,0.440625,1.0,0.439873417721519,0.4012345679012346,0.45592705167173253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4185303514376997,0.4458204334365325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F039,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4281437125748503,1.0,0.43613707165109034,1.0,0.43119266055045874,0.3916913946587537,0.4408284023668639,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.403125,0.43597560975609756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F040,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45307443365695793,1.0,0.434640522875817,1.0,0.43564356435643564,0.40705128205128205,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42524916943521596,0.44336569579288027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F041,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4617737003058104,1.0,0.4169278996865204,1.0,0.459375,0.4199395770392749,0.4696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45222929936305734,0.47003154574132494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F042,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43788819875776397,1.0,0.43086816720257237,1.0,0.4462025316455696,0.4074074074074074,0.45896656534954405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4234527687296417,0.449685534591195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F043,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42424242424242425,1.0,0.4553846153846154,1.0,0.4254658385093168,0.39710144927536234,0.4362017804154303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40186915887850466,0.43333333333333335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F044,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43653250773993807,1.0,0.43478260869565216,1.0,0.4601226993865031,0.4012158054711246,0.45588235294117646,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.428125,0.4539877300613497,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F045,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46319018404907975,1.0,0.4074074074074074,1.0,0.4723926380368098,0.4294294294294294,0.47477744807121663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4482758620689655,0.48286604361370716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
