feature,count,mean,std,median,p10,p25,p75,p90,min,max,missing_count,constant
mean_body_to_range,180,0.4265204234129856,0.0475073070584898,0.4235331806673731,0.36353718447294164,0.398605870473246,0.45433194932487553,0.49106937569396475,0.2888229873329563,0.5840213875872492,0,0
median_body_to_range,180,0.42581757584741736,0.0732369317893476,0.42174110069806836,0.3408889717187721,0.3704786416678306,0.47835497835497715,0.5145063303443422,0.23413834131909897,0.6380936890045551,0,0
upper_wick_fraction,180,0.2577329738075456,0.04756625437093376,0.26418247625660707,0.1928038896995543,0.23377061038448468,0.28492017653116497,0.3093119274469973,0.10507509951593592,0.392346002777954,0,0
lower_wick_fraction,180,0.31574660277946864,0.039780290535621855,0.3224133599443191,0.2627564398660011,0.293107289811922,0.3363741764840007,0.360758600119835,0.2141690425248514,0.4267744176868917,0,0
directional_body_fraction,180,0.5354629629629629,0.08881994818822583,0.5333333333333333,0.44833333333333336,0.5,0.6,0.65,0.3,0.8,0,0
large_body_fraction,180,0.2924074074074074,0.09125872564779058,0.3,0.2,0.21666666666666667,0.36666666666666664,0.4,0.1,0.6,0,0
doji_fraction,180,0.13185185185185186,0.08018668204915405,0.1,0.03333333333333333,0.06666666666666667,0.2,0.25,0.0,0.4,0,0
outside_bar_fraction,180,0.10539544794622877,0.06676705274458038,0.1043557168784029,0.05245316681534345,0.06779661016949153,0.11864406779661017,0.17381648158971355,0.0,0.4444444444444444,0,0
fraction_bars_in_event_direction,180,0.5354629629629629,0.08881994818822583,0.5333333333333333,0.44833333333333336,0.5,0.6,0.65,0.3,0.8,0,0
longest_same_direction_run,180,4.433333333333334,1.5531330342962326,4.0,2.900000000000002,3.0,6.0,6.0,1.0,8.0,0,0
close_above_or_below_event_price_fraction,180,0.5462962962962963,0.3684282413152231,0.6,0.03333333333333333,0.19583333333333333,0.9333333333333333,1.0,0.0,1.0,0,0
time_to_mfe,180,15.266666666666667,13.047605144240073,12.0,1.0,3.0,25.0,30.0,1.0,60.0,0,0
time_to_mae,180,11.38888888888889,14.28067415498959,6.0,1.0,3.0,12.0,34.0,1.0,59.0,0,0
time_to_new_extreme,180,15.266666666666667,13.047605144240073,12.0,1.0,3.0,25.0,30.0,1.0,60.0,0,0
initial_move_in_expected_direction,180,0.4666666666666667,0.49888765156985887,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0
initial_move_against_expected_direction,180,0.5333333333333333,0.49888765156985887,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0
bars_until_first_favorable_break,180,1.0222222222222221,0.14740554623801777,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,0
bars_until_first_adverse_break,180,1.0444444444444445,0.29481109247603554,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0,0
mfe_before_mae,180,0.40555555555555556,0.4909992331089533,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0
mae_before_mfe,180,0.5888888888888889,0.4920353294552117,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0
delayed_mfe_after_30,180,0.015276310065484362,0.04352511378144394,0.0,0.0,0.0,0.0,0.07651098538331264,-0.07548403976975403,0.19182807110639435,0,0
delayed_mae_after_30,180,-0.008825984169327221,0.03940721848965782,0.0,-0.04167708454683393,-0.0,0.0,0.0,-0.19113029827315545,0.09710642471799895,0,0
delayed_major_move_flag,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
