instrument,child_scale,parent_direction,parent_start,counter_start,balance_start,reassertion_time,end_time,parent_invalidation_boundary,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,failed_counter_extension,parent_reassertion,reassertion_atr,counter_displacement_atr,counter_efficiency,overlap_ratio,alternation_rate,parent_elapsed_bars,child_elapsed_bars,child_parent_amplitude_ratio,child_parent_duration_ratio,parameter_factor,diagnostic_flag,diagnostic_reason,interval_id,parent_state_time,parent_origin_time,parent_age_bars,parent_full_executable_duration_bars,parent_state_causal_assertion,parent_displacement_atr,parent_efficiency,parent_extension_from_origin_atr,parent_close_location,parent_recent_slope_atr,parent_slope_change_atr,parent_range_expansion_ratio,parent_body_efficiency,distance_to_parent_boundary_atr,distance_from_parent_extreme_atr,parent_maturity_fraction,invalid_measurement_flags,mechanical_redundancy
ADAUSDT,1H_FALLBACK,UP,2023-07-27 16:00:00,2023-07-29 00:00:00,2023-07-29 12:00:00,2023-07-29 16:00:00,2023-07-29 16:00:00,0.3053,1,1,1,1,0,1,0.604545,0.149637,0.128205,0.537619,0.333333,8,4,0.62963,0.5,1.0,0,,ADA_0172,2023-07-28 20:00:00,2023-07-27 16:00:00,8,8,1,0.681590958487291,0.10894941634241317,1.533579656596398,0.5679012345679006,-0.08925595884952459,-0.35702383539810284,0.6754385964912304,-0.7333333333332889,1.1197565746576807,0.8519886981091069,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,UP,2023-07-28 20:00:00,2023-07-30 04:00:00,2023-07-30 16:00:00,2023-07-30 20:00:00,2023-07-30 20:00:00,0.3087,1,1,1,1,1,1,1.733075,1.746824,1.0,0.651463,0.333333,8,4,2.263158,0.5,1.0,0,,ADA_0179,2023-07-30 00:00:00,2023-07-28 20:00:00,8,8,1,1.1530750474126148,0.19095477386934548,1.3654836087781084,0.8771929824561352,0.30344080195069073,0.3540142689424725,0.879518072289156,1.0,1.5172040097534538,0.21240856136549366,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,DOWN,2023-07-31 00:00:00,2023-08-01 08:00:00,2023-08-01 20:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,0.319,1,1,1,1,1,1,0.522523,1.021505,1.0,0.538425,0.333333,8,4,0.495868,0.5,1.0,0,,ADA_0192,2023-08-01 04:00:00,2023-07-31 00:00:00,8,8,1,2.2926631536278874,0.23059360730593542,4.562626672071343,0.5867768595041318,0.34806107282799564,0.12106472098365009,1.948717948717931,0.4035087719298232,3.223348196189702,2.2699635184434555,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,DOWN,2023-07-31 12:00:00,2023-08-01 20:00:00,2023-08-02 08:00:00,2023-08-02 12:00:00,2023-08-02 12:00:00,0.3153,1,1,0,1,0,1,1.018545,-0.422613,0.323529,0.506484,0.666667,8,4,0.521951,0.5,1.0,0,,ADA_0195,2023-08-01 16:00:00,2023-07-31 12:00:00,8,8,1,1.0420468777956657,0.11279826464208184,3.3866523528359194,0.42926829268292793,-0.11355639052901387,-0.4208266237251723,0.5921052631578956,-0.7142857142856917,1.763463947038831,2.3446054750402534,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,DOWN,2023-08-01 20:00:00,2023-08-03 04:00:00,2023-08-03 16:00:00,2023-08-03 20:00:00,2023-08-03 20:00:00,0.312,1,1,1,1,0,1,0.685015,0.021277,0.04,0.595141,0.333333,8,4,0.732877,0.5,1.0,0,,ADA_0203,2023-08-03 00:00:00,2023-08-01 20:00:00,8,8,1,2.0687532067727092,0.30083565459610173,2.471010774756289,0.8561643835616445,0.2234764266575453,-0.05746536685479808,1.0866141732283547,0.8947368421052739,2.394390285616557,0.4022575679835794,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,DOWN,2023-08-02 16:00:00,2023-08-04 00:00:00,2023-08-04 12:00:00,2023-08-04 16:00:00,2023-08-04 16:00:00,0.3038,1,1,0,1,0,1,0.600954,0.454693,0.454545,0.75,0.666667,8,4,0.373333,0.5,1.0,0,,ADA_0208,2023-08-03 20:00:00,2023-08-02 16:00:00,8,8,1,1.9777899144365552,0.24999999999999964,2.671035863826692,0.7733333333333325,0.2582680987924007,0.033982644577944005,1.338842975206611,0.7600000000000018,2.365192062625162,0.6932459493901365,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,DOWN,2023-08-04 12:00:00,2023-08-05 20:00:00,2023-08-06 08:00:00,2023-08-06 12:00:00,2023-08-06 12:00:00,0.2972,1,1,1,1,1,1,1.16129,0.310284,0.416667,0.641317,1.0,8,4,0.71831,0.5,1.0,0,,ADA_0219,2023-08-05 16:00:00,2023-08-04 12:00:00,8,8,1,0.8080454744206312,0.1149825783972117,1.4446873633581019,0.6338028169014095,-0.13059320798717314,-0.31015886896953565,0.8173076923076862,-0.6153846153846138,1.101880192391781,0.6366418889374708,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,UP,2023-08-05 00:00:00,2023-08-06 08:00:00,2023-08-06 20:00:00,2023-08-07 00:00:00,2023-08-07 00:00:00,0.2901,1,1,1,1,0,1,0.7,0.819672,0.531915,0.592764,0.333333,8,4,0.964912,0.5,1.0,0,,ADA_0222,2023-08-06 04:00:00,2023-08-05 00:00:00,8,8,1,0.48707417250542767,0.08653846153845984,0.8388499637593602,0.7719298245613987,0.16235805750180923,0.018039784166866024,0.7411764705882428,0.5483870967741785,1.1906257550132775,0.3517757912539325,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,UP,2023-08-05 20:00:00,2023-08-07 04:00:00,2023-08-07 16:00:00,2023-08-07 20:00:00,2023-08-07 20:00:00,0.2906,0,1,1,1,1,1,0.523622,1.042488,0.772727,0.510122,0.666667,8,4,2.436364,0.5,1.0,1,PARENT_BOUNDARY_FAILURE,ADA_0227,2023-08-07 00:00:00,2023-08-05 20:00:00,8,8,1,0.18977689918101903,0.025974025974025507,0.7274781135272426,0.6909090909090918,0.3373811540995933,0.7591075967240879,1.2409638554216795,1.0,1.2019203614797989,0.5377012143462235,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,UP,2023-08-07 20:00:00,2023-08-09 04:00:00,2023-08-09 16:00:00,2023-08-09 20:00:00,2023-08-09 20:00:00,0.2886,1,1,1,1,0,1,0.586387,0.118403,0.217391,0.733469,0.333333,8,4,0.385714,0.5,1.0,0,,ADA_0239,2023-08-09 00:00:00,2023-08-07 20:00:00,8,8,1,1.6239238785681969,0.2000000000000007,2.943362029904849,0.6285714285714287,0.16915873735085354,-0.16915873735085354,1.472222222222215,0.3333333333333333,2.232895333031258,1.319438151336652,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,DOWN,2023-08-09 12:00:00,2023-08-10 20:00:00,2023-08-11 08:00:00,2023-08-11 12:00:00,2023-08-11 12:00:00,0.3023,1,1,1,1,1,1,0.872727,0.067114,0.25,0.615639,0.666667,8,4,0.639344,0.5,1.0,0,,ADA_0249,2023-08-10 16:00:00,2023-08-09 12:00:00,8,8,1,0.20697620697619834,0.030651340996167255,0.465696465696457,0.8360655737704915,0.008624008624007666,-0.12936012936012933,0.7289719626168223,0.5,1.3194733194733164,0.25872025872025867,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
