move_id,direction,start_time,window_bars,net_return,abs_path_pct,efficiency_ratio,up_candle_share,down_candle_share,direction_changes,max_directional_run,range_pct,close_position_in_range,avg_body_change_first_to_last_third,avg_true_range_change_first_to_last_third,new_high_count,new_low_count,max_pullback_pct,failed_previous_direction_attempt,last5_directions,last5_bodies,last5_extremes,last5_acceleration,window_start_time,window_end_time,window_bars_available,assigned_state
M06,SHORT,2024-07-16 00:00,10,0.034675354898766504,0.07191063532697227,0.4822006472491902,0.7,0.3,4,3,0.04933674656737257,0.9528301886792452,2.2439024390244353,0.45500000000000607,5,1,0.034675354898766504,False,UDUUU,0.003600;0.006600;0.003500;0.000400;0.009400,H=0.445600;L=0.430500,false,2024-07-14 08:00,2024-07-15 20:00,10,UNKNOWN
M06,SHORT,2024-07-16 00:00,5,0.015300296871431796,0.04544416533455121,0.33668341708542676,0.8,0.2,1,3,0.03448275862068966,0.9337748344370861,1.6111111111111223,0.2359550561797814,2,2,0.030837004405286292,False,UDUUU,0.003600;0.006600;0.003500;0.000400;0.009400,H=0.445600;L=0.430500,false,2024-07-15 04:00,2024-07-15 20:00,5,UNKNOWN
M07,LONG,2024-08-05 08:00,50,-0.2585001205690861,0.6067036411863997,0.42607313195548496,0.34,0.66,26,5,0.3670122980467808,0.2155059132720105,0.8803571428571442,0.882013201320133,1,20,0.27218934911242604,False,DUDDD,0.010400;0.003200;0.006400;0.036400;0.000100,H=0.360100;L=0.274700,true,2024-07-28 00:00,2024-08-05 04:00,50,OPPOSITE_TREND
M07,LONG,2024-08-05 08:00,30,-0.236783320923306,0.45470340034748075,0.5207423580786026,0.3333333333333333,0.6666666666666666,14,5,0.3278729213204269,0.24829674489023465,0.5777777777777797,0.693563880883761,1,13,0.236783320923306,False,DUDDD,0.010400;0.003200;0.006400;0.036400;0.000100,H=0.360100;L=0.274700,true,2024-07-31 08:00,2024-08-05 04:00,30,OPPOSITE_TREND
M07,LONG,2024-08-05 08:00,20,-0.20171339563862928,0.3211318795430946,0.628132578819725,0.3,0.7,10,3,0.3120456905503634,0.2728785357737105,0.9191919191919169,0.8179384203480569,0,8,0.20171339563862928,False,DUDDD,0.010400;0.003200;0.006400;0.036400;0.000100,H=0.360100;L=0.274700,true,2024-08-02 00:00,2024-08-05 04:00,20,OPPOSITE_TREND
M07,LONG,2024-08-05 08:00,10,-0.12492885600455321,0.219977233921457,0.5679172056921088,0.3,0.7,5,3,0.26437108708025037,0.35306781485468247,0.8815789473684175,1.9136904761904838,2,4,0.1561470911086718,False,DUDDD,0.010400;0.003200;0.006400;0.036400;0.000100,H=0.360100;L=0.274700,true,2024-08-03 16:00,2024-08-05 04:00,10,OPPOSITE_TREND
M07,LONG,2024-08-05 08:00,5,-0.11434331797235027,0.13277649769585245,0.8611713665943609,0.2,0.8,1,3,0.2459677419354838,0.38407494145199067,-0.9903846153846164,1.6250000000000058,0,3,0.12243150684931506,False,DUDDD,0.010400;0.003200;0.006400;0.036400;0.000100,H=0.360100;L=0.274700,true,2024-08-04 12:00,2024-08-05 04:00,5,UNKNOWN
M08,LONG,2024-09-06 16:00,50,-0.12011095700416091,0.47239944521497984,0.2542571931884906,0.42,0.58,25,8,0.17420249653259368,0.20063694267515916,0.11583011583012137,0.28545454545454674,1,11,0.13391877058177828,False,UUDUD,0.003300;0.002500;0.007700;0.001500;0.004100,H=0.331700;L=0.313100,false,2024-08-29 08:00,2024-09-06 12:00,50,OPPOSITE_TREND
M08,LONG,2024-09-06 16:00,30,-0.06595995288574803,0.3409893992932871,0.1934369602763383,0.4,0.6,20,4,0.10983510011778562,0.3378016085790885,0.0028735632183936044,0.12129380053908312,0,6,0.07067137809187285,False,UUDUD,0.003300;0.002500;0.007700;0.001500;0.004100,H=0.331700;L=0.313100,false,2024-09-01 16:00,2024-09-06 12:00,30,CHOP
M08,LONG,2024-09-06 16:00,20,-0.03849651409518049,0.23734464989390802,0.1621966794380588,0.45,0.55,14,2,0.10669899969687786,0.35795454545454536,-0.2735849056603765,-0.09466437177280651,1,4,0.043346468626856725,False,UUDUD,0.003300;0.002500;0.007700;0.001500;0.004100,H=0.331700;L=0.313100,false,2024-09-03 08:00,2024-09-06 12:00,20,CHOP
M08,LONG,2024-09-06 16:00,10,-0.008130081300812981,0.09881175734834312,0.08227848101265761,0.5,0.5,5,2,0.08348968105065667,0.15355805243445664,0.26666666666666194,0.981481481481487,2,4,0.031450381679389405,False,UUDUD,0.003300;0.002500;0.007700;0.001500;0.004100,H=0.331700;L=0.313100,false,2024-09-05 00:00,2024-09-06 12:00,10,RANGE
M08,LONG,2024-09-06 16:00,5,-0.024000000000000087,0.04861538461538473,0.49367088607595006,0.6,0.4,3,1,0.057230769230769245,0.22043010752688125,0.24242424242423066,1.4814814814814783,2,3,0.031450381679389405,False,UUDUD,0.003300;0.002500;0.007700;0.001500;0.004100,H=0.331700;L=0.313100,false,2024-09-05 20:00,2024-09-06 12:00,5,UNKNOWN
M09,LONG,2024-10-26 12:00,50,-0.049482163406214016,0.3941311852704261,0.1255474452554743,0.54,0.46,24,6,0.17318757192174922,0.2940199335548179,0.4741144414169003,0.8291054739652868,8,7,0.11156573922531368,False,DDUUD,0.005500;0.010600;0.005600;0.000800;0.001700,H=0.345500;L=0.312700,false,2024-10-18 04:00,2024-10-26 08:00,50,CHOP
M09,LONG,2024-10-26 12:00,30,-0.07735269477799483,0.24155263892767453,0.3202312138728309,0.5,0.5,13,4,0.1574979056129573,0.31382978723404337,0.9896373056994745,0.2509554140127419,3,8,0.10937927262783712,False,DDUUD,0.005500;0.010600;0.005600;0.000800;0.001700,H=0.345500;L=0.312700,false,2024-10-21 12:00,2024-10-26 08:00,30,OPPOSITE_TREND
M09,LONG,2024-10-26 12:00,20,-0.09429824561403505,0.1902412280701758,0.4956772334293937,0.4,0.6,8,3,0.15460526315789475,0.31382978723404337,0.35638297872339875,0.4366197183098621,0,8,0.10718201754385971,False,DDUUD,0.005500;0.010600;0.005600;0.000800;0.001700,H=0.345500;L=0.312700,false,2024-10-23 04:00,2024-10-26 08:00,20,OPPOSITE_TREND
M09,LONG,2024-10-26 12:00,10,-0.0461893764434179,0.10508083140877611,0.4395604395604379,0.3,0.7,4,3,0.11056581986143188,0.4621409921671031,-0.10989010989010994,0.00543478260869823,0,5,0.059757505773672046,False,DDUUD,0.005500;0.010600;0.005600;0.000800;0.001700,H=0.345500;L=0.312700,false,2024-10-24 20:00,2024-10-26 08:00,10,UNKNOWN
