symbol,representation,geometry,bin,support_count,support_concentration,distribution_distance,rank_order_agreement,up_support,down_support,third_1_support,third_2_support,third_3_support,paired_rank_contrast,fraction_above_control,distribution_overlap,equal_support_fixed_contrast
ADAUSDT,ATR_ORIGIN,distance_to_boundary_atr,Q4,99,0.36363636363636365,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,55,44,32,31,36,1.0,1.0,0.41153228663628894,1.0
ADAUSDT,CONFIRMED_DIRECTION_CHANGE,age_bars,1-2,0,0.0,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,0,0,0,0,0,0.0,0.0,0.0,0.0
ADAUSDT,CONFIRMED_DIRECTION_CHANGE,age_bars,3-4,71,0.36619718309859156,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,28,43,26,24,21,1.0,1.0,0.40421975208884653,1.0
ADAUSDT,CONFIRMED_DIRECTION_CHANGE,age_bars,5-8,239,0.3472803347280335,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,115,124,77,79,83,0.9916317991631799,0.99581589958159,0.4250303734848367,0.9916317991631799
ADAUSDT,CONFIRMED_DIRECTION_CHANGE,age_bars,9+,113,0.34513274336283184,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,49,64,37,39,37,1.0,1.0,0.35545884485851537,0.9823008849557522
ADAUSDT,CONFIRMED_DIRECTION_CHANGE,displacement_atr,Q1,105,0.3619047619047619,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,42,63,38,33,34,1.0,1.0,0.41191138905212915,1.0
ADAUSDT,CONFIRMED_DIRECTION_CHANGE,displacement_atr,Q2,106,0.39622641509433965,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,44,62,32,42,32,1.0,1.0,0.42939137455881893,1.0
ADAUSDT,CONFIRMED_DIRECTION_CHANGE,displacement_atr,Q3,105,0.34285714285714286,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,53,52,36,34,35,0.9809523809523809,0.9904761904761905,0.40872043778194467,1.0
ADAUSDT,CONFIRMED_DIRECTION_CHANGE,displacement_atr,Q4,107,0.37383177570093457,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,53,54,34,33,40,1.0,1.0,0.3623073234521845,0.9813084112149533
ADAUSDT,CONFIRMED_DIRECTION_CHANGE,efficiency,<0.25,303,0.34983498349834985,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,131,172,100,106,97,0.9933993399339934,0.9966996699669967,0.4122608863277013,0.9933993399339934
ADAUSDT,CONFIRMED_DIRECTION_CHANGE,efficiency,0.25-0.50,112,0.36607142857142855,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,56,56,36,35,41,1.0,1.0,0.3706224357471289,0.9821428571428571
ADAUSDT,CONFIRMED_DIRECTION_CHANGE,efficiency,0.50-0.75,8,0.5,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,5,3,4,1,3,1.0,1.0,0.5029937211530513,1.0
ADAUSDT,CONFIRMED_DIRECTION_CHANGE,efficiency,>=0.75,0,0.0,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,0,0,0,0,0,0.0,0.0,0.0,0.0
